twitter_id,date,tweet
1545963644793413632,2022-07-10 02:50:30+00:00,b'@kevinnadal where can I purchase your other book Women and Mental Disorders coz it\xe2\x80\x99s currently out of stock on Amazon. Thank you!'
1545961553832210432,2022-07-10 02:42:11+00:00,b'@kevinnadal hi Doc! Thank you for writing this book. Insightful and helpful. \xf0\x9f\xa4\x8d https://t.co/6evFsTA1Kw'
1545652117339115520,2022-07-09 06:12:36+00:00,b'Happy 10th Anniversary! \xf0\x9f\xa4\x8d https://t.co/AbYO0hC59e'
1545373060676521984,2022-07-08 11:43:43+00:00,"b'RT @StarCinema: From Cali to Manila, Coco Martin and Jodi Sta. Maria team up this MMFF for Labyu With an Accent!\n\nStar Cinema can\xe2\x80\x99t wait to\xe2\x80\xa6'"
1545305116541997056,2022-07-08 07:13:44+00:00,b'@krizgazmen OMG natawa ako sa mentoring sessions \xf0\x9f\xa4\x8d looking forward to it \xf0\x9f\x98\x89 exciting times ahead \xf0\x9f\xa4\x8d\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\xa4\x8d'
1545303890882506752,2022-07-08 07:08:52+00:00,b'@krizgazmen Congrats Kriz! \xf0\x9f\xa4\x8d'
1544308222265217029,2022-07-05 13:12:26+00:00,b'@MrFrankBaraan Will message you! :)'
1544307405000912897,2022-07-05 13:09:11+00:00,b'@MrFrankBaraan Awww thank you friend! Let\xe2\x80\x99s hang out soon please? :)'
1542450816954470401,2022-06-30 10:11:46+00:00,"b'To my dear #Jodinatics @JodinaticsOFCL , Thank you sooo much for the never ending love and support! \xf0\x9f\xa4\x8d\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/M1iFz1Hq3J'"
1540333299813322752,2022-06-24 13:57:31+00:00,"b'Gusto ko man kayong samahan ngayong gabi, kaso palipad na ang eroplano ko sa ilang sandali. Kwentuhan nyo nalang ako mamaya ha? Salamat sa lahat ng nakatutok \xf0\x9f\xa4\x8d #TBMVTheHeartshatteringfinale https://t.co/dsS7W4vLz6'"
1540330197982908417,2022-06-24 13:45:11+00:00,b'#TBMVTheHeartshatteringfinale malapit na! \xf0\x9f\xa4\x8d'
1540329748609396736,2022-06-24 13:43:24+00:00,b'Enjoy tonight\xe2\x80\x99s last episode of #TBMV Maraming salamat sa pagsama sa amin sa nakaraang anim na buwan. \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\x8d\xe2\x9d\xa4\xef\xb8\x8f'
1540329426478452736,2022-06-24 13:42:07+00:00,"b""RT @tbmv_official: Are we all ready for tonight's last episode? \xf0\x9f\x98\xad I don't think I'll ever be ready for endings. \n\nSee you here in our TP la\xe2\x80\xa6"""
1537425935871356928,2022-06-16 13:24:41+00:00,"b'Maraming salamat sa lahat ng bumati, nakaalala at nag-effort para sa aking kaarawan. Mahal ko kayo! \xf0\x9f\xa4\x8d\xf0\x9f\x8c\xb8\xf0\x9f\xa4\x8d'"
1532534624445812736,2022-06-03 01:28:22+00:00,b'RT @healthyfixstore: Excited na ba kayo??? Magkitakita tayo mamaya Live on Tiktok! @JodiStaMaria @ninobautista @red_gatus https://t.co/F9FM\xe2\x80\xa6'
1527882223071858689,2022-05-21 05:21:23+00:00,"b'To know more about us and how you can become our HealthyFix ka-partner, visit us at https://t.co/eXTRziC9wJ \xf0\x9f\x98\x8a https://t.co/ivef3wurUZ'"
1527678304227950592,2022-05-20 15:51:05+00:00,b'Tita Swannie \xf0\x9f\x92\x94\xf0\x9f\x98\x94'
1526939659825098753,2022-05-18 14:55:58+00:00,"b""RT @StarCinema: If it's too good to be true, it probably is!\n\nWatch 'Achy Breaky Hearts' FULL MOVIE here: https://t.co/ZjD5Um6Rji https://t\xe2\x80\xa6"""
1526889440764776450,2022-05-18 11:36:25+00:00,"b'RT @JodinaticsOFCL: Ang pinagtaksilan, gagawa ng kataksilan. Ang exciting part, magiging isang malaking pagsisisi ba sa dulo?\n\nRemorseful J\xe2\x80\xa6'"
1523555599820021760,2022-05-09 06:48:55+00:00,b'@Doc4Dead Nakuskos ko na ito\xe2\x80\xa6Pero parang sa inyo po ang korona! https://t.co/n1VVmXUhsO'
1523554328694251520,2022-05-09 06:43:52+00:00,b'@Doc4Dead It\xe2\x80\x99s a tie po tayo Doc!'
1523497489873047553,2022-05-09 02:58:01+00:00,"b'Nakakaiyak ang humility nya \xf0\x9f\x98\xad Pumila. Naghintay. Walang special treatment. \n\nPilipinas, kahit mainit, mahaba ang pila, boboto tayo! Ito ang pinakamahalagang people\xe2\x80\x99s rally natin.\nWag uuwi hanggat hindi nakikita ang resibo ng boto nyo. Ikaw mismo ang maglalagay ng ballot sa VCM. https://t.co/FiG9EXAIY6'"
1523494837642686465,2022-05-09 02:47:29+00:00,b'RT @trishcoronado: Paalala mga mahal - No ONE ELSE SHOULD HOLD YOUR BALLOTS.\nMga sarili nating kamay ang mag fe-feed sa VCMs. Tignan ang RE\xe2\x80\xa6'
1523482434301358080,2022-05-09 01:58:11+00:00,b'Done \xe2\x98\x91\xef\xb8\x8f https://t.co/G3DU0MwwU0'
1523463178578841601,2022-05-09 00:41:41+00:00,"b'RT @PhilippineStar: \xe2\x80\x9cIf you\xe2\x80\x99re reporting on things going on at your precinct - sirang makina, wrong procedures, etc., please include the pr\xe2\x80\xa6'"
1523133956178149376,2022-05-08 02:53:28+00:00,"b'RT @AntonMonta2: After this, we may never be able to see again a volunteer-driven campaign that had no hakot, no money paid to rallyists, s\xe2\x80\xa6'"
1522939453685133317,2022-05-07 14:00:35+00:00,"b'Mga naghanda para sa #LeniKikoMitingDeAvance pero hindi umabot. Gayunpaman, nakikiisa kami sa inyo!! \xf0\x9f\x8c\xb8\xf0\x9f\x92\x95\xf0\x9f\x8c\xb8 #Ipana7oNa10ParaSaLahat https://t.co/XKyDOlBAGQ'"
1522485757604028417,2022-05-06 07:57:45+00:00,b'#mandauecebu #LeniKiko2022 #21ChelDioknoSaSenado \nOooh happy day \xf0\x9f\x8c\xb8\xf0\x9f\x92\x95\xf0\x9f\x8c\xb8 https://t.co/5yOdjZbagX'
1522160224018202625,2022-05-05 10:24:12+00:00,"b'Chel Diokno #21ChelDioknoSaSenado \nKung may oras kayo, basahin ang kanyang mga nagawa at plataporma. \xf0\x9f\x8c\xb8\xf0\x9f\x92\x95\xf0\x9f\x8c\xb8 We need him sa Senado. \nKindly retweet narin para mabasa ng pamilya, kaibigan, at followers ninyo.\nThank you! \xf0\x9f\x8c\xb8\xf0\x9f\x92\x95\xf0\x9f\x8c\xb8 #ipanalona10ito https://t.co/dqFMurPeKr'"
1521650788442918912,2022-05-04 00:39:53+00:00,"b'Mahal po namin kayo Tay @ChelDiokno at naniniwala po kami sa inyo \xf0\x9f\x8c\xb8 Salamat po sa mahigit na 30 years na pagbibigay ng free legal assistance sa mga kababayan po natin na walang kakayanang magbayad para makakuha ng abogado. Saludo po ako sa inyo,Tay! #21ChelDioknoSaSenado https://t.co/uFjCa60foM'"
1521419560011792384,2022-05-03 09:21:04+00:00,b'Iba talaga pag personal mong nakakausap ang mga tao. Totoo @PepeDiokno maraming willing makipagusap at makinig \xf0\x9f\x92\x95 #ipanalona10ito \xf0\x9f\x8c\xb8\xf0\x9f\x92\x95\xf0\x9f\x8c\xb8\xf0\x9f\x92\x95\xf0\x9f\x8c\xb8 https://t.co/S3vlOFWHlv'
1521330600069672965,2022-05-03 03:27:34+00:00,b'\xf0\x9f\x8c\xb8\xf0\x9f\x92\x95\xf0\x9f\x8c\xb8\xf0\x9f\x92\x95\xf0\x9f\x8c\xb8 https://t.co/7UIiUSbVos'
1519171687576530944,2022-04-27 04:28:49+00:00,b'Salamat sa oras ninyo \xf0\x9f\x92\x95\xf0\x9f\x8c\xb8\xf0\x9f\x92\x95 GTG! \xf0\x9f\x98\x8a'
1519171068463771649,2022-04-27 04:26:22+00:00,b'@itsmearla_ Naka-HUMSS strand siya.'
1519170857314045952,2022-04-27 04:25:31+00:00,b'@majesticjsm Same :)'
1519170555995299842,2022-04-27 04:24:20+00:00,b'@jodianupdates Batang Pasay \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'
1519165039755726848,2022-04-27 04:02:24+00:00,b'@aynughhh_ Hindi naman ako allergic and wala ako asthma :)'
1519164801905139712,2022-04-27 04:01:28+00:00,b'@onlyforjodi Yes meron. :)'
1519164548921454592,2022-04-27 04:00:27+00:00,b'@Steffa_niee Not yet. Pero seafoods and veggies ang ulam namin today.'
1519164197464014848,2022-04-27 03:59:04+00:00,b'@jcsthetics No naman. Hindi naman ako takot sa snakes except syempre sa venomous ones.'
1519163809285386240,2022-04-27 03:57:31+00:00,b'@chrijodi In my experience hindi naman \xf0\x9f\x92\x95'
1519163266588499970,2022-04-27 03:55:22+00:00,b'@46Abhie Nakuha ko yung first cat ko si Harmony sa Kamuning nung 2014 during PSY taping. Sunod siya ng sunod sakin. Inuwi ko na. \xf0\x9f\x98\x89'
1519162898487996418,2022-04-27 03:53:54+00:00,b'@simp4jodii Si Harmony. 2014 :)'
1519162483780452357,2022-04-27 03:52:15+00:00,b'@pughswipe Soon! :) inaayos lang yung topics :)'
1519162380642492416,2022-04-27 03:51:50+00:00,"b'@jchrissie18 I don\xe2\x80\x99t remember having a turtle. Pero domestic pig, yes. Nakakatuwa kasi highly intelligent sila \xf0\x9f\x92\x95\nThirdy and I used to have a pet snake too. Pero my mom had to give it away kasi super takot siya.'"
1519160707522068480,2022-04-27 03:45:11+00:00,b'@amnduh_ May designated na room for them where they can play.'
1519160480744411136,2022-04-27 03:44:17+00:00,b'@coffeeholic_j So far okay naman na yung mga pets na meron kami here sa house.'
1519159839242395649,2022-04-27 03:41:44+00:00,b'@simp4jodii As of now wala. Madami na kasi sila. Nabawasan narin coz yung ibang friends ko nag-adopt ng cats ko.'
1519159456059125760,2022-04-27 03:40:13+00:00,b'@jcsthetics No. Hindi ko pa na-consider yun :)'
1519159152555163648,2022-04-27 03:39:01+00:00,b'@judielkyeotie Wala na sila :( nagkasakit a few years back.'
1519158832756555777,2022-04-27 03:37:44+00:00,"b'@gIamorousjodi I wont name all na ha. Harmony, Serenity, Charity, Faith, Courage, Cherish, Sparkle, Boogie, Marble, Raccoon, Flash, Cotton, M.'"
1519158290550169601,2022-04-27 03:35:35+00:00,b'@jchrissie18 No naman :)'
1519157961091739648,2022-04-27 03:34:17+00:00,b'@kristal_zulyani He is 7 years old'
1519157792749228035,2022-04-27 03:33:37+00:00,"b'@jcsthetics @simp4jodii Isa lang siya. Yung iba British Short Hair, Persian, and Domestic Short Hair \xf0\x9f\x98\x8a'"
1519157572888006656,2022-04-27 03:32:44+00:00,b'@BelindaOrilla1 @tinyjudiel Hindi naman. Kalma naman sila kahit iba iba sila ng personality'
1519157382667927552,2022-04-27 03:31:59+00:00,b'@majesticjsm Yes they have names except for the new kittens wala pa sila pangalan.'
1519157147782709249,2022-04-27 03:31:03+00:00,"b'@tulaforjudiel Some were given to me, some I adopted, some naman nakuha ko wandering sa streets. Then yung iba anak na ng mga cats ko.'"
1519155796302434304,2022-04-27 03:25:41+00:00,b'@jsm_ericallave Yes :)'
1519155666941739008,2022-04-27 03:25:10+00:00,b'@simp4jodii Scottish Fold \xf0\x9f\x98\x8a'
1519155613900566529,2022-04-27 03:24:57+00:00,b'@mutiacaye Yes. Sila ni Georgie. :)'
1519155484585979906,2022-04-27 03:24:26+00:00,b'@tinyjudiel I currently have 29 cats here at home \xf0\x9f\x98\x8a'
1519155276955283456,2022-04-27 03:23:37+00:00,b'@loissimoune My mom has dogs. I have cats and birds \xf0\x9f\x8c\xb8'
1519154620114776065,2022-04-27 03:21:00+00:00,b'@chrissiemistic Yes si Harmony \xf0\x9f\x98\x8a'
1519154203733626881,2022-04-27 03:19:21+00:00,b'@kingnelph Good for your mental health too!'
1519153907099832320,2022-04-27 03:18:10+00:00,b'@itsmearla_ Okay naman sila Georgie and Lemon. Malaki na sila :)'
1519150589782896640,2022-04-27 03:04:59+00:00,b'Good morning from Courage \xf0\x9f\x8c\xb8\xf0\x9f\x92\x95\xf0\x9f\x8c\xb8 https://t.co/9ukAXezPak'
1518131554030997504,2022-04-24 07:35:42+00:00,b'Hello Tay @ChelDiokno ! Isa po ako sa mga CHEL-dren ninyo! \xf0\x9f\x92\x95 Kailangan po namin kayo sa Senado \xf0\x9f\x92\x95\xf0\x9f\x8c\xb8\xf0\x9f\x92\x95 https://t.co/zAA8DrDJcc'
1517824329295097859,2022-04-23 11:14:54+00:00,b'Papunta palang tayo sa exciting part \xf0\x9f\x98\x89\xf0\x9f\x92\x95\xf0\x9f\x8c\xb8\xf0\x9f\x8c\xb8\xf0\x9f\x92\x95\xf0\x9f\x98\x89'
1517823755879391232,2022-04-23 11:12:37+00:00,b'\xf0\x9f\x92\x95\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x92\x95\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb https://t.co/wEr8WLXxWb'
1517823669132693506,2022-04-23 11:12:17+00:00,b'\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb https://t.co/fAwdgLdRpi'
1517823486034546688,2022-04-23 11:11:33+00:00,b'\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95 https://t.co/BTXYEV0eA7'
1516768477238874114,2022-04-20 13:19:19+00:00,b'RT @Viu_PH: SOTY 2022 (Your Daughter Remix) #TBMVonViu https://t.co/Zi1xXUy9py'
1516652448135319554,2022-04-20 05:38:16+00:00,b'@demboiii @ItsACsLife @supravioIence Nice work! \xf0\x9f\x92\x95'
1516650897236889600,2022-04-20 05:32:06+00:00,b'@IanGalliguez Hahahahahahahha'
1513710811214233603,2022-04-12 02:49:15+00:00,b'@qrstuvmojica Hoping today finds you feeling much better \xf0\x9f\x92\x95'
1513709711408787459,2022-04-12 02:44:53+00:00,b'@qrstuvmojica Akap ng mahigpit \xf0\x9f\xab\x82'
1512620274780307457,2022-04-09 02:35:51+00:00,b'Good morning! Kita kits tayo bukas! \xf0\x9f\x92\x95\xf0\x9f\x98\x8a https://t.co/x3GexEiBAy'
1512604105432215567,2022-04-09 01:31:36+00:00,"b'RT @mentalhealthph: Join us tomorrow, April 10 from 7-9pm and let\xe2\x80\x99s celebrate #UsapTayo\xe2\x80\x99s 5th Year. Let\xe2\x80\x99s talk about \xe2\x80\x9cBeyond Borders: Defin\xe2\x80\xa6'"
1511608456985284609,2022-04-06 07:35:15+00:00,b'@UbanLhady Valid naman itong tanong na ito \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb'
1511573189935001600,2022-04-06 05:15:06+00:00,b'\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 hosting nightmare! \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/FODDZt7nuD'
1511571425479434244,2022-04-06 05:08:06+00:00,b'@itsmearla_ Will keep you posted!'
1511571057706082307,2022-04-06 05:06:38+00:00,b'Thank you sa mga nag-suggest ng topics! Noted po ito lahat \xf0\x9f\x92\x95'
1511570595237949447,2022-04-06 05:04:48+00:00,b'@jeckified99 Thank you sa mga suggestions \xf0\x9f\x92\x95'
1511568567811993603,2022-04-06 04:56:44+00:00,b'@luckymanzano Jusmio. Hindi madaling mag-host ng reality talent search program habang puno ng confetti ang bibig mo ha!'
1511567086950109184,2022-04-06 04:50:51+00:00,b'@IanGalliguez This is a good one Mama I \xf0\x9f\x92\x95'
1511564181593415680,2022-04-06 04:39:19+00:00,b'@AnaJodi00 How to prepare for a thesis defense! Hahahaha \xf0\x9f\xa4\x8d'
1511563893188952067,2022-04-06 04:38:10+00:00,b'@jcsthetics Nice din ito how to nurture/cultivate healthy relationships'
1511563770660761604,2022-04-06 04:37:41+00:00,b'@tamajayo @ItsACsLife Oo naman bakit naman hindi \xf0\x9f\xa4\x8d'
1511563573067014149,2022-04-06 04:36:53+00:00,b'@shy_DILF Pwede about forgiveness noh? \xf0\x9f\x98\x8a'
1511563465386692613,2022-04-06 04:36:28+00:00,b'OMG! Wahahahaha. Pwede naman at ikaw ang igue-guest ko Lu! \xf0\x9f\xa4\xa3 https://t.co/U3KQVWQqyL'
1511563232724455426,2022-04-06 04:35:32+00:00,b'@HowardTuanqui This would be a nice topic. How it happens and how to affair proof your relationships'
1511561171618308100,2022-04-06 04:27:21+00:00,"b'Hi everyone! Okay ba sa inyo na magkaroon tayo ng Twitter Space? If so, ano ang mga topics na gusto nyo pag-usapan? \xf0\x9f\x92\x95'"
1511371521310134272,2022-04-05 15:53:45+00:00,b'@IanGalliguez We love you Mama I \xf0\x9f\x92\x95'
1510871172786786307,2022-04-04 06:45:32+00:00,b'@ItsACsLife \xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95'
1509886953969238023,2022-04-01 13:34:36+00:00,b'Funfact for tonight\xe2\x80\x99s episode : Pinaka unang scene namin na ni-shoot ni @unoemilio ay yung eksena na may Crispy Pata heehee. That was also the day I first met him. #tbmvpartycrasher'
1509877424804151307,2022-04-01 12:56:44+00:00,b'Party crasher ang peg ni Jill tonight \xf0\x9f\x98\x8f https://t.co/oRfvpEnbEA'
1509817676528451587,2022-04-01 08:59:19+00:00,"b""RT @JodinaticsOFCL: Who wouldn't want an ad-free and uninterrupted streaming of your favorite teleserye? Nobody, right?\n\nSo what are you wa\xe2\x80\xa6"""
1509497596540121089,2022-03-31 11:47:26+00:00,"b'RT @JodinaticsOFCL: Ang past, nag-iimbita para sa housewarming ng kanilang bahay. Ang future, nag-iimbita na magkaroon ng bagong relasyon s\xe2\x80\xa6'"
1508988544647249920,2022-03-30 02:04:39+00:00,"b'RT @JoelOsteen: In the Scripture, Paul prayed that we would overflow with hope. When you overflow with hope, you\xe2\x80\x99re not moved by what the c\xe2\x80\xa6'"
1508692723745783810,2022-03-29 06:29:10+00:00,b'@itsmearla_ Sweet. Thank you \xf0\x9f\xa4\x8d'
1508445869468577801,2022-03-28 14:08:15+00:00,b'RT @JodinaticsOFCL: Mga KaGIGILmates as a gratitude for your overwhelming support to #TheBrokenMarriageVow we will be having a GA \xf0\x9f\xab\xb0\xf0\x9f\x92\x9b\nPlease\xe2\x80\xa6'
1508237381173866496,2022-03-28 00:19:48+00:00,"b'RT @JoelOsteen: There will be times of testing, times of proving, when you have to show God you\xe2\x80\x99ll do the right thing when you don\xe2\x80\x99t feel l\xe2\x80\xa6'"
1503782766906728452,2022-03-15 17:18:45+00:00,b'Sometimes you need to take a break to be alone with your own thoughts and rejuvenate.\nUnplug to unwind.\nBye for now \xf0\x9f\xa4\x8d #socmeddetox'
1503188409451356160,2022-03-14 01:56:59+00:00,b'Beautiful morning \xe2\x98\x80\xef\xb8\x8f https://t.co/mcimeRyfS3'
