twitter_id,date,tweet
1538277728373198850,2022-06-18 21:49:24+00:00,b'happy pride! \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88 https://t.co/rMOkPRCks4'
1538277386378092546,2022-06-18 21:48:03+00:00,b'my little fun pride throwback playlist is on @spotify now \xf0\x9f\x92\x9a \n\nhttps://t.co/Gld3riF4qE https://t.co/dpBgy1SIxl'
1537931745596542977,2022-06-17 22:54:36+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa7\xa1\xf0\x9f\x92\x9b\xf0\x9f\x92\x9a\xf0\x9f\x92\x99\xf0\x9f\x92\x9c #Pride2022 https://t.co/64daLPPCP6'
1508647436918542336,2022-03-29 03:29:12+00:00,b'@bep \xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a'
1486862539250044929,2022-01-28 00:43:48+00:00,b'mom\xe2\x80\x99s night out https://t.co/K9y7GGml7V'
1406692350601035778,2021-06-20 19:16:06+00:00,b'happy father\xe2\x80\x99s day dad!! \xf0\x9f\x92\x9a\xf0\x9f\x92\x9a https://t.co/VukuDjbix6'
1391509399181565956,2021-05-09 21:44:28+00:00,b'@dvir_saar \xf0\x9f\x92\x9a\xf0\x9f\x92\x9a'
1391508262273519617,2021-05-09 21:39:57+00:00,b'Thank you Terri for being my mommy and #axljack for letting me be your mommy.\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f https://t.co/3xre4qgcST'
1372282190990434304,2021-03-17 20:22:24+00:00,b'RT @KimKardashian: ANTI-ASIAN VIOLENCE RESOURCE https://t.co/ESRU91OKD0'
1372282110380105730,2021-03-17 20:22:05+00:00,"b""RT @miyaughtsumu: don't just spread, please take your time to read it. \n\n this will be an informative thread. \n\n#StopAsianHate #AsiansAreHu\xe2\x80\xa6"""
1335460236585398276,2020-12-06 05:45:06+00:00,b'Yesss\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a https://t.co/zbOHt47AbV'
1325161231624282117,2020-11-07 19:40:32+00:00,b'Congratulations @JoeBiden @KamalaHarris. Let\xe2\x80\x99s heal \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\x8d\xf0\x9f\x92\x99 https://t.co/7G4s0WMAIE'
1322248940239028225,2020-10-30 18:48:08+00:00,b'stepping out to vote! \xe2\x9c\x94\xef\xb8\x8f\xe2\x9c\x94\xef\xb8\x8f https://t.co/fmNXz1TAUG'
1313986777279942657,2020-10-07 23:37:15+00:00,b'@thaisabm Wowww !! \xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a'
1305399462320193537,2020-09-14 06:54:19+00:00,b'I\xe2\x80\x99m so touched \xf0\x9f\xa5\xba\xf0\x9f\xa5\xba https://t.co/ADGHAlCTZ1'
1305399110208376834,2020-09-14 06:52:55+00:00,b'@FrannVilchess \xf0\x9f\x92\x9a\xf0\x9f\x92\x9a'
1305398964435390466,2020-09-14 06:52:20+00:00,b'@FergieChile \xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a'
1305398598494859264,2020-09-14 06:50:53+00:00,b'RT @nataliaan: Made these drawings to celebrate The Dutchess anniversary \xe2\x9d\xa4 @Fergie #TheDutchessTurns14 https://t.co/hXxpVJk0ST'
1304538045287264257,2020-09-11 21:51:21+00:00,b'Aaahhh memories \xf0\x9f\xa5\x82\xf0\x9f\xa5\x82\nThank you @UME for making this!!!\nhttps://t.co/SQ8T2LZ7oM https://t.co/5yhiu8Yk9m'
1304536524038365186,2020-09-11 21:45:19+00:00,"b'RT @UME: Watch the brand new visualizer for @Fergie\'s ""London Bridge""!! \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x92\x82\xf0\x9f\x92\x84 Produced by @1824Official. https://t.co/lwfVZUURr0\n\nPart of ou\xe2\x80\xa6'"
