twitter_id,date,tweet
1545732588161089541,2022-07-09 11:32:21+00:00,b'Udah lah ros..\nBuka aja lah..\nCapek nutupin nya..\n\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\n@erosscandra \n@Duta507 \n@barkah137 \n@sheilaon7 https://t.co/6ebB1KYhry'
1545438957843779584,2022-07-08 16:05:35+00:00,b'Ke radio lagi ga niiiih? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #DGITM https://t.co/aecgWal6DK'
1543670122522370048,2022-07-03 18:56:51+00:00,b'Mantap Pak..\nSahabat saya @vincentrompies juga menang lho pak di Tepok Bulu 2022.. https://t.co/j7CrsV5aFz'
1543257904253308929,2022-07-02 15:38:51+00:00,b'Good luck for tomorrow my brother @vincentrompies ..\nSukses juga besok untuk kita semua para saker @vindestwitt \nKita buktikan kita bisa memberikan tayangan yang baik dan berusaha berikan yang terbaik!!\n\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/AYPuw7cOHh'
1542862278843703297,2022-07-01 13:26:46+00:00,b'https://t.co/0BfPHDL9MN @vindestwitt https://t.co/orx0S0uyU7'
1542402068375150593,2022-06-30 06:58:04+00:00,b'RT @fauuzaan_: what amazing vibes. @vincentrompies @desta80s @oomleo https://t.co/9l02BL7rcO'
1542393486099349504,2022-06-30 06:23:58+00:00,b'Saya saksi betapa serius nya persiapan @vincentrompies untuk pertandingan tepok bulu tanggal 3 juli nanti..\nSaya coba abadikan momen dengan kamera tersembunyi..\nLuar biasa..\nSalute sobatku Vincent Rompies!!\nSemangat always!!\nHajar si @radotvalent !!! https://t.co/Apubjfgwh3'
1541379031328624640,2022-06-27 11:12:53+00:00,b'RT @vindestwitt: Ini dia-dianya yang akan bermain di PERTANDINGAN PUTRI BERPASANGAN 3 JULI 2022 mendatang!\n\nRaisa/Anya melawan Hesti/Ericar\xe2\x80\xa6'
1539172502647148544,2022-06-21 09:04:55+00:00,"b'Short movie dokumenter karya saya sendiri..\nDirect, edit, scoring sendiri..\nDemi mengingat perjuangan @vincentrompies menjadi seperti sekarang ini..\nSEMANGAT SAHABATKU!!\nHajar si @radotvalent \n\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb https://t.co/1ZEvc5JMQs'"
1536620330768158720,2022-06-14 08:03:30+00:00,b'Eps baru niih.. \n@indrajegel_ \n\nDengerin yuk.. kasian..\nhttps://t.co/VUY1jkFOnm https://t.co/JJ6vTgD286'
1535230051859386368,2022-06-10 11:59:02+00:00,b'Diwanta wanti suruh rahasia in biar misterius..\nKok malah udh bocor duluan di wikipedia..\n\xf0\x9f\x98\x93\xf0\x9f\x98\x93\xf0\x9f\x98\x93\xf0\x9f\x98\x93\n@erosscandra @Duta507 @barkah137 @destaSO7 @sheilaon7 https://t.co/SgA4gubPtQ'
1535211578668089345,2022-06-10 10:45:37+00:00,b'Yuhuu..\nCover baru niih..\nSm siapa niih??\nAaahh diaaaaa.. \nDengerin deh..\nhttps://t.co/3v9jIle6Fq https://t.co/0YMwXyvluS'
1533383512425787393,2022-06-05 09:41:32+00:00,b'Kita mulai dengan 15 lagu hits yang saya sudah hapal di luar kepala..\nI\xe2\x80\x99ll do my best..\nYuk kita mulai new journey ini!!\nSemangaaat!!\n@Duta507 \n@erosscandra \n@barkah137 \n@destaSO7 https://t.co/M9G53qUwBo'
1530640303182385153,2022-05-28 20:01:00+00:00,b'Bang Karni?'
1530628339982999553,2022-05-28 19:13:28+00:00,b'Final bola atau flight sih.. delay'
1529862014226423812,2022-05-26 16:28:22+00:00,b'Keren main NFT.. \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\n\nhttps://t.co/Sr9zhFOZFR'
1528975149042573313,2022-05-24 05:44:17+00:00,b'Coba listen and follow deh..\nNih link nyah:\nhttps://t.co/ZESFOzbPbh https://t.co/yKecqVnJGp'
1528577632224153600,2022-05-23 03:24:41+00:00,b'Justice may be blind.. but it can see in the dark..'
1527896731991412736,2022-05-21 06:19:02+00:00,b'Lah? \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/TuGmyjq3Mv'
1527863741487849472,2022-05-21 04:07:56+00:00,b'Pasti trending gara2 ini nih.. https://t.co/s81MREknJm'
1525556756050345984,2022-05-14 19:20:48+00:00,b'FA CUP WINNERS!!!!\n\n#YNWA https://t.co/bR4kYgoPz1'
1524077252098420736,2022-05-10 17:21:47+00:00,b'Terlihat pas.. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb @desta507 @sheilaon7 @Duta507 @erosscandra https://t.co/zuGdBuPzhK'
1524034584387629056,2022-05-10 14:32:14+00:00,b'Sip.. mulai ngapalin lagu2 nya berarti.. meeting dulu deh kita @Duta507 @erosscandra biar enak..\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb https://t.co/k9PmapcVA3'
1520953937787990016,2022-05-02 02:30:51+00:00,b'Happy ied.. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/L225JA8vjl'
1519746956964220928,2022-04-28 18:34:44+00:00,b'Tema #sawityowit sahur nanti: judul film..\nContoh: film yang tentang minuman.. \xe2\x80\x9cADA APA DENGAN CINCAU..\xe2\x80\x9d\n@vincentrompies @Frimawan @vindestwitt'
1519585550172262401,2022-04-28 07:53:22+00:00,"b'RT @vindestwitt: Disiarkan langsung dari Youtube Vindes pukul 17.00 WIB, nanti akan ada @Rigensih yang turut memeriahkan Bukber Nih Yee epi\xe2\x80\xa6'"
1518675531805298688,2022-04-25 19:37:17+00:00,b'Yuk mulaaai #sawityowit berhadiah total 25juta nyaa!!! Twitt sebelum ini ga dihitung yah.. sikaaaat!!!\nPantengin: https://t.co/Garx30NyQP\n@vindestwitt @vincentrompies @Frimawan'
1518663453447053312,2022-04-25 18:49:17+00:00,b'Tema #sawityowit nanti alat musik..\nContoh: alat musik yg jarak jauh.. \xe2\x80\x9cBAS antar propinsi\xe2\x80\x9d HADIAH TOTAL 25 juta!!! Tunggu aba2 mulai serempak jam 2.30! Sebelum itu dianggap gugur!! Tonton: https://t.co/Garx30NyQP\n@vincentrompies @vindestwitt'
1517183416369762312,2022-04-21 16:48:09+00:00,b'Tema #sawityowit sahur nanti olahraga.. olahraga yang bau.. \xe2\x80\x9cSedot TINJU\xe2\x80\x9d @vincentrompies @Frimawan @oomleo @vindestwitt see you semuaaaa..'
1516076036907171840,2022-04-18 15:27:49+00:00,b'Tema #sawityowit nanti sahur: alat rumah tangga.. contoh: alat rumah tangga yang kucing sakit.. \xe2\x80\x9cSICK CAT\xe2\x80\x9d see you guys.. @vincentrompies @Frimawan @oomleo @vindestwitt'
1514859302686625792,2022-04-15 06:52:57+00:00,b'Beli ketupat di pak hasan\nGak sengaja ketemu intan\nBerbagi kebaikan di bulan ramadhan \nMenjadi sumber kebahagiaan \n\nVideo @SnackVideo_Idn ngingetin kita indahnya bulan ramadhan kalau setiap kita berbagi\n#seribukebaikan https://t.co/Dwk5dcPR3u'
1514679045258035212,2022-04-14 18:56:40+00:00,b'Tema #sawityowit sahur nanti: nama kota.. contoh: kota yang lambat gerakan nya.. \xe2\x80\x9cSOLO motion\xe2\x80\x9d ah kota kelahiran kuuuuhh.. @vincentrompies @oomleo @Frimawan @vindestwitt'
1513608099151548417,2022-04-11 20:01:06+00:00,b'Yukk mulaaaiii #sawityowit !!! Sikaaat guys!! @oomleo @vindestwitt @vincentrompies @Frimawan'
1513503214900953094,2022-04-11 13:04:20+00:00,b'Asik #sawityowit berhadiah buying power 500rb masing2 untuk 3 pemenang dari @ajaib_investasi'
