twitter_id,date,tweet
1546388185810407425,2022-07-11 06:57:28+00:00,b'@nevrotikhaller \xf0\x9f\x99\x8fiyi bayramlar diliyorum'
1546066366637146113,2022-07-10 09:38:40+00:00,b'@1smailAyd1n @startv \xf0\x9f\x99\x8f iyi bayramlar karde\xc5\x9fim'
1546062395138838528,2022-07-10 09:22:54+00:00,b'Bu ak\xc5\x9fam Fox tv\xe2\x80\x99de bulu\xc5\x9fmak dile\xc4\x9fiyle https://t.co/8Ej09ZuzHs'
1543644385849532417,2022-07-03 17:14:35+00:00,"b'Bu kadar istekli ,\xc3\xb6zverili ,sayg\xc4\xb1l\xc4\xb1 ve \xc5\x9fikayet etmeyen yard\xc4\xb1mc\xc4\xb1 oyuncu kadrosunu daha \xc3\xb6nce g\xc3\xb6rmemi\xc5\x9ftim \xf0\x9f\x99\x8f te\xc5\x9fekk\xc3\xbcr ederim Bursa \xf0\x9f\x92\x95\nFilmimizin \xc4\xb0stanbul sahneleri i\xc3\xa7in yola \xc3\xa7\xc4\xb1kt\xc4\xb1k her\xc5\x9fey i\xc3\xa7in te\xc5\x9fekk\xc3\xbcr ederim \n#bursab\xc3\xbclb\xc3\xbcl\xc3\xbcfilm'"
1541990843053182978,2022-06-29 03:44:00+00:00,b'J ile hayvan ..?'
1541662588681035779,2022-06-28 05:59:38+00:00,b'https://t.co/UVMJtpkweT'
1540622351187968002,2022-06-25 09:06:06+00:00,b'Hoop\xf0\x9f\x8e\xac #bursab\xc3\xbclb\xc3\xbcl\xc3\xbcfilm https://t.co/F4cxIzsnFu'
1538558507414343681,2022-06-19 16:25:07+00:00,b'Yatiii yatiiii\xf0\x9f\x8e\xac https://t.co/lPzUMddTj8'
1535211850564083712,2022-06-10 10:46:42+00:00,b'Ata Nabeeerrr? \xf0\x9f\x99\x83\xf0\x9f\x99\x8f\xe2\x99\xa5\xef\xb8\x8f\n#bursab\xc3\xbclb\xc3\xbcl\xc3\xbcfilm https://t.co/YpDCB7Vrw1'
1533796647091720202,2022-06-06 13:03:11+00:00,b'Mahalleye d\xc3\xb6n\xc3\xbc\xc5\x9f https://t.co/rNVl46sYBD'
1533499993352462336,2022-06-05 17:24:24+00:00,b'Bizim setin halleri #bursab\xc3\xbclb\xc3\xbcl\xc3\xbcfilm https://t.co/sfZdQsUFEw'
1533052481638436874,2022-06-04 11:46:09+00:00,b'Cengiz Sezen ve dostlar\xc4\xb1 \xf0\x9f\x8e\xac\xf0\x9f\xa7\xbf\n#bursab\xc3\xbclb\xc3\xbcl\xc3\xbcfilm https://t.co/7EUdB5zKC5'
1530649212073005057,2022-05-28 20:36:24+00:00,b'Valla sabah set var ben yatar gen\xc3\xa7ler \nMa\xc3\xa7 penalt\xc4\xb1lara kal\xc4\xb1r da Liverpool elenirse uyand\xc4\xb1r\xc4\xb1n \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbf#LiverpoolVsRealMadrid'
1530646489504133128,2022-05-28 20:25:35+00:00,b'K\xc4\xb1rm\xc4\xb1z\xc4\xb1lar birbirine giriyor faul yokkk! #LiverpoolVsRealMadrid'
1530496653886640128,2022-05-28 10:30:12+00:00,b'Cengiz Sezen ve dostlar\xc4\xb1 ;)\n#bursab\xc3\xbclb\xc3\xbcl\xc3\xbcfilm https://t.co/Uz7yUsV5rl'
1529800877732765697,2022-05-26 12:25:26+00:00,b'#bursab\xc3\xbclb\xc3\xbcl\xc3\xbcfilm \xc3\xa7ekimlerinden Cengiz Sezen ve dostlar\xc4\xb1 https://t.co/MqNBDWyEa1'
1529799780511227905,2022-05-26 12:21:04+00:00,b'@sgokbakar \xc3\x87ok kibars\xc4\xb1n karde\xc5\x9fim benim \xf0\x9f\x99\x8f sa\xc4\x9fol var ol\xf0\x9f\x8e\xac Biz gideriz filmler kal\xc4\xb1r g\xc3\xb6n\xc3\xbcller bir olsun sinemalar dolsun in\xc5\x9fallah \xf0\x9f\x92\x95'
1528990539886075905,2022-05-24 06:45:26+00:00,b'\xc3\x87ekimlere ba\xc5\x9flad\xc4\xb1k \xf0\x9f\xa7\xbf\xf0\x9f\x99\x8f\n#bursab\xc3\xbclb\xc3\xbcl\xc3\xbcfilm https://t.co/MyVtlDy7Cd'
1527979349688852483,2022-05-21 11:47:20+00:00,b'G\xc3\xbczel bir haber vereyim https://t.co/X4jJfSC16Z'
1527565160923160582,2022-05-20 08:21:29+00:00,"b'\xc3\x87ekimler ba\xc5\x9fl\xc4\xb1yor \xf0\x9f\xa7\xbf\xf0\x9f\x99\x8f\nBekle bizi Erdek ,Bursa ,Mudanya \xe2\x9d\xa4\xef\xb8\x8f https://t.co/liLeIAgWtO'"
1515292084877631489,2022-04-16 11:32:40+00:00,b'@ahbegem Bence de??'
1513998645733072902,2022-04-12 21:53:00+00:00,b'Bu gece #zekim\xc3\xbcren de bizi g\xc3\xb6rd\xc3\xbc\xf0\x9f\x99\x8f\xe2\x9d\xa4\xef\xb8\x8f\nTe\xc5\x9fekk\xc3\xbcrler #iksv https://t.co/2IxP7o4cpv'
1512397394037686274,2022-04-08 11:50:12+00:00,b'@AycicekJindar Edemem\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1512383317013843977,2022-04-08 10:54:16+00:00,b'@artdecoxo Bizim soyumuz \xc4\xb0spanya\xe2\x80\x99ya dayanm\xc4\xb1\xc5\x9f galiba'
1512323312097153024,2022-04-08 06:55:49+00:00,b'Ak\xc5\x9fam harika bir oyun seyrettik \xf0\x9f\x99\x8f\n#aydinlikevler https://t.co/Z8jABtTVjP'
1511733508057800715,2022-04-06 15:52:09+00:00,b'Provalar provalar \xf0\x9f\x8e\xac\n#bursab\xc3\xbclb\xc3\xbcl\xc3\xbc https://t.co/VafOKyY1OH'
1511379326243123205,2022-04-05 16:24:46+00:00,b'@ugurbocan Ahahahhw o zaman kutlamak laz\xc4\xb1m \xf0\x9f\x99\x8f\xf0\x9f\x8e\xb6'
1511374745278767105,2022-04-05 16:06:33+00:00,b'@mhmt_topaloglu Tamam\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x8c'
1511371074243633160,2022-04-05 15:51:58+00:00,b'G\xc3\xbczel ma\xc3\xa7 olsun insanlar mutlu olsun\n\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b\xf0\x9f\x92\x90\xf0\x9f\x92\x9b\xf0\x9f\x92\x99\n#FBvsGS'
1511370448361164808,2022-04-05 15:49:29+00:00,b'Beni A.Demirspor  ma\xc3\xa7\xc4\xb1na davet eden t\xc3\xbcm y\xc3\xb6netici taraftar ve dostlara te\xc5\x9fekk\xc3\xbcr ederim \nYo\xc4\x9funluktan gelemiyorum ma\xc4\x9falesef \xf0\x9f\x99\x8f\nEn yak\xc4\xb1n zamanda in\xc5\x9fallah \n\nEzinespor sizin de \xc5\x9fampiyonluk hay\xc4\xb1rl\xc4\xb1 olsun kutlar\xc4\xb1m\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x91\x8d \n\nFenerbah\xc3\xa7e &amp;Galatasaray ma\xc3\xa7\xc4\xb1na gelince\xe2\x80\xa6'
1509927068603195397,2022-04-01 16:14:00+00:00,"b""Ata Demirer | Demirkol'un Galaxy Rehberi | Socrates x Samsung Galaxy https://t.co/5BQPHaLGXf @YouTube arac\xc4\xb1l\xc4\xb1\xc4\x9f\xc4\xb1yla"""
1509764192303296559,2022-04-01 05:26:48+00:00,b'K\xc4\xb1rlang\xc4\xb1\xc3\xa7lar geldi \xf0\x9f\x8c\xb7 \n(Bu lodos f\xc4\xb1rt\xc4\xb1nas\xc4\xb1 da nereden \xc3\xa7\xc4\xb1kt\xc4\xb1 ? diyen varsa i\xc5\x9fte tam da bu sebepten \xc3\xa7\xc4\xb1kt\xc4\xb1 bu r\xc3\xbczgar onlar\xc4\xb1 getiriyor do\xc4\x9fa olmas\xc4\xb1 gerekeni yap\xc4\xb1yor \xe2\x9d\xa4\xef\xb8\x8f )\niyi yazlar'
1509579001102323720,2022-03-31 17:10:55+00:00,"b""RT @SocratesDergi: \xf0\x9f\xaa\x90 @mehmetdemirkolb, @SamsungTurkiye'nin sponsorlu\xc4\x9funda Galaxy Rehberi'ne dal\xc4\xb1yor ve renkli konuklar\xc4\xb1n\xc4\xb1 Socrates'te a\xc4\x9f\xc4\xb1rl\xe2\x80\xa6"""
1509217925307289605,2022-03-30 17:16:07+00:00,b'@omergencia Ne eser ama\xf0\x9f\x8e\xb6\xf0\x9f\x99\x8f'
1508796056796028938,2022-03-29 13:19:46+00:00,b'#bursab\xc3\xbclb\xc3\xbcl\xc3\xbc yola \xc3\xa7\xc4\xb1kt\xc4\xb1\xf0\x9f\xa7\xbf\xf0\x9f\xa5\xb3\xf0\x9f\x8e\xac\xf0\x9f\x8e\xac\xf0\x9f\x8e\xa5\xe2\x9d\xa4\xef\xb8\x8f https://t.co/8fYBov4oCq'
1508371527070269447,2022-03-28 09:12:50+00:00,b'Sahnede ba\xc5\x9f\xc4\xb1ma gelmeyen kalmad\xc4\xb1\xe2\x80\x99 derken bir daha d\xc3\xbc\xc5\x9f\xc3\xbcnece\xc4\x9fim art\xc4\xb1k!\nBu nedir yahu?\n\xc3\x87ok \xc3\xbcz\xc3\xbcc\xc3\xbc \xc3\xa7ok \xc3\xa7irkin \xc3\xa7ok ! https://t.co/fOr8twuV2K'
1507390121741590530,2022-03-25 16:13:05+00:00,b'Tebdili k\xc4\xb1yafet :)\n@AlgidaTurkiye booll kaymak https://t.co/AcZVmO871v'
