twitter_id,date,tweet
1539916350218543105,2022-06-23 10:20:42+00:00,b'\xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd8\xaf\xd9\x88\xd8\xb3 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb9\xd9\x84\xd9\x89 \xd9\x8a\xd8\xa7 \xd8\xb1\xd8\xac\xd9\x84\n\xd9\x85\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xb4\xd9\x87\xd8\xaf\xd8\xa7\xd8\xa1 \xd9\x88 \xd8\xa7\xd9\x84\xd8\xb5\xd8\xaf\xd9\x8a\xd9\x82\xd9\x8a\xd9\x86 \xd8\xa8\xd8\xa5\xd8\xb0\xd9\x86 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87\n\xd8\xa5\xd9\x86\xd8\xa7 \xd9\x84\xd9\x84\xd9\x87 \xd9\x88 \xd8\xa5\xd9\x86\xd8\xa7 \xd8\xa5\xd9\x84\xd9\x8a\xd9\x87 \xd8\xb1\xd8\xa7\xd8\xac\xd8\xb9\xd9\x88\xd9\x86 https://t.co/zObQ76RV1M'
1034083569239556096,2018-08-27 14:21:49+00:00,b'\xd8\xa3\xd8\xb4\xd9\x83\xd8\xb1 \xd8\xa5\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xa9 \xd8\xaa\xd9\x88\xd9\x8a\xd8\xaa\xd8\xb1 \xd9\x88 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb5\xd8\xaf\xd9\x82\xd8\xa7\xd8\xa1 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x85\xd9\x84\xd9\x8a\xd9\x86 \xd9\x81\xd9\x8a\xd9\x87\xd8\xa7 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xa7\xd8\xb3\xd8\xaa\xd8\xb9\xd8\xa7\xd8\xaf\xd8\xa9 \xd9\x87\xd8\xb0\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xad\xd8\xb3\xd8\xa7\xd8\xa8 \xd9\x81\xd9\x8a \xd8\xb2\xd9\x85\xd9\x86 \xd9\x82\xd9\x8a\xd8\xa7\xd8\xb3\xd9\x8a. \xd9\x8a\xd8\xac\xd8\xb1\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa2\xd9\x86 \xd8\xaa\xd8\xad\xd8\xaf\xd9\x8a\xd8\xaf \xd9\x87\xd9\x88\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x81\xd8\xa7\xd8\xb9\xd9\x84'
1033860842763300867,2018-08-26 23:36:47+00:00,b'@ayman_khashab @desauve No it has not.'
1033860578098462720,2018-08-26 23:35:44+00:00,b'@de_lecoeur speak english mate'
1027852039513092096,2018-08-10 09:39:57+00:00,b'RT @dw_Sulta5: \xd9\x85\xd8\xb5\xd8\xb7\xd9\x81\xd9\x89 \xd8\xb3\xd8\xb9\xd9\x8a\xd8\xaf \xd9\x8a\xd8\xba\xd9\x86\xd9\x8a \xd9\x83\xd9\x84\xd9\x85\xd8\xa7\xd8\xaa \xd9\x8a\xd8\xb3\xd8\xb1\xd9\x8a \xd9\x81\xd9\x88\xd8\xaf\xd9\x87\n\xd9\x81\xd9\x8a #\xd8\xa7\xd9\x84\xd8\xb3\xd9\x84\xd8\xb7\xd8\xa9_\xd8\xa7\xd9\x84\xd8\xae\xd8\xa7\xd9\x85\xd8\xb3\xd8\xa9 \xd9\x85\xd8\xb9 @YosriFouda \xd8\xb9\xd9\x84\xd9\x89 \xd8\xb4\xd8\xa7\xd8\xb4\xd8\xa9 @dw_arabic https://t.co/Idkh19603q'
1027288403262545924,2018-08-08 20:20:16+00:00,b'RT @dw_Sulta5: \xd8\xab\xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb5\xd8\xad\xd8\xa7\xd9\x81\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xad\xd8\xb1\xd8\xa9.. \xd9\x83\xd8\xaa\xd9\x8a\xd8\xa8\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xaa\xd8\xad\xd9\x82\xd9\x8a\xd9\x82\xd8\xa7\xd8\xaa\n\xd9\x81\xd9\x8a #\xd8\xa7\xd9\x84\xd8\xb3\xd9\x84\xd8\xb7\xd8\xa9_\xd8\xa7\xd9\x84\xd8\xae\xd8\xa7\xd9\x85\xd8\xb3\xd8\xa9 \xd9\x85\xd8\xb9 @YosriFouda \xd8\xb9\xd9\x84\xd9\x89 \xd8\xb4\xd8\xa7\xd8\xb4\xd8\xa9 @dw_arabic https://t.co/lrr1flQurU'
1027268940874113025,2018-08-08 19:02:55+00:00,b'RT @dw_Sulta5: \xd9\x8a\xd8\xb3\xd8\xb1\xd9\x8a \xd9\x81\xd9\x88\xd8\xaf\xd9\x87: \xd8\xad\xd8\xb5\xd8\xa7\xd8\xaf \xd8\xb9\xd8\xa7\xd9\x85\xd9\x8a\xd9\x86 \xd9\x83\xd8\xa7\xd9\x85\xd9\x84\xd9\x8a\xd9\x86 \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xa8\xd8\xa7\xd8\xad\xd8\xa9 \xd8\xb6\xd8\xaf \xd8\xa7\xd9\x84\xd8\xaa\xd9\x8a\xd8\xa7\xd8\xb1\n\xd9\x81\xd9\x8a #\xd8\xa7\xd9\x84\xd8\xb3\xd9\x84\xd8\xb7\xd8\xa9_\xd8\xa7\xd9\x84\xd8\xae\xd8\xa7\xd9\x85\xd8\xb3\xd8\xa9 \xd9\x85\xd8\xb9 @YosriFouda \xd8\xb9\xd9\x84\xd9\x89 \xd8\xb4\xd8\xa7\xd8\xb4\xd8\xa9 @dw_arabic https://t.co/7p0FOIq\xe2\x80\xa6'
1025454466454171650,2018-08-03 18:52:51+00:00,b'\xd8\xa5\xd9\x84\xd9\x89 \xd9\x85\xd9\x86 \xd9\x8a\xd9\x87\xd9\x85\xd9\x87 \xd8\xa7\xd9\x84\xd8\xa3\xd9\x85\xd8\xb1 https://t.co/zoeMXCOrpz'
1025101442519105536,2018-08-02 19:30:04+00:00,b'RT @dw_Sulta5: \xd8\xa7\xd9\x84\xd8\xaa\xd9\x88\xd9\x8a\xd8\xa8\xd9\x84\xd9\x88\xd9\x85\xd8\xa7\xd8\xb3\xd9\x8a\xd8\xa9: 6 \xd8\xaf\xd9\x88\xd9\x84 \xd9\x81\xd9\x82\xd8\xb7 \xd9\x84\xd8\xa7 \xd9\x88\xd8\xac\xd9\x88\xd8\xaf \xd9\x84\xd9\x87\xd8\xa7 \xd8\xb9\xd9\x84\xd9\x89 \xd9\x85\xd9\x88\xd8\xa7\xd9\x82\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xaa\xd9\x88\xd8\xa7\xd8\xb5\xd9\x84 \n#\xd8\xa7\xd9\x84\xd8\xb3\xd9\x84\xd8\xb7\xd8\xa9_\xd8\xa7\xd9\x84\xd8\xae\xd8\xa7\xd9\x85\xd8\xb3\xd8\xa9 \xd9\x85\xd8\xb9 @YosriFouda \xd8\xb9\xd9\x84\xd9\x89 \xd8\xb4\xd8\xa7\xd8\xb4\xd8\xa9 @dw_arabic\n\xd9\x88 \xd8\xa5\xd9\x84\xd9\x8a\xd9\x83\xd9\x85 \xd8\xb1\xd8\xa7\xd8\xa8\xd8\xb7 \xd8\xa7\xd9\x84\xd8\xad\xd9\x84\xe2\x80\xa6'
1025080862386401281,2018-08-02 18:08:17+00:00,"b'RT @dw_Sulta5: \xd8\xa3\xd8\xad\xd9\x84\xd8\xa7\xd9\x85 \xd8\xa7\xd9\x84\xd9\x81\xd8\xaa\xd9\x89 ""\xd8\xa8\xd9\x88\xd8\xb1\xd9\x8a\xd8\xb3"": \xd9\x83\xd9\x8a\xd9\x81 \xd8\xaa\xd9\x88\xd8\xb1\xd8\xb7\xd8\xaa \xd8\xa8\xd9\x84\xd8\xaf\xd8\xa9 \xd9\x85\xd9\x82\xd8\xaf\xd9\x88\xd9\x86\xd9\x8a\xd8\xa9 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa7\xd9\x86\xd8\xaa\xd8\xae\xd8\xa7\xd8\xa8\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xa3\xd9\x85\xd8\xb1\xd9\x8a\xd9\x83\xd9\x8a\xd8\xa9\n #\xd8\xa7\xd9\x84\xd8\xb3\xd9\x84\xd8\xb7\xd8\xa9_\xd8\xa7\xd9\x84\xd8\xae\xd8\xa7\xd9\x85\xd8\xb3\xd8\xa9 \xd9\x85\xd8\xb9 @YosriFouda \xd8\xb9\xd9\x84\xd9\x89 \xd8\xb4\xd8\xa7\xd8\xb4\xd8\xa9 @dw_arabic\n\xd9\x88 \xd8\xa5\xd9\x84\xe2\x80\xa6'"
