twitter_id,date,tweet
1545521508923183106,2022-07-08 21:33:36+00:00,b'@SrBachchan https://t.co/1cNFeJvoQL'
1545443775887151104,2022-07-08 16:24:43+00:00,b'RT @amit_AishGang: \xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4\n#PonniyinSelvan #AishwaryaRaiBachchan https://t.co/Q2BrzfgAWe'
1545443711676518403,2022-07-08 16:24:28+00:00,b'This looks huge!!! Can\xe2\x80\x99t wait!!\n#PS-1  https://t.co/nv1tpD2FWm'
1544737710295973891,2022-07-06 17:39:04+00:00,b'@MosesSapir https://t.co/yoRJaefFt5'
1544734432690675712,2022-07-06 17:26:03+00:00,b'RT @Ruth4ashab: That face never disappoints #AishwaryaRaiBachchan as #NandhiniDevi #PonniyinSelvan @LycaProductions @MadrasTalkies_ https:/\xe2\x80\xa6'
1544731470513799171,2022-07-06 17:14:16+00:00,b'Beautiful indeed. \xe2\x98\xba\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/Bv6ZYmEUdR'
1543464033252249601,2022-07-03 05:17:56+00:00,"b'@adeshcjain Thank you, sir. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'"
1543376839846072320,2022-07-02 23:31:27+00:00,b'@NamkeenJalebi Thank you for watching.'
1542751917964759042,2022-07-01 06:08:14+00:00,b'@Abj007 @SrBachchan https://t.co/IYAU8smJ44'
1542751214911225857,2022-07-01 06:05:27+00:00,b'@kunalkohli https://t.co/DjlaDQ6Osi'
1542533821572194306,2022-06-30 15:41:36+00:00,b'@VishalDadlani https://t.co/gJwpQJxXZr'
1542532787512672257,2022-06-30 15:37:30+00:00,b'@Ruth4ashab @BachchanJrFC https://t.co/iXLPi909nj'
1542532654800707586,2022-06-30 15:36:58+00:00,b'@kookievgulati https://t.co/JfmePrJpJN'
1542532534915010561,2022-06-30 15:36:29+00:00,b'@TasnimaKTastic https://t.co/AsT6lqWVWy'
1542532480795803650,2022-06-30 15:36:16+00:00,b'@rohan_bhave https://t.co/oXaqUE99MJ'
1542531518500933633,2022-06-30 15:32:27+00:00,b'@mayurpuri https://t.co/DOungGSuC9'
1542531106284740608,2022-06-30 15:30:49+00:00,b'@akshayerathi https://t.co/LoTdMIKef1'
1542531063729295363,2022-06-30 15:30:39+00:00,b'@ChotuMissMuffet https://t.co/WCIQuBJ4Kf'
1542403712425000960,2022-06-30 07:04:36+00:00,b'@rajbansal9 Thank you Raj ji. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
1542403024265560064,2022-06-30 07:01:52+00:00,b'@amit_AishGang @BachchanJrFC @SrBachchan https://t.co/UOL3h6bc9y'
1542389543856488449,2022-06-30 06:08:18+00:00,b'@ej_abarb @fifipewz @BachchanJrFC https://t.co/T4N2t0lPP8'
1542389409978499079,2022-06-30 06:07:46+00:00,b'@nayangotecha @Gayatree_bg @BachchanJrFC https://t.co/frUIo3L4it'
1542389245125574658,2022-06-30 06:07:06+00:00,b'@Iamrahullahoti https://t.co/0geiuRnC3R'
1542389198468091906,2022-06-30 06:06:55+00:00,b'@SwetaLoveAB @SrBachchan https://t.co/kfXZBjtYCG'
1542388280238424064,2022-06-30 06:03:16+00:00,b'@NiTiSHmurthy https://t.co/w4NRtGrPkb'
1542388028366266375,2022-06-30 06:02:16+00:00,b'@fifipewz @BachchanJrFC https://t.co/loGNbNJX0R'
1542387924532187140,2022-06-30 06:01:52+00:00,b'@somraje https://t.co/0WuU4jiG5E'
1542387574416760833,2022-06-30 06:00:28+00:00,b'@Gayatree_bg @BachchanJrFC https://t.co/5NJWZbbhJX'
1542385257340669952,2022-06-30 05:51:16+00:00,b'@Miss_Neha95 https://t.co/xvUNZAzM57'
1542384607005392896,2022-06-30 05:48:41+00:00,b'@JustMeJaz https://t.co/t7n0q8tp3g'
1542384553616150532,2022-06-30 05:48:28+00:00,b'@kamaalrkhan Thank you bhaijaan. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
1542310180771225600,2022-06-30 00:52:56+00:00,b'@DevendraPai @NiTiSHmurthy @BachchanJrFC @filmykiida @adityanighhot @TasnimaKTastic @TheGurinder @Gayatree_bg @melisahdr @netrakulkarni28 @Premsukh7 Brilliant!!!! More convincing than me.'
1540732103058329608,2022-06-25 16:22:13+00:00,b'@BeejalBhatt @SrBachchan \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
1540732023828103168,2022-06-25 16:21:54+00:00,b'@rohan_bhave https://t.co/S90Jsptj9Y'
1540731937530077187,2022-06-25 16:21:33+00:00,b'@LambaBhavesh Thank you.'
1540731811176800257,2022-06-25 16:21:03+00:00,b'@BachchanJrFC https://t.co/2FYyLP2b8Q'
1540731750283808770,2022-06-25 16:20:49+00:00,b'@SanaFarzeen Thank you'
1540717721167441920,2022-06-25 15:25:04+00:00,b'@MikaSingh @IIFA @ColorsTV https://t.co/Ik7ElTYfX7'
1540703742240075777,2022-06-25 14:29:31+00:00,"b'Looking forward to you guys seeing the performance. \nNEXA IIFA Awards!\n\nTonight, 8 PM onwards only on Colors. IST\n\n#IIFAonColors #iifa2022 @colorstv @iifa https://t.co/8jD9dOgrR8'"
1540358926897913858,2022-06-24 15:39:21+00:00,"b'Be ready to watch my power-packed performance at the NEXA IIFA Awards!\n\nOn 25th June, 8 PM onwards only on Colors.\n\n#IIFAonColors #iifa2022 @colorstv @iifa https://t.co/rrVabwEWhG'"
1539158563800485889,2022-06-21 08:09:32+00:00,b'Aaj gadar macha re!\nCelebrating 10 successful weeks of #Dasvi\xe2\x9c\xa8 https://t.co/vsC4KlHwcu'
1538793435788111872,2022-06-20 07:58:39+00:00,b'@FardeenFKhan Pure passion and pure genius!!!'
1538571023968530432,2022-06-19 17:14:52+00:00,b'Proud to be BACHCHAN JUNIOR!\n\n#HappyFathersDay\n#FathersDay \n#ToolsidasJunior #ToolsidasJuniorOnNetlflix\n@agppl \xe2\x81\xa6@duttsanjay\xe2\x81\xa9 #RajeevKapoor \xe2\x81\xa6@AshGowariker\xe2\x81\xa9 https://t.co/WFCkc0kGgW'
1538480793793998848,2022-06-19 11:16:19+00:00,b'@YUVSTRONG12 @hazelkeech Congratulations guys. So wonderful. \xf0\x9f\xa4\x97'
1538445575255097344,2022-06-19 08:56:22+00:00,b'All the best @MikaSingh \nLooking forward. #mikadivoti https://t.co/znFQo2XhPr'
1538445274024407040,2022-06-19 08:55:10+00:00,b'@kookievgulati @TusharJalota Thank you sir'
1538424989992747008,2022-06-19 07:34:34+00:00,b'#Dasvi https://t.co/M5GR7dMfuB https://t.co/NMyFEF1V9f'
1538424874435489792,2022-06-19 07:34:07+00:00,"b""RT @JagranNews: \xe0\xa4\x85\xe0\xa4\xad\xe0\xa4\xbf\xe0\xa4\xb7\xe0\xa5\x87\xe0\xa4\x95 \xe0\xa4\xac\xe0\xa4\x9a\xe0\xa5\x8d\xe0\xa4\x9a\xe0\xa4\xa8 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xab\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa5\x8d\xe0\xa4\xae '\xe0\xa4\xa6\xe0\xa4\xb8\xe0\xa4\xb5\xe0\xa5\x80\xe0\xa4\x82' \xe0\xa4\xb0\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa4\xb2 \xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\x87\xe0\xa4\xab \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\x9f, \xe0\xa4\x86\xe0\xa4\x97\xe0\xa4\xb0\xe0\xa4\xbe \xe0\xa4\xb8\xe0\xa5\x87\xe0\xa4\x82\xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xb2 \xe0\xa4\x9c\xe0\xa5\x87\xe0\xa4\xb2 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xa8\xe0\xa5\x8c \xe0\xa4\xac\xe0\xa4\x82\xe0\xa4\xa6\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xb8 \xe0\xa4\x95\xe0\xa4\xb0 \xe0\xa4\xb2\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\xac\xe0\xa5\x8b\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa1 \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\x87\xe0\xa4\xae\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbf\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xa8\n\n#UttarPra\xe2\x80\xa6"""
1538424493739491328,2022-06-19 07:32:36+00:00,b'@hiteshbhatia009 @SrBachchan \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'
1538419994467639296,2022-06-19 07:14:43+00:00,b'This is the best news of the day. How wonderful!!! So proud of @TusharJalota and team #Dasvi   \nCongratulations to the inmates. https://t.co/OhKaSL8GTz'
1538419537992773632,2022-06-19 07:12:54+00:00,"b""Main man!!!\nHappy Father's Day, Pa.\nLove you.\n@SrBachchan \n\n\xf0\x9f\x93\xb8 #PrasadNaaik https://t.co/xaotfPjzje"""
1538132538400485377,2022-06-18 12:12:28+00:00,b'@iamsonalibendre \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd'
