twitter_id,date,tweet
1545760795832762368,2022-07-09 13:24:27+00:00,b'Paris \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/rEEW8PGLGt'
1542162084036747265,2022-06-29 15:04:27+00:00,b'New @dustmagazine \xe2\x9c\xa8 \n\xf0\x9f\x93\xb8 @luigiandiango https://t.co/bkXnJ138zD'
1538531991078903812,2022-06-19 14:39:45+00:00,b'Daddy\xe2\x80\x99s number one cheerleader! We love you so much!!! Happy father\xe2\x80\x99s Day! @TomBrady \xe2\x9d\xa4\xef\xb8\x8f https://t.co/Npw1CucC5g'
1537449109820297216,2022-06-16 14:56:46+00:00,"b'RT @ForbesBR: As zonas azuis do planeta, locais nos quais a popula\xc3\xa7\xc3\xa3o tem um estilo de vida ligado \xc3\xa0 natureza, s\xc3\xa3o tema da segunda edi\xc3\xa7\xc3\xa3o d\xe2\x80\xa6'"
1537406359523803137,2022-06-16 12:06:54+00:00,b'Nova @forbeslifebr @forbesbr \xf0\x9f\x93\xb8\xe2\x9c\xa8 https://t.co/VV6jlBQhDB'
1533520185696583681,2022-06-05 18:44:38+00:00,b'What are your Earth Action Numbers? This #WorldEnvironmentDay add them to the world\xc2\xa0map:\xc2\xa0https://t.co/h2MajLz8Ax\xc2\xa0We have #OnlyOneEarth. Let\xe2\x80\x99stake care of it.\xc2\xa0\xef\xbf\xbc\xc2\xa0@UNEP https://t.co/D2BKpU7KnW'
1533477372837695488,2022-06-05 15:54:30+00:00,b'Gostaria de agradecer de cora\xc3\xa7\xc3\xa3o a todas as pessoas que \xe2\x80\xa6\nhttps://t.co/hCT19XfCBM'
1526974722914897920,2022-05-18 17:15:18+00:00,"b'RT @BritishVogue: As she covers the June 2022 issue, revisit @GiseleOfficial\xe2\x80\x99s greatest moments in British Vogue through the years. https:/\xe2\x80\xa6'"
1526960490467012608,2022-05-18 16:18:45+00:00,"b'RT @BritishVogue: Welcome to the world of @GiseleOfficial, as the supermodel tells @NnadiByNature what makes it spin in the June 2022 issue\xe2\x80\xa6'"
1523303641972879365,2022-05-08 14:07:44+00:00,b'Just posted a photo https://t.co/VwroiDAtre'
1521161311111073792,2022-05-02 16:14:53+00:00,b'Flashback from MET Monday .. before the ball!\n\nhttps://t.co/qS97pyEwak'
1521114507422179328,2022-05-02 13:08:54+00:00,"b'RT @UNEP: #DYK the degradation of forests\xf0\x9f\x8c\xb2is continuing at an alarming\xf0\x9f\x9a\xa8rate?\n\nHowever, through protection and restoration, we can ensure th\xe2\x80\xa6'"
1520803230418194432,2022-05-01 16:31:59+00:00,b'Just posted a photo https://t.co/YImuzLIX7s'
1519288389715038211,2022-04-27 12:12:33+00:00,b'I had so much fun playing dress up with my friends at  @vmagazine \xf0\x9f\x93\xb8 \nMe diverti muito me fantasiando com meus amigos da V magazine.\nQual \xc3\xa9 sua capa favorita? https://t.co/BEA5Ytnak9'
1517513129390923777,2022-04-22 14:38:18+00:00,"b'RT @DraftKingsNews: This #EarthDay, we along with our advisor to the CEO @giseleofficial and @ArborDay are proud to announce we hit our goa\xe2\x80\xa6'"
1501235206560391181,2022-03-08 16:35:39+00:00,b'Just posted a photo https://t.co/YN7fpbZ7PD'
1496514489583292432,2022-02-23 15:57:12+00:00,"b'I believe the more tools we have in our toolbox the better. I feel stronger, more confidence and empowered since I started practicing self-defense. I feel it\xe2\x80\x99s an important skill for all, but specially for us women. \xf0\x9f\xa4\x9b\xf0\x9f\x8f\xbc https://t.co/EzUpylXfD4'"
1496513004921401352,2022-02-23 15:51:18+00:00,b'RT @wwd: The supermodel remains attached to United Talent Agency for representation outside of fashion and beauty. https://t.co/yYRKz3CMiX'
1493263278931279873,2022-02-14 16:38:03+00:00,b'Just posted a photo https://t.co/Y50XfAu6uF'
1493011932877664256,2022-02-13 23:59:18+00:00,"b"". @FTX_Official is giving away #bitcoin when their Big Game ad airs tonight. Watch to find out how much they'll be giving away #FTXContest\n\nNo Purch Nec. Subject to T&amp;C: https://t.co/3FlvSv4EOn #ad"""
1488962194394034180,2022-02-02 19:47:05+00:00,b'@tassoazevedo @mapbiomas \xf0\x9f\x92\x9a'
1488961281260498945,2022-02-02 19:43:27+00:00,"b'RT @tassoazevedo: O Pampa com seus vastos campos, banhados e lagoas funciona como um aeroporto internacional com multiplas conex\xc3\xb5es para as\xe2\x80\xa6'"
1488636681477570572,2022-02-01 22:13:37+00:00,b'What a ride my love!  \xe2\x9d\xa4\xef\xb8\x8f @TomBrady https://t.co/7MjFmzWjbn'
1488629588410257410,2022-02-01 21:45:25+00:00,b'Just posted a photo https://t.co/mkf7yRiPg0'
1481280337091174400,2022-01-12 15:02:07+00:00,b'Just posted a photo https://t.co/iNFDGKkpau'
1477693886713761795,2022-01-02 17:30:51+00:00,b'Just posted a photo https://t.co/V9OEPN8hxA'
1475821938631229445,2021-12-28 13:32:24+00:00,"b'Temos novos membros na fam\xc3\xadlia! Gatinhos, cachorros, pintinhos! Eu amo! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x90\xa5 \xf0\x9f\x90\x88 \xf0\x9f\x90\x95 We have new members in the family!  Kittens, dogs, chicks! I am in love ! https://t.co/im7RP2swua'"
1468588664569667588,2021-12-08 14:29:57+00:00,b'Just posted a photo https://t.co/XNwsymtvtN'
1467517810377203726,2021-12-05 15:34:45+00:00,b'Just posted a photo https://t.co/uVHdvHUOgM'
1463961943237083140,2021-11-25 20:05:01+00:00,b'Happy Thanksgiving! \xf0\x9f\x99\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/tyH8hvlXwi'
1463154214629261319,2021-11-23 14:35:23+00:00,b'New recipe!!! \xf0\x9f\x98\x8b\n Nova receita!!! https://t.co/B0pgbbASoM'
1461306363326480389,2021-11-18 12:12:41+00:00,b'Just posted a photo https://t.co/uS19BPEdvo'
1458530554610081801,2021-11-10 20:22:37+00:00,"b'RT @UNEP: Another busy day at #COP26 with: \n\n- #GenerationRestoration film fest w/ @giseleofficial, Oscar-winning filmmakers &amp; producers, r\xe2\x80\xa6'"
1458481534839758851,2021-11-10 17:07:49+00:00,b'Por mais not\xc3\xadcias e exemplos como o do seu  Nelson Ara\xc3\xbajo Filho! \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8fhttps://t.co/LLHPjwQKm2 https://t.co/KnIl0MSXNb'
1458455417693122565,2021-11-10 15:24:03+00:00,"b'RT @UNEP_AsiaPac: Join us at our first, free &amp; virtual #GenerationRestoration Film Festival at #COP26  \n\nFeaturing:\n\xf0\x9f\x9f\xa2Kiss The Ground\n\xf0\x9f\x9f\xa4@gise\xe2\x80\xa6'"
1458454249449398282,2021-11-10 15:19:24+00:00,b'\xf0\x9f\x8c\x8dLIVE NOW!\nFilm Festival Panel: Kiss the Ground\n@kissthegroundCA @Johndliu @drvandanashiva @DazeAghaji @earthrisestudio #GenerationRestoration \n\nhttps://t.co/emEzVhM1Tw'
1458453248952700938,2021-11-10 15:15:25+00:00,b'RT @GlobalLF: \xf0\x9f\x94\xb4 LIVE NOW!\n#GenerationRestoration Film Festival Panel: Kiss the Ground\n@kissthegroundCA @giseleofficial @Johndliu @drvandana\xe2\x80\xa6'
1458445375287726084,2021-11-10 14:44:08+00:00,b'Today #COP24FilmFestival panel live on -&gt;\nhttps://t.co/M5J5WAxO6Y https://t.co/EPrNkPIw2I'
1458161637408575490,2021-11-09 19:56:40+00:00,b'RT @TomBrady: Man In The Arena airs next Tuesday on @ESPNPlus. Working with @religionofsport on this project has been so much fun. \n\nI am s\xe2\x80\xa6'
1456239695814344708,2021-11-04 12:39:33+00:00,"b'RT @COP26: \xf0\x9f\x93\xa2 NEWS: #COP26 is consigning coal to history\n\n\xe2\x9c\x85 23 countries are making new commitments to phase out coal power, including 5 of\xe2\x80\xa6'"
1456235527515029511,2021-11-04 12:22:59+00:00,"b'RT @UNEP: At #COP26, @antonioguterres released a global roadmap to achieve SDG7 by 2030 and net zero by 2050, which outlines the critical\xc2\xa0m\xe2\x80\xa6'"
1455986784538607616,2021-11-03 19:54:35+00:00,"b'RT @UNEP: UNEP was busy at #COP26 on Wednesday with a number finance-related events, the launch of a sustainable cooling handbook for citie\xe2\x80\xa6'"
1455902031474999309,2021-11-03 14:17:48+00:00,b'RT @antonioguterres: We must keep the goal of 1.5 degrees Celsius warming alive.\n\nThis requires greater action on mitigation and immediate\xe2\x80\xa6'
1455142528949313539,2021-11-01 11:59:48+00:00,b'Hope you all had a great Halloween! Arrr from the Tampa Bay pirates!!! \xf0\x9f\x8f\xb4\xe2\x80\x8d\xe2\x98\xa0\xef\xb8\x8f \xe2\x9d\xa4\xef\xb8\x8f Os piratas de Tampa! https://t.co/S6RDZ5Qz60'
1454115420064079872,2021-10-29 15:58:26+00:00,b'RT @BrazilFound: @giseleofficial \xc3\xa9 homenageada durante jantar anual da BrazilFoundation por seu trabalho com o Fundo Luz Alliance - via @vo\xe2\x80\xa6'
1454079659474292736,2021-10-29 13:36:20+00:00,"b'I created the Luz Alliance Fund to help the most vulnerable families in Brazil during the pandemic and I am thrilled that together we raised over R$ 7,7 M funds that directly supported more than 143,000 people to date.\nThis was only possible...  https://t.co/W1g9Mtx7Vg'"
1451178247404851203,2021-10-21 13:27:10+00:00,"b'RT @ClimaInfoNews: A conclus\xc3\xa3o do estudo refor\xc3\xa7a aquilo que j\xc3\xa1 sab\xc3\xadamos: a floresta em p\xc3\xa9, preservada e protegida, rende muito mais do que\xe2\x80\xa6'"
1450200440210173954,2021-10-18 20:41:43+00:00,b'I\xe2\x80\x99m excited to participate in the first @therenaissanceawards that celebrates young leaders from all over the globe who are working to create a better world. They prove to us all that we can do it!  https://t.co/9j6uni0HH1 https://t.co/HfoTtWd9dS'
1449814000246603789,2021-10-17 19:06:08+00:00,b'What else would I have been talking about. https://t.co/LOEmtHRcO4'
1449443773575016453,2021-10-16 18:34:59+00:00,b'Time for a trade? https://t.co/V1m4EHpUvX'
1449407038128369666,2021-10-16 16:09:01+00:00,b'Just posted a photo https://t.co/6HXRGOGymp'
1448814268720222212,2021-10-15 00:53:33+00:00,b'Touchdown!!!! #GoBucs'
1445767693815087106,2021-10-06 15:07:33+00:00,b'Just posted a photo https://t.co/hXpDOtpJ7d'
1440690051269025809,2021-09-22 14:50:49+00:00,b'Just posted a photo https://t.co/BtqxKK3t4u'
1438504575330254851,2021-09-16 14:06:31+00:00,b'Just posted a photo https://t.co/Gabxh6bTVi'
1436092454567022595,2021-09-09 22:21:37+00:00,b'Here we go again! Let\xe2\x80\x99s go @tombrady !!! Let\xe2\x80\x99s go Bucs!!\xe2\x9c\xa8\xe2\x9c\xa8\xe2\x9c\xa8 Aqui vamos n\xc3\xb3s novamente! Vamos Tom!! Vamos Bucs!! https://t.co/XrsjDr1Dle'
1435953787240390659,2021-09-09 13:10:36+00:00,"b'Hey @kevinolearytv @StephenCurry30 @MiamiHEAT @riotgames @LCSOfficial @TSM, you in? @ftx_official #FTXyouin https://t.co/FFwnZiI7D2'"
1434551272208748550,2021-09-05 16:17:30+00:00,"b'RT @alokoficial: Sem Amaz\xc3\xb4nia n\xc3\xa3o tem ordem, n\xc3\xa3o tem progresso, n\xc3\xa3o tem Brasil.\n\nWithout the Amazon there is no order, there is no progress\xe2\x80\xa6'"
1433073146173825024,2021-09-01 14:23:57+00:00,"b'Hoje \xc3\xa9 o julgamento que pode definir o futuro das demarca\xc3\xa7\xc3\xb5es de Terras Ind\xc3\xadgenas do Brasil! Defender suas terras, \xc3\xa9 honrar as ra\xc3\xadzes do Brasil, proteger natureza e o nosso futuro. #MarcoTemporalN\xc3\xa3o #PL490N\xc3\xa3o\nhttps://t.co/FJrPys41EK'"
1433071032844292098,2021-09-01 14:15:34+00:00,"b'RT @alokoficial: Logo mais o STF retomar\xc3\xa1 o julgamento sobre o ""Marco Temporal"". #MarcoTemporalN\xc3\xa3o #PL490NAO \nhttps://t.co/9sYykxAmMJ'"
1433069872754438152,2021-09-01 14:10:57+00:00,b'RT @ApibOficial: O STF considerou a REPERCUSS\xc3\x83O GERAL do julgamento da Terra Ind\xc3\xadgena Ibirama-L\xc3\xa3 Klan\xc3\xb5 do povo Xokleng em Santa Catarina. I\xe2\x80\xa6'
1430933685981884424,2021-08-26 16:42:30+00:00,b'#MarcoTemporalN\xc3\xa3o \n\n https://t.co/xxnaeSAwIW'
1430926826591883272,2021-08-26 16:15:15+00:00,"b'RT @ClimaInfoNews: Vejam as imagens das imedia\xc3\xa7\xc3\xb5es do Parque do Xingu entre 1984 e 2018, elas mostram uma das raz\xc3\xb5es de dizermos #MarcoTemp\xe2\x80\xa6'"
