twitter_id,date,tweet
1546626152143491074,2022-07-11 22:43:04+00:00,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/VoGJCewCnB'
1546621236721209344,2022-07-11 22:23:32+00:00,b'RT @Badermasaker: \xd9\x86\xd8\xac\xd8\xa7\xd8\xad \xd8\xad\xd8\xac \xd9\x87\xd8\xb0\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x85\n\xd8\xa7\xd8\xb3\xd8\xaa\xd9\x85\xd8\xb1\xd8\xa7\xd8\xb1 \xd9\x84\xd8\xa7\xd9\x87\xd8\xaa\xd9\x85\xd8\xa7\xd9\x85 \xd8\xa7\xd9\x84\xd9\x82\xd9\x8a\xd8\xa7\xd8\xaf\xd8\xa9 \xd8\xa8\xd8\xb6\xd9\x8a\xd9\x88\xd9\x81 \xd8\xa7\xd9\x84\xd8\xb1\xd8\xad\xd9\x85\xd9\x86\n\xd8\xa8\xd8\xb9\xd9\x85\xd9\x84 \xd8\xaf\xd8\xa4\xd9\x88\xd8\xa8 \xd9\x88\xd9\x85\xd8\xac\xd9\x87\xd9\x88\xd8\xaf\xd8\xa7\xd8\xaa \xd9\x86\xd9\x88\xd8\xb9\xd9\x8a\xd8\xa9..\n\xd9\x83\xd9\x85\xd8\xa7 \xd9\x86\xd9\x81\xd8\xae\xd8\xb1 \xd8\xa8\xd9\x83\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x85\xd9\x84\xd9\x8a\xd9\x86 \xd9\x81\xd9\x8a \xd8\xae\xd8\xaf\xd9\x85\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xad\xd8\xac\xd8\xa7\xd8\xac\n\xd9\x88\xd9\x86\xe2\x80\xa6'
1546621206429941768,2022-07-11 22:23:25+00:00,b'RT @AdelAliBinAli: \xd8\xa5\xd9\x85\xd8\xa7 \xd8\xa3\xd9\x86 \xd8\xaa\xd9\x83\xd8\xaa\xd8\xa8 \xd8\xb4\xd9\x8a\xd8\xa6\xd8\xa7\xd9\x8b \n\xd9\x8a\xd8\xb3\xd8\xaa\xd8\xad\xd9\x82 \xd8\xa7\xd9\x84\xd9\x82\xd8\xb1\xd8\xa7\xd8\xa1\xd8\xa9\n\xd8\xa3\xd9\x88 \xd8\xaa\xd9\x81\xd8\xb9\xd9\x84 \xd8\xb4\xd9\x8a\xd8\xa6\xd8\xa7\xd9\x8b\n\xd9\x8a\xd8\xb3\xd8\xaa\xd8\xad\xd9\x82 \xd8\xa7\xd9\x84\xd9\x83\xd8\xaa\xd8\xa7\xd8\xa8\xd8\xa9\n.\n\xd8\xa8\xd9\x86\xd8\xac\xd8\xa7\xd9\x85\xd9\x8a\xd9\x86 \xd9\x81\xd8\xb1\xd8\xa7\xd9\x86\xd9\x83\xd9\x84\xd9\x8a\xd9\x86'
1546621200679538689,2022-07-11 22:23:23+00:00,b'RT @Turki_alalshikh: \xd8\xa3\xd8\xb1\xd9\x81\xd8\xb9 \xd8\xa3\xd8\xb3\xd9\x85\xd9\x89 \xd8\xa2\xd9\x8a\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xaa\xd9\x87\xd8\xa7\xd9\x86\xd9\x8a \xd9\x88\xd8\xa7\xd9\x84\xd8\xaa\xd8\xa8\xd8\xb1\xd9\x8a\xd9\x83\xd8\xa7\xd8\xaa \xd9\x84\xd9\x85\xd9\x82\xd8\xa7\xd9\x85 \xd9\x85\xd9\x88\xd9\x84\xd8\xa7\xd9\x8a \xd8\xae\xd8\xa7\xd8\xaf\xd9\x85 \xd8\xa7\xd9\x84\xd8\xad\xd8\xb1\xd9\x85\xd9\x8a\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xb1\xd9\x8a\xd9\x81\xd9\x8a\xd9\x86 \xd9\x88\xd8\xb3\xd9\x85\xd9\x88 \xd8\xb3\xd9\x8a\xd8\xaf\xd9\x8a \xd9\x88\xd9\x84\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb9\xd9\x87\xd8\xaf \xd8\xad\xd9\x81\xd8\xb8\xd9\x87\xd9\x85 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87\xd8\x8c \xd8\xa8\xd9\x85\xd9\x86\xd8\xa7\xd8\xb3\xd8\xa8\xd8\xa9 \xd9\x86\xd8\xac\xd8\xa7\xd8\xad \xd9\x85\xd9\x88\xd8\xb3\xd9\x85\xe2\x80\xa6'
1546580859800756225,2022-07-11 19:43:05+00:00,b'\xd9\x85\xd8\xb9\xd9\x86\xd9\x89 \xd8\xa7\xd9\x84\xd8\xaa\xd9\x81\xd8\xa7\xd9\x86\xd9\x8a \xd9\x81\xd9\x8a \xd8\xb5\xd9\x88\xd8\xb1\xd8\xa9 .. \xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x8a\xd9\x82 \xd9\x85\xd8\xad\xd9\x85\xd8\xaf \xd8\xa7\xd9\x84\xd9\x85\xd8\xb1\xd9\x8a \xd9\x85\xd8\xaf\xd9\x8a\xd8\xb1 \xd8\xb9\xd8\xa7\xd9\x85 \xd8\xa7\xd9\x84\xd8\xa5\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x85\xd8\xa9 \xd9\x84\xd9\x84\xd8\xa5\xd9\x82\xd8\xa7\xd9\x85\xd8\xa9 \xd9\x88\xd8\xb4\xd8\xa4\xd9\x88\xd9\x86 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xac\xd8\xa7\xd9\x86\xd8\xa8 \xd8\xa8\xd8\xaf\xd8\xa8\xd9\x8a \xd9\x8a\xd8\xb3\xd8\xa7\xd8\xb9\xd8\xaf \xd8\xa7\xd8\xad\xd8\xaf\xd9\x89 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb3\xd8\xa7\xd9\x81\xd8\xb1\xd8\xa7\xd8\xaa \xd9\x84\xd8\xa7\xd9\x86\xd9\x87\xd8\xa7\xd8\xa1 \xd8\xa7\xd8\xac\xd8\xb1\xd8\xa7\xd8\xa1\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xb3\xd9\x81\xd8\xb1 . @GDRFADUBAI https://t.co/4Z0OivlHDi'
1546580185201491968,2022-07-11 19:40:24+00:00,b'RT @AdelAliBinAli: \xd8\xb3\xd8\xa4\xd8\xa7\xd9\x84 :\n\xd9\x87\xd9\x84 \xd8\xac\xd8\xb1\xd8\xa8\xd8\xaa \xd8\xa3\xd9\x86 \xd8\xaa\xd8\xb3\xd8\xaa\xd9\x85\xd8\xb9 \xd9\x84\xd8\xb4\xd8\xae\xd8\xb5 \xd9\x8a\xd9\x83\xd8\xb0\xd8\xa8\xd8\x8c \xd9\x88\xd8\xa3\xd9\x86\xd8\xaa \xd8\xaa\xd8\xb9\xd8\xb1\xd9\x81 \xd8\xa7\xd9\x84\xd8\xad\xd9\x82\xd9\x8a\xd9\x82\xd8\xa9\xd8\x9f'
1546567816639381508,2022-07-11 18:51:15+00:00,b'https://t.co/43IUzfPGaA'
1546564438320357377,2022-07-11 18:37:50+00:00,b'\xd9\x83\xd9\x84 \xd8\xb4\xd9\x8a\xd8\xa1 \xd9\x8a\xd9\x85\xd8\xb1 ...\n\xd9\x88\xd9\x84\xd9\x83\xd9\x86 \xd9\x84\xd9\x8a\xd8\xb3 \xd9\x83\xd9\x84 \xd8\xb4\xd9\x8a\xd8\xa1 \xd9\x8a\xd9\x8f\xd9\x86\xd8\xb3\xd9\x89 ...'
1546547529264799746,2022-07-11 17:30:39+00:00,b'RT @Mohdalmulla67: \xd8\xb4\xd9\x83\xd8\xb1\xd8\xa7\xd9\x8b \xd9\x84\xd9\x88\xd8\xa7\xd9\x84\xd8\xaf\xd9\x86\xd8\xa7 \xd8\xa7\xd9\x84\xd9\x85\xd9\x84\xd9\x83 \xd8\xb3\xd9\x84\xd9\x85\xd8\xa7\xd9\x86 \xd9\x88 \xd8\xb3\xd9\x85\xd9\x88 \xd9\x88\xd9\x84\xd9\x8a \xd8\xb9\xd9\x87\xd8\xaf\xd9\x87 \xd9\x88 \xd9\x83\xd9\x84 \xd9\x85\xd9\x86 \xd8\xb9\xd9\x85\xd9\x84 \xd9\x88 \xd8\xa7\xd8\xac\xd8\xaa\xd9\x87\xd8\xaf \xd9\x88 \xd8\xaa\xd8\xb7\xd9\x88\xd8\xb9 \xd9\x84\xd8\xae\xd8\xaf\xd9\x85\xd8\xa9 \xd8\xb6\xd9\x8a\xd9\x88\xd9\x81 \xd8\xa7\xd9\x84\xd8\xb1\xd8\xad\xd9\x85\xd9\x86\n\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xb6\xd8\xa7\xd9\x81\xd8\xa9 \xd9\x83\xd8\xb1\xd9\x8a\xd9\x85\xd8\xa9 \xd9\x88 \xd8\xad\xd8\xac \xd8\xb3\xd9\x87\xd9\x84 \xd9\x88 \xd8\xa3\xd9\x85\xd9\x86 \xd9\x88 \xd8\xa3\xd9\x85\xd8\xa7\xe2\x80\xa6'
1546538877204271107,2022-07-11 16:56:16+00:00,b'\xd8\xa7\xd9\x84\xd8\xa7\xd9\x86\xd8\xb3\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd9\x88\xd8\xa7\xd8\xb6\xd8\xad ... \xd9\x83\xd9\x86\xd8\xb2 #\xd9\x85\xd8\xb5\xd8\xb7\xd9\x81\xd9\x89_\xd8\xa7\xd9\x84\xd8\xa2\xd8\xba\xd8\xa7 https://t.co/FeDAR8Zrhn'
