twitter_id,date,tweet
1546533138632847360,2022-07-11 16:33:28+00:00,b'Thannnnk you! https://t.co/6X3zRnX6Uh'
1545652757687767040,2022-07-09 06:15:08+00:00,"b'Sorry you didn\xe2\x80\x99t have your phone on you, but as promised here is your pic! Nice to meet you after the flight and your adorable son James Constantine (strong name)\xe2\x80\x94 our sons have the same first name so we were destined for a pic! https://t.co/apHEKNaVQk'"
1545066073816440834,2022-07-07 15:23:52+00:00,b'WHERE DO I SIGN UP https://t.co/nBVvAWmUg3'
1544735282087579648,2022-07-06 17:29:25+00:00,b'@Union_Assoc Let\xe2\x80\x99s have some fun!!!'
1544735220175409159,2022-07-06 17:29:10+00:00,b'RT @Union_Assoc: \xf0\x9f\x87\xab\xf0\x9f\x87\xb7 Rendez-vous le Samedi 3 Septembre avec David Henrie pour un \xc3\xa9v\xc3\xa9nement virtuel! Voici la billetterie : https://t.co/ZFWt\xe2\x80\xa6'
1541211206924517377,2022-06-27 00:06:00+00:00,b'HIIIIIIII \xf0\x9f\x91\x8b \xf0\x9f\x91\x8b \xf0\x9f\x91\x8b https://t.co/lhJIr3t0Nz'
1537289883617615872,2022-06-16 04:24:04+00:00,b'@k50cullen @FOXTV @methodman @therealredman @AMHorsford @bethlittleford @JeremiahBirkett @Official_PeterJ @NewRegency @20thTelevision Wowwwwwww does time fly \xf0\x9f\x98\x82.'
1528836417958330368,2022-05-23 20:33:01+00:00,b'U were awesome man! Ur smile brightened my day! Thanks for stopping me at the airport and saying hello. https://t.co/HjGpP1z4lD'
1524872746965970944,2022-05-12 22:02:48+00:00,b'My first ever job haha!!!!! https://t.co/KWcNn7Ofx3'
1523398158759325696,2022-05-08 20:23:19+00:00,b'\xe2\x80\x9cThe loveliest masterpiece of the heart of God is the heart of a mother.\xe2\x80\x9d St. Th\xc3\xa9r\xc3\xa8se of Lisieux #mothersday happy Mother\xe2\x80\x99s Day to my incredible wife (who has #3 on the way) and my amazing mother. https://t.co/tPzmjAwWkT'
1515832599838560260,2022-04-17 23:20:29+00:00,b'Happy Easter from all 5 of us :) love u all! https://t.co/bPKDuoAC3p'
1484231232829460480,2022-01-20 18:27:56+00:00,b'RT @D_DELUISE: The Last selfie on the set of the last day of shooting of #wowp #wizardsofwaverlyplace #throwbackthursdays \xe2\x81\xa6@DavidHenrie\xe2\x81\xa9 \xe2\x81\xa6@\xe2\x80\xa6'
1484231067309596680,2022-01-20 18:27:16+00:00,"b'A blessed new year to you all from the Henries! Sending you all our love and gratitude for being so supportive of our growing family and career. Cheers to 2022, let\xe2\x80\x99s go! https://t.co/qAGUJizwRb'"
1483888465171394564,2022-01-19 19:45:54+00:00,"b'Growing up in the 90s, the treehouse set was a staple in family movies\xe2\x80\x94 my heart is exploding with joy to get to build one for our film! Construction is underway :) soooo exciting! https://t.co/qjRCJtOuFt'"
1483523537256296449,2022-01-18 19:35:48+00:00,"b'Incredibly blessed to be directing such talented people! I\xe2\x80\x99ve been a Lorraine Bracco fan for such a long time! As a 2nd generation Italian, I grew up on Goodfellas and Sopranos! https://t.co/cFmqRG6oCe'"
1477819280305577986,2022-01-03 01:49:07+00:00,b'RT @extratv: Congrats are in order for #WizardsOfWaverly place star @DavidHenrie and Maria Cahill \xe2\x80\x94 see their cute announcement! \xf0\x9f\x91\xb6https://t\xe2\x80\xa6'
1476751408435281922,2021-12-31 03:05:47+00:00,b'@isiskhyri If the numbers were reversed then yes that\xe2\x80\x99s exactly how old I am.'
1476560826945396736,2021-12-30 14:28:28+00:00,b'Maria and I were trying to figure out what to give our son James for his bday\xe2\x80\xa6. #3 #bigbrother https://t.co/1wno4DVwe9'
1476405640616624129,2021-12-30 04:11:49+00:00,b'RT @usweekly: See the #WizardsofWaverlyPlace alum\xe2\x80\x99s sweet reveal. https://t.co/elVopEjTZp'
1476405583968411654,2021-12-30 04:11:36+00:00,"b""RT @ETCanada: .@DavidHenrie's family just got bigger https://t.co/SMnRLFdyDG"""
1475653093404643333,2021-12-28 02:21:28+00:00,b'I forgot what it was like to have to hold my pee in during a movie cause I didn\xe2\x80\x99t want to miss a moment of the film\xe2\x80\xa6 thank u Spider Man No Way Home for reminding me of the magic of the cinema! So fun. Go see it!'
