twitter_id,date,tweet
1529551951469240320,2022-05-25 19:56:17+00:00,b'My heart hurts today. No one should be afraid to send their kids to school because the US has a gun violence epidemic. Our leaders need to step up now. Text ACT to 654-33 with @everytown &amp; call your representatives for gun reform (a script to use here: https://t.co/pKrNsHmhwh)'
1521203122114154497,2022-05-02 19:01:01+00:00,b'I AM DYING https://t.co/0KR2cISjVd'
1521177862966943744,2022-05-02 17:20:39+00:00,b'OMG IMAGINE wearing Uggs to the Metgala \xf0\x9f\x98\x82 https://t.co/xdgvytHtvE'
1521174324178161664,2022-05-02 17:06:35+00:00,b'If I ever get invited to the #MetGala I would replicate one of my past iconic looks\xe2\x80\xa6 https://t.co/y6ZFT9OBSG'
1512149516807393294,2022-04-07 19:25:13+00:00,b'At least one person in this house is going to read all those books https://t.co/KtnKuPF2CV'
1509682344382271498,2022-04-01 00:01:34+00:00,"b""(and p.s. if you're going to buy 400 books, don't forget to shop independently. If you can't send your husband, go to https://t.co/EyMLP7zjEu.)"""
1509682209598308353,2022-04-01 00:01:01+00:00,"b""And if you wanna talk about books with me, you can join our book club - every Sat at 9am to talk about mental health on https://t.co/Q3I8tzl1cn.\xc2\xa0\xc2\xa0We're reading Lucinda Bassett's Attacking Anxiety &amp; Depression :)"""
1509681916991090688,2022-03-31 23:59:52+00:00,"b""On a serious note tho, here are some books that I do want to recommend. I love self-help books because I love talking about mental health - it's why I founded Frenshe\nhttps://t.co/AOmSI6SZQt"""
1509681757511061512,2022-03-31 23:59:14+00:00,"b""Sorry I haven't been reading everybody's tweets, I've recently just got a lot of new books to get through\xf0\x9f\x99\x88"""
1509207460849991681,2022-03-30 16:34:33+00:00,"b'@sarahccaldwell Let\xe2\x80\x99s clear this up. There are some of my books from over the years in there but yea 36 shelves that hold 22 books I did not have and any interior designer would have done the same. They do it all the time, I was just honest about it.'"
1507761222980046849,2022-03-26 16:47:43+00:00,b'@lexieYORK_ Thank you!! I agree! You are beautiful just being you'
1491584910666059776,2022-02-10 01:28:49+00:00,b'My favorite thing I look forward to every night is telling my husband I want to watch a tv show only to fall asleep 10 minutes into it. I\xe2\x80\x99m jw when he will stop falling for it \xf0\x9f\x98\x82 @iamfrench'
1477759417214910464,2022-01-02 21:51:15+00:00,"b'Idk which is more anxiety inducing, a pregnancy test or a covid rapid test'"
1448301467639504904,2021-10-13 14:55:52+00:00,b'October things \xf0\x9f\x91\xbb https://t.co/iEVnAgX0GJ'
1447946743618818057,2021-10-12 15:26:19+00:00,b'Halloween past \xf0\x9f\x8e\x83 wonder what will be this year \xf0\x9f\xa4\x97\xf0\x9f\xa4\x94 https://t.co/n1lEVIluty'
1447229273257897987,2021-10-10 15:55:21+00:00,b'#WorldMentalHealthDay https://t.co/KYaQ5Gv7YN'
1445403809296142343,2021-10-05 15:01:37+00:00,b'Sometimes you just need to have a different perspective https://t.co/QyAiIAQvGW'
1445041405684969476,2021-10-04 15:01:33+00:00,"b'Which do you have more of, skincare or makeup? https://t.co/CjSDOrZn4Q'"
1443954765239517197,2021-10-01 15:03:38+00:00,"b""#FrensheFactFriday I must admit that I\xe2\x80\x99ve tried to go vegan a few times. I\xe2\x80\x99ve documented my journey with what has worked and didn't work for me on Frenshe. Changing the way you eat is all about balance. Listening to your body physically and mentally is so important. https://t.co/WuKc3Mg44O"""
1443641874770587648,2021-09-30 18:20:19+00:00,b'@LoveMeAnLetMeGo @tizziexoxo My friends did'
1442514202946506756,2021-09-27 15:39:21+00:00,b'#ad @Enfamil https://t.co/J02d6c2Gqs'
1441055485801553935,2021-09-23 15:02:55+00:00,b'Did someone just say it\xe2\x80\x99s fall time? https://t.co/H4Ui1p0fci'
1440692519046504457,2021-09-22 15:00:37+00:00,b'Home office \xf0\x9f\x92\xbb https://t.co/AlJ4wOtGTH'
1440330073039507457,2021-09-21 15:00:24+00:00,"b'My life motto, just wingin it https://t.co/RjH1ikENEX'"
1439967608527200263,2021-09-20 15:00:05+00:00,b'Her eyes \xf0\x9f\x92\x99 https://t.co/uIdbtquxGF'
1437793506068738053,2021-09-14 15:00:59+00:00,b'I swear she\xe2\x80\x99s mine https://t.co/1jcADkNRf2'
1437430895418372097,2021-09-13 15:00:06+00:00,b'Setting my intentions for a great week ahead \xf0\x9f\x8d\x83 https://t.co/PHGhfqjic6'
1435981374092034052,2021-09-09 15:00:13+00:00,b'Feels like home \xf0\x9f\xa4\x8d https://t.co/PjxiXZ8y8s'
1435685885933023236,2021-09-08 19:26:03+00:00,"b""Frenshe refresh check\xe2\x9c\xa8 Head over to https://t.co/Z9gCp2UXRo to see all the changes we've made, plus new blog content you don't want to miss! \xf0\x9f\xa4\x8d https://t.co/suJe0U7Gu3"""
1435261654200053767,2021-09-07 15:20:18+00:00,b'Labor Day recap \xe2\x9c\xa8 enjoyed taking the day off to recenter myself around some of my favorite things https://t.co/GY56batT3z'
1433808060514914306,2021-09-03 15:04:15+00:00,b'#FrensheFactFriday https://t.co/0DMbXRJ77Y'
1433444814234603525,2021-09-02 15:00:50+00:00,b'Who else looks like this in the mornings? https://t.co/M8EwSAsaFN'
1433083011591860230,2021-09-01 15:03:10+00:00,b'That feeling when it all comes together https://t.co/Fsp7II15wa'
1432357499047272451,2021-08-30 15:00:14+00:00,b'Make your space your sanctuary. https://t.co/PkStnU7IGW'
