twitter_id,date,tweet
1546496219236958209,2022-07-11 14:06:45+00:00,b'See you on Saturday Kapamilya &amp; Kapatid!! \xf0\x9f\x93\xba\xf0\x9f\xa4\xa0\xe2\x9d\xa4\xef\xb8\x8f https://t.co/RAMmhQqiLZ'
1546495601382420480,2022-07-11 14:04:18+00:00,b'RT @AbanteNews: \xe2\x80\x9cBest news\xe2\x80\x9d para kay Ruffa Gutierrez ang divorce bill na inihain ni Senador Robin Padilla kamakailan lang.\nhttps://t.co/f4j\xe2\x80\xa6'
1546338485438922753,2022-07-11 03:39:59+00:00,"b'Good morning, Madlang People!\xe2\x98\x80\xef\xb8\x8f\nLet\xe2\x80\x99s start the week wrinkle-free with a grateful heart. \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb See you LIVE in a bit @itsshowtimena \xf0\x9f\x93\xba https://t.co/mXNtNIOlP9'"
1546319621074333698,2022-07-11 02:25:01+00:00,b'Best news ever!! #YesToDivorce https://t.co/Kmtu1GADKL'
1546319307835330560,2022-07-11 02:23:46+00:00,"b'See you in a bit, Madlang People!! \xf0\x9f\xa4\xa0\xf0\x9f\xa4\xa9 LIVE on @itsShowtimeNa today!! https://t.co/ozL96VFdPY'"
1546318236652044288,2022-07-11 02:19:31+00:00,b'I couldn\xe2\x80\x99t sleep last night. I was too perplexed thinking about his offer to have a baby to care about the outside world. \xf0\x9f\x91\xbc\xf0\x9f\x8d\xbc'
1545798439576907776,2022-07-09 15:54:02+00:00,b'RT @LIVEpositivity: The sad truth is so many people are in love and not together and so many people are together and not in love.'
1545791774047686658,2022-07-09 15:27:33+00:00,"b'Looking forward to Sunday lunch with the family. \xe2\x9d\xa4\xef\xb8\x8f Goodnight beautiful people, pati na rin sa mga\xe2\x80\xa6\xf0\x9f\xa4\xa0\xf0\x9f\xa4\xa0\xf0\x9f\xa4\xa0\xe2\x80\xa6mabait like me. \xf0\x9f\x98\x87 https://t.co/4BBtz9RSAJ'"
1545791141815103488,2022-07-09 15:25:02+00:00,b'Taking the high road. \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb\xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb https://t.co/c01nJZr8Nz'
1545790359841624065,2022-07-09 15:21:55+00:00,"b'The beautiful thing about life is that you can always change, grow &amp; get better. You aren\xe2\x80\x99t defined by your past. You aren\xe2\x80\x99t your mistakes.\xe2\x9d\xa4\xef\xb8\x8f Bayram\xc4\xb1n\xc4\xb1z Kutlu Olsun! Eid al-Adha to my Muslim brothers &amp; sisters across the world. Let\xe2\x80\x99s spread love &amp;peace, not hate &amp; fake news. \xf0\x9f\xab\xb6\xf0\x9f\x8f\xbb https://t.co/rjgOcHSRPm'"
1545660313089220608,2022-07-09 06:45:10+00:00,b'True. \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x8d\xf0\x9f\x92\x8b https://t.co/scL9dPMyHw'
1545439898643349504,2022-07-08 16:09:19+00:00,b'Maraming salamat po!\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\n#MAIDinMALACANANG https://t.co/QRxtVf6ryo'
1545294336992362496,2022-07-08 06:30:54+00:00,b'True. \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/8uthySzeO4'
1545293410982318083,2022-07-08 06:27:13+00:00,"b'@rowena_guanzon I\xe2\x80\x99m always very generous with those I love and those that work for me kaya most of our helpers have been with me for 13-35 years. We are FAMILY. Through thick and thin, ika nga. \xf0\x9f\x98\x8d\n\nMy lawyers are on top of the situation.  Thank you and have a great day po. \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8c\xba\xf0\x9f\x8c\xba\xf0\x9f\x8c\xba\xe2\x98\x80\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f\xe2\x98\x80\xef\xb8\x8f'"
1545292851843854336,2022-07-08 06:25:00+00:00,"b'@rowena_guanzon Let me make it clear po: I did NOT fire anyone.  They wanted to leave on their own accord.  I have rarely been home shooting everyday, all day, all night for #MAIDinMALACANANG - You should watch it BTW. You\xe2\x80\x99re gonna love it. \xe2\x9d\xa4\xef\xb8\x8f'"
1545292624801968128,2022-07-08 06:24:06+00:00,"b'@rowena_guanzon Nang-aaway po sila sa ibang mga kasamahan sa bahay ng wala po ako.  They were demanding to leave the house, which I said they were able to do AFTER I returned home from work, so I could talk to them before they leave.'"
1545292470745182208,2022-07-08 06:23:29+00:00,b'@rowena_guanzon The 2 new kasambahays who have been in our household for only around 2 weeks were fighting our 68-year old senior mayordoma (who has been under my care for more than 18 years).'
1545292211532828672,2022-07-08 06:22:28+00:00,"b'@rowena_guanzon Hello Ms. Guanzon, \nNo it\xe2\x80\x99s not true. \nThere was a situation at home while I was shooting on the set of \xe2\x80\x9cMaid In Malaca\xc3\xb1ang\xe2\x80\x9d, so my staff had to call security to make sure my children were safe.'"
1545240582154362880,2022-07-08 02:57:18+00:00,"b'Be like a flower, survive the rain but use it to grow. Now i\xe2\x80\x99m here. \xf0\x9f\x8c\xba\n\nGearing up for my @mypwu_official face-to-face graduation rites this September. I will be a Bachelor of Arts graduate, majoring in Communication Arts. \xf0\x9f\x8e\x93\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x8e\x93 To God be the glory. \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\n#Patriots\n#PWUComArtsETEEAP https://t.co/cuGsUFvo9D'"
1544913921567752192,2022-07-07 05:19:16+00:00,b'RT @weinsworld: Woiiii ang pretty ni @iloveruffag playing as First Lady Imelda Marcos\xf0\x9f\x92\xaf\n\nMAID IN MALACA\xc3\x91ANG\n#MIMTheMovieTeaser https://t.co/\xe2\x80\xa6'
1544383273891397633,2022-07-05 18:10:40+00:00,"b'Hellooo beautiful people! I\xe2\x80\x99m still on the set, shooting for a film.\xf0\x9f\x8e\xa5 \nShould I have coffee at this time to keep me awake or nap nalang until I\xe2\x80\x99m called? \xf0\x9f\xa4\x94 https://t.co/BHk3FpVXfI'"
1544371136024424448,2022-07-05 17:22:26+00:00,"b'https://t.co/G8RVamqeaG\n\nMaraming salamat po, Ricky Gallardo. \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'"
1544200237526679552,2022-07-05 06:03:21+00:00,b'Yup. I can\xe2\x80\x99t make kwento because I signed an NDA. I don\xe2\x80\x99t want to pay. \xf0\x9f\x98\x85 #Stress https://t.co/EPX70iqOOj'
1544170471305797632,2022-07-05 04:05:04+00:00,"b'Helloooo, beautiful people! Getting glammed up for @itsShowtimeNa \xf0\x9f\xa4\xa9\xe2\x9d\xa4\xef\xb8\x8f #ShowtimeGreatTanghali https://t.co/4V5hKqDP9Z'"
1544161965529976833,2022-07-05 03:31:16+00:00,"b'Who agrees? Good morning, everyone! \xe2\x98\x80\xef\xb8\x8f \xe2\x98\x95\xef\xb8\x8f https://t.co/lcXwpiOKWD'"
1543910968434241537,2022-07-04 10:53:54+00:00,b'I\xe2\x80\x99m planning to re~think my relationship. I want someone who will write me handwritten love letters everyday. \xf0\x9f\xa5\xb9\xe2\x99\xa5\xef\xb8\x8f'
1543876515905282049,2022-07-04 08:36:59+00:00,"b'RT @AbanteNews: Nag-post si Ruffa Gutierrez ng mga bagong photo mula sa set ng ""Maid In Malaca\xc3\xb1ang""\nhttps://t.co/KplmbptW9T\n@iloveruffag\n#T\xe2\x80\xa6'"
1543070363315490816,2022-07-02 03:13:38+00:00,"b'RT @inquirerdotnet: Cesar: ""It\xe2\x80\x99s harder than my previous role as Jose Rizal. It\xe2\x80\x99s the greatest challenge of my life as an actor."" | via Dol\xe2\x80\xa6'"
1542970650419433472,2022-07-01 20:37:24+00:00,b'Lorin Gutierrez Is Proof That Crop Top + Baggy Pants Will Always Look Cute https://t.co/9VPaNpCgcA #cosmoph via @cosmo_ph'
