twitter_id,date,tweet
1545400287464005632,2022-07-08 13:31:55+00:00,"b'RT @worldofarias: Experience the power of vitamin C,\npumpkins and chamomile with the Arias Purifying Foaming Facewash!\n\xf0\x9f\x8c\xb1 Pumpkin Seed Oil:\xe2\x80\xa6'"
1545265822377148418,2022-07-08 04:37:36+00:00,"b'We take our doctors for granted and often they bear the brunt of our mistrust. I have so much more respect for the medical profession after the pandemic. This was well made! Great work, @ManipalHealth #HappyDoctorsDayReally https://t.co/p8ntyWw7lL'"
1539297917021966338,2022-06-21 17:23:16+00:00,b'RT @SocialswagWorld: The multi-talented @LaraDutta invites you to join her on the mat in an exclusive yoga masterclass for Mind &amp;  Body har\xe2\x80\xa6'
1537484114504589312,2022-06-16 17:15:52+00:00,b'RT @kaushikshelar7: @BadassSalmaniac @BazmeeAnees @BeingSalmanKhan Anil Kapoor ke Opposite Lara Dutta Hi Honi Chahiye.\n\nLoved Their Chemist\xe2\x80\xa6'
1533997278335488001,2022-06-07 02:20:26+00:00,"b'RT @latestly: #IshqENadaan: It\xe2\x80\x99s a Wrap for #MohitRaina, #LaraDutta, #NeenaGupta\xe2\x80\x99s Romantic-Drama Film\n\n@LaraDutta\n@Neenagupta001\n\nhttps://\xe2\x80\xa6'"
1533996966371540997,2022-06-07 02:19:11+00:00,b'RT @PrithamSadashiv: \xe2\x96\xaa\xef\xb8\x8f@LaraDutta In #GavinMiguel Gown &amp; @Karishma1976 Jewelry for the #IIFA2022 in Abu Dhabi - Styled By @EshaAmiin\n\n#OOTD\xe2\x80\xa6'
1533733701049524224,2022-06-06 08:53:04+00:00,b'AND ITS A WRAAAAP!!!! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xe2\x9d\xa4\xef\xb8\x8f\n#ishq-e-nadaan directed by Avishek Ghosh and produced by AVMA Media wraps its shoot! \n\n@G_Avishek\n@mohituraina\n@LaraDutta\n@ShriyaP\n@SuhailNayyar\n@Neenagupta001\n@kukuhere https://t.co/vRnm2hOFLz'
1533390430989348864,2022-06-05 10:09:02+00:00,"b'RT @Bollyhungama: .@LaraDutta: ""Can\'t wait to be back with @BeingSalmanKhan in #NoEntry2""\n\n#IIFA2022 #IIFA #BollywoodHungama https://t.co/x\xe2\x80\xa6'"
1532995892755984384,2022-06-04 08:01:17+00:00,b'\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f. @iFaridoon https://t.co/YpF1qCoQca'
1532977005041438721,2022-06-04 06:46:13+00:00,b'All that glitters is rose gold!! #IIFAROCKS \n\nStyling:  @eshaamiin \nOutfit:  @dollyjstudio \nJewellery:  #jethanis #anmoljewellers\n\xf0\x9f\x93\xb8: #bobbysahotra\nHair: #clarabellesaldanha\nMakeup: #nabilastudios https://t.co/9jTwvMWNHA'
1531832418646507520,2022-06-01 02:58:03+00:00,"b'Apart from shock, there is a numbing sadness to lose someone too soon. Your music and songs will continue to echo in the void you leave behind. #RIPKK. \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'"
1528712088620875789,2022-05-23 12:18:58+00:00,b'RT @Bhushanadhau1: @LaraDutta As Kajal From Her First Movie #Andaaz \xe2\x9d\xa4 She Have Won Filmfare For Best Debut AND Her Chemistry With @akshayku\xe2\x80\xa6'
1528712052155588612,2022-05-23 12:18:49+00:00,b'RT @Bhushanadhau1: @akshaykumar @LaraDutta From Andaaz \xe2\x9d\xa4 They Look So Good Together Onscreen In This Movie \xf0\x9f\x98\x8d Congratulations On Completing\xe2\x80\xa6'
1528711982622330882,2022-05-23 12:18:33+00:00,b'RT @Bhushanadhau1: * Kisi Se Tum PYAAR Karo\n* Kitna Paagal DIL Hai\n* Aaj Kehna Jaruri Hai\n* Aayenga Maza ab Barsaat Ka\n* Allah Kare DIL Na\xe2\x80\xa6'
1528711826736918528,2022-05-23 12:17:56+00:00,b'RT @Bhushanadhau1: Congratulations @LaraDutta On Completing 19 Years In Bollywood Today \xe2\x9d\xa4\xef\xb8\x8f #Andaaz Released On 23rd May 2003 Was Her First\xe2\x80\xa6'
1528711795183128584,2022-05-23 12:17:48+00:00,b'RT @Deepshikha_Akki: Celebrating #19YearsOfAndaaz \xe2\x99\xa5\xef\xb8\x8f\n@akshaykumar @LaraDutta starrer superhit Romantic-Musical movie \xf0\x9f\x8e\xbc\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb5\nThe movie has a ch\xe2\x80\xa6'
1528711730964078593,2022-05-23 12:17:33+00:00,b'RT @MoviesUpdatez: When Priyanka and Lara dazzled on the big screen in #Andaaz 19 years ago\n\n#PriyankaChopra #LaraDutta #AkshayKumar\n\n@aksh\xe2\x80\xa6'
1528711679642677253,2022-05-23 12:17:21+00:00,b'RT @KumarGouravSi13: @akshaykumar #19YearsOfAndaaz One Of the best romantic movie \xe2\x9d\xa4\xef\xb8\x8f With the outstanding performances of @akshaykumar Sir\xe2\x80\xa6'
1528711532888133633,2022-05-23 12:16:46+00:00,"b""RT @SuneelDarshan1: It's 19 years of my Andaaz's release today... Let's felicitate the superstar composer duo Nadeem Shravan &amp; lyricist Sam\xe2\x80\xa6"""
1527291262650695680,2022-05-19 14:13:07+00:00,b'Proud to be a \xe2\x80\x98service brat\xe2\x80\x99 and the daughter of this formidable officer!!! @IAF_MCC . #Salute https://t.co/ZUSrJeNbhz'
1524207498508771328,2022-05-11 01:59:20+00:00,b'Wordle 326 3/6\n\n\xe2\xac\x9b\xe2\xac\x9b\xe2\xac\x9b\xe2\xac\x9b\xf0\x9f\x9f\xa9\n\xf0\x9f\x9f\xa8\xf0\x9f\x9f\xa8\xf0\x9f\x9f\xa8\xe2\xac\x9b\xf0\x9f\x9f\xa9\n\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9'
1522593364759425024,2022-05-06 15:05:21+00:00,"b'Loved everything about #Thar on @NetflixIndia . Apart from @rajsinghc being a director to closely watch, @AnilKapoor and #HarshVarrdhanKapoor are fantastic as is the cinematography and locales!! Noir,  neo Western done just right!'"
1522456838524248064,2022-05-06 06:02:50+00:00,b'Yayyy!!! Can\xe2\x80\x99t wait to catch it on @NetflixIndia today!!! @AnilKapoor @rajsinghc https://t.co/QjXE07ZbBk'
1522456181381689344,2022-05-06 06:00:14+00:00,b'RT @sofiafirdous1: Gratitude \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbbDinner at Raj Bhavan with his excellency Hon Governor Ganeshi Lal ji and @LaraDutta with Team IWEC. #WomensB\xe2\x80\xa6'
1519906202464923648,2022-04-29 05:07:31+00:00,b'This was one of my most special films!! @pathakvinay @shashantshah @ErosNow @Maheshbhupathi . Bhaisaab and Behenji \xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f. #ChaloDilli https://t.co/K6JsKCoxhW'
1518671291867627521,2022-04-25 19:20:26+00:00,b'Tonite\xe2\x80\x99s gonna be a good nite!! \xf0\x9f\x98\x85Wordle 311 3/6\n\n\xe2\xac\x9b\xe2\xac\x9b\xe2\xac\x9b\xf0\x9f\x9f\xa8\xe2\xac\x9b\n\xe2\xac\x9b\xf0\x9f\x9f\xa8\xf0\x9f\x9f\xa8\xe2\xac\x9b\xe2\xac\x9b\n\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9\xf0\x9f\x9f\xa9'
1515975469589733376,2022-04-18 08:48:12+00:00,b'ACTOR\xe2\x80\x99S please!!! \xf0\x9f\x98\x9b @juniorbachchan @gauravvkchawla https://t.co/C9Xhn3cZTs'
1515968209253703680,2022-04-18 08:19:21+00:00,b'Woohoo!! Definitely on my watchlist! \xf0\x9f\x99\x8c. @AnilKapoor @rajsinghc @NetflixIndia https://t.co/CYqQDHWpRd'
1515049693268611076,2022-04-15 19:29:29+00:00,b'Thank you!! \xf0\x9f\xa4\x97\xf0\x9f\xa5\xb0\xf0\x9f\x99\x8f https://t.co/C3DjJKXojn'
1515049628676276225,2022-04-15 19:29:14+00:00,b'Thank you!!! \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0 https://t.co/SzvHrUykPK'
1515049539794784259,2022-04-15 19:28:53+00:00,b'Thank you!! \xf0\x9f\xa4\x97 \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x99\x8f https://t.co/MAAbGWChG0'
1513861544748396544,2022-04-12 12:48:13+00:00,"b'Hats off to the @IAF_MCC and these fearless pilots for this daring rescue from the stranded cable cars in #Jharkhand ! This kind of flying so close to the cables and the challenge of winching the rescuers and the stranded into the chopper, takes immense skill!! #Salute https://t.co/xTWm6ajoMZ'"
1513385617585242121,2022-04-11 05:17:03+00:00,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/ayQ5JduLfI'
1513385522378711041,2022-04-11 05:16:40+00:00,b'RT @Bazinga_Ent: Catch @LaraDutta in conversation with @SwetaKaushal on her multifaceted journey from modeling &amp; acting to running a succes\xe2\x80\xa6'
1510491851429937155,2022-04-03 05:38:15+00:00,b'Thrilled to be nominated by @IIFA for #BellBottom. Please do vote here https://t.co/SnFqheCcrr. \n\n@poojafilms @akshaykumar @jackkybhagnani @honeybhagnani @ranjit_tiwari https://t.co/agmLMqqstv'
1510279484100214786,2022-04-02 15:34:23+00:00,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f. @EmmayEntertain @nikkhiladvani @monishaadvani @madhubhojwani @ranjit_tiwari   https://t.co/SnFqheCcrr https://t.co/7VvTA7GXgB'
1510206276571054086,2022-04-02 10:43:29+00:00,b'RT @EmmayEntertain: Watch #KaunBanegiShikharwati to get some royal comebacks that you can use against your siblings!\n \nYour weekend binge s\xe2\x80\xa6'
1510166485217337347,2022-04-02 08:05:22+00:00,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f @Bazinga_Ent @bsindia https://t.co/VIfwgzqGbe'
1509541656588349441,2022-03-31 14:42:31+00:00,"b'RT @worldofarias: A splash of the cooling Arias Skin Refining Toner, a lightweight formulation of pumpkin extract and witch hazel that redu\xe2\x80\xa6'"
1508777531113046018,2022-03-29 12:06:09+00:00,b'Hahahahaha!!! \xf0\x9f\x98\x84\xf0\x9f\x98\x84. Now we know who you were secretly rooting for @gauravvkchawla !!! \xf0\x9f\xa4\xaa\xf0\x9f\xa4\xaa https://t.co/Qh0W9YfXz3'
1508774422769201158,2022-03-29 11:53:48+00:00,b'Thank you @AsiaoneMagazine for honouring me with this award. \xf0\x9f\x99\x8f. @ApplauseSocial @EmmayEntertain @gauravvkchawla @ZEE5India https://t.co/hxWHLzmSZk'
1507286762053603333,2022-03-25 09:22:22+00:00,"b""I'm honoured to be part of this TB Pledge Anthem video on #WorldTBDay at #StepUpToEndTB ! Let\xe2\x80\x99s encourage everyone to join this movement. Sign your #TBMukhtBharat pledge here https://t.co/xKzcRoxdCX &amp; follow @Tbdivision for updates! @PMOIndia @MoHFW_INDIA @PIBIndia @mygovindia https://t.co/dHcfMFngfF"""
1505446476226379776,2022-03-20 07:29:44+00:00,b'\xf0\x9f\x99\x8f\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c. @worldofarias @TheWeekLive @Bazinga_Ent https://t.co/830wV4TyaV'
1503838354386952200,2022-03-15 20:59:38+00:00,b'RT @athomestore: Let Arias be the vessel of your love.\n \nFeatured here is the pristine Arias Fluted Gold Fiesta Dinner Set besides the gild\xe2\x80\xa6'
1503112483401261065,2022-03-13 20:55:17+00:00,"b'RT @athomestore: As you are surrounded with the clinking of glasses and excited chatter all around the dinner table, you know that you are\xe2\x80\xa6'"
