twitter_id,date,tweet
1545035549068738561,2022-07-07 13:22:34+00:00,b'See u there!! \n\nATLANTA\xe2\x80\x99S JOLLOF MUSIC &amp; FOOD FESTIVAL \nSAT JULY 23rd \n\nTicket and info https://t.co/rKazPabULx https://t.co/2tHMKLGB73'
1540500558934675462,2022-06-25 01:02:09+00:00,b'RT @urbanxlegends: .@Akon discussing what it was like working with @Eminem when he made his Konvicted album. Full interview here: https://t\xe2\x80\xa6'
1540436092662472704,2022-06-24 20:45:59+00:00,b'1 Billion plays on @AppleMusic. Thanks for listening!\nhttps://t.co/0N4NrA9jza https://t.co/FNNHEGAnG0'
1539788744261238785,2022-06-23 01:53:39+00:00,"b'15 Years of \xe2\x80\x9cKonvicted\xe2\x80\x9d \xf0\x9f\x92\xbf listen to the stories behind the album, with the official Track By Track on my YouTube channel! https://t.co/PAhdO7NkLg https://t.co/Q1hEGN1wKn'"
1537919686628605955,2022-06-17 22:06:41+00:00,b'RT @StevenOlikara: Thanks to @akon for the IG Live #Konversation today about our campaign for US Senate and getting on the debate stage wit\xe2\x80\xa6'
1536824270222917632,2022-06-14 21:33:53+00:00,b'RT @KonvictKulture: @Teemanay #WineAm 1 Million Views\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/vuql6FgtwK https://t.co/HQXnJoCTgf'
1536371436193198080,2022-06-13 15:34:29+00:00,"b'El Negreeto!, Mark B - Rich Girl https://t.co/cgZZQHtH57 via @YouTube'"
1535312066168426499,2022-06-10 17:24:55+00:00,b'El Negreeto \xf0\x9f\x94\xa5 Mark B - Rich Girl https://t.co/cgZZQHt9fz https://t.co/ISebIjrqC7'
1534316317825712128,2022-06-07 23:28:11+00:00,"b""RT @ELTblack: @ELTblack X #MugenARt\n\nOur music vibes are trending WORLDWIDE\xf0\x9f\x94\xa5\xf0\x9f\x8c\x90 \n\n@Akon\xe2\x80\x99s music #NFT will be sale on Japan's \xf0\x9f\x87\xaf\xf0\x9f\x87\xb5 cutting-edge\xe2\x80\xa6"""
1528376691575365633,2022-05-22 14:06:13+00:00,b'\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 @AppleMusic\nhttps://t.co/YSFkWuR0qS https://t.co/ftrpyKNk56'
1522636891392204801,2022-05-06 17:58:18+00:00,"b'There\xe2\x80\x99s no deals like the deals cut in Africa. Do you want to enjoy life? Come home!!!!! @ Kampala, Uganda https://t.co/Ni4aGL8WGx'"
1522007759092396033,2022-05-05 00:18:21+00:00,b'@AkoinOfficial has partnered with @Indacoin to put #Akoin into the hands of more people by enabling $AKN purchasing with cards in their platform \xf0\x9f\x92\xb3\xf0\x9f\x94\xa5\n\nhttps://t.co/Jlf7G63Mbu https://t.co/artS9GYJcM'
1520825755281809409,2022-05-01 18:01:30+00:00,"b""On this day, let's learn to accept all the blessings of Allah with an open heart and mind, May Allah reduce your hardships and bless you with peace, prosperity and genuine happines. Eid Mubarak! @SaudiAirlinesEn https://t.co/U5O991YikI"""
1517525264418361345,2022-04-22 15:26:31+00:00,b'RT @ELTblack: \xf0\x9f\xa6\x81@Akon sends an official invite for all music lovers and NFT collectors to join him in the music co-creation movement through\xe2\x80\xa6'
1516493230220578822,2022-04-19 19:05:35+00:00,b'RT @ELTblack: \xe2\x80\x9cNext step of X to earn\xe2\x80\x9d\n@Akon  @ELTblack  @OKXNFT  @Boomgala2022  @LEVO_CLUB   @BlockBeatsChina   @MarkerDao  \nMake sure tha\xe2\x80\xa6'
1515739970522259457,2022-04-17 17:12:24+00:00,b'RT @urbanxlegends: HAPPY BIRTHDAY @Akon! \xf0\x9f\x8e\x88\xf0\x9f\x91\x91 https://t.co/CMeLNOJinX'
1515415924559470592,2022-04-16 19:44:46+00:00,"b'RT @WORLDMUSICAWARD: Happy Birthday to World Music Awards Multiple Winner, the hugely talented #AKON, listed by #GuinnessWorldRecords as th\xe2\x80\xa6'"
1515353793235402757,2022-04-16 15:37:52+00:00,"b'RT @yencomgh: Happy 49th birthday to Senegalese-American singer, songwriter, and record producer, Akon. \xf0\x9f\x8e\x82 \xf0\x9f\x8e\x89 \n\nWe cherish you, sir. \xf0\x9f\xa5\xb0\n\nWhat\xe2\x80\xa6'"
1515353736562024455,2022-04-16 15:37:39+00:00,b'RT @FamousBirthdays: Wishing a Happy 49th Birthday to @Akon! https://t.co/xS4siVOUiB'
1515048738137333772,2022-04-15 19:25:42+00:00,b'RT @okx: #OKX Jumpstart\xf0\x9f\x9a\x80 : Calling all creators \xf0\x9f\x93\xa3 \n\nGet ready to usher in the future of Social-Fi with @ELTblack \xf0\x9f\x94\xa5 the very first Web 3.0 e\xe2\x80\xa6'
