twitter_id,date,tweet
1546506569235456000,2022-07-11 14:47:53+00:00,"b'RT @maateCare: Bringing showers of joy and delight, the magical season of monsoon is here. Falling under the Visarga Kaal or the Dakshinaya\xe2\x80\xa6'"
1546186735004033024,2022-07-10 17:36:59+00:00,b'Welcome to the \xf0\x9f\x92\xaf club @surya_14kumar .. Well played brother \xf0\x9f\x92\xaa #SuryaKumarYadav #IndvEng'
1546076901181104128,2022-07-10 10:20:32+00:00,b'Wishing you &amp; your family a blissful #Ekadashi \xe2\x9c\xa8 May Lord Vitthal shower us with his blessings &amp; bring abundant happiness in our life \xf0\x9f\x99\x8c https://t.co/0jvKz6thdy'
1546054038181093376,2022-07-10 08:49:41+00:00,"b'A very happy birthday to the man who defines cricket @Sunil_Gavaskar, I hope this day brings you loads of joy, happiness and good health. Have a wonderful day bhai #HappyBirthdaySunilGavaskar'"
1546047459226525697,2022-07-10 08:23:33+00:00,b'My warm wishes to @rajnathsingh ji on his Birthday. Wishing you good health and happiness always \xf0\x9f\x99\x8c #HappyBirthdayRajnathSingh https://t.co/JaZzgbk3Yq'
1545985743759228929,2022-07-10 04:18:18+00:00,"b'Eid Mubarak to you &amp; your loved ones! May this festival bless us with good health, happiness &amp; prosperity \xf0\x9f\x8c\x99 #eidaladha2022'"
1545828687014141953,2022-07-09 17:54:13+00:00,b'RT @BCCI: Always all ears when the great @msdhoni talks! \xf0\x9f\x91\x8d \xf0\x9f\x91\x8d\n\n#TeamIndia | #ENGvIND https://t.co/YKQS8taVcH'
1545792312655101952,2022-07-09 15:29:41+00:00,b'Well played @imjadeja this was sheer brilliance. Keep playing with the same magic \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #INDvENG'
1545789325173989378,2022-07-09 15:17:49+00:00,b'RT @SwetaSinghAT: \xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa4\xb0\xe0\xa4\xa4\xe0\xa4\xbe \xe0\xa4\x86\xe0\xa4\x9c \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xb8\xe0\xa4\xae\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa5\x88? \xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xb9\xe0\xa5\x87\xe0\xa4\xac \xe0\xa4\x85\xe0\xa4\x82\xe0\xa4\xac\xe0\xa5\x87\xe0\xa4\xa1\xe0\xa4\x95\xe0\xa4\xb0 \xe0\xa4\x85\xe0\xa4\xaa\xe0\xa4\xa8\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xa4\xe0\xa4\xbe\xe0\xa4\xac \xe0\xa4\xa5\xe0\xa5\x89\xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb8 \xe0\xa4\x91\xe0\xa4\xa8 \xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\x95\xe0\xa4\xbf\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\xa4\xe0\xa4\xbe\xe0\xa4\xa8 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xb2\xe0\xa4\xbf\xe0\xa4\x96\xe0\xa4\xa4\xe0\xa5\x87 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa4\xbf 1926 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xaa\xe0\xa4\xb9\xe0\xa4\xb2\xe0\xa5\x80 \xe0\xa4\x90\xe0\xa4\xb8\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa5\x81\xe2\x80\xa6'
1545783782187454466,2022-07-09 14:55:47+00:00,b'Bapu @imjadeja \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xb3'
1545296491769696259,2022-07-08 06:39:28+00:00,b'Wishing @SGanguly99 a birthday filled with love and happiness \xe2\x9d\xa4\xef\xb8\x8f May all the joy that you have spread to others come back to you a hundredfold. Have a blessed year ahead Dada #HappyBirthdayDada'
1544752338992340995,2022-07-06 18:37:12+00:00,"b'Happy Birthday to my big brother.  Thank you for being my biggest supporter and mentor in every phase of life, may god bless you and your family with good health always. Much love to you mahi bhai. Wishing you a great year ahead! @msdhoni \n#HappyBirthdayDhoni https://t.co/3uABWFIlnO'"
1544709381362659329,2022-07-06 15:46:30+00:00,b'Heartiest congratulations to @PTUshaOfficial Ji on being nominated to the Rajya Sabha. Hon\xe2\x80\x99ble PM @narendramodi ji\xe2\x80\x99s initiative will certainly act as a catalyst for Sports development &amp; participation. https://t.co/tHNQ6wtofF'
1544615485861273602,2022-07-06 09:33:24+00:00,b'RT @BSF_Rajasthan: The Indian \xf0\x9d\x90\x8d\xf0\x9d\x90\x9a\xf0\x9d\x90\xad\xf0\x9d\x90\xa2\xf0\x9d\x90\xa8\xf0\x9d\x90\xa7\xf0\x9d\x90\x9a\xf0\x9d\x90\xa5 \xf0\x9d\x90\x85\xf0\x9d\x90\xa5\xf0\x9d\x90\x9a\xf0\x9d\x90\xa0 is a symbol of national pride for the entire national. \nAs a part of #harghartiranga campaign #\xe2\x80\xa6'
1544314801404379136,2022-07-05 13:38:35+00:00,b'\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x91\x8c\xf0\x9f\x99\x8c https://t.co/zJW1G3WCIs'
1544282297599463424,2022-07-05 11:29:25+00:00,"b'Congratulations @englandcricket on win against Team India in the last test. A huge partnership between @root66 and @jbairstow21. \xf0\x9f\x99\x8c Great efforts and team work put in by the Indian team, well played boys! \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\n#ENGvIND'"
1544233309139599360,2022-07-05 08:14:46+00:00,"b'RT @CMOfficeUP: #UPCM @myogiadityanath has Vision to make Uttar Pradesh a sporting hub\n\nRead article by Shri @ImRaina Ji, Former Internatio\xe2\x80\xa6'"
1543893932995665921,2022-07-04 09:46:12+00:00,b'#NewProfilePic https://t.co/jHewhF9SV7'
1543492180857192449,2022-07-03 07:09:47+00:00,b'Happiest Birthday Bhajju Pa @harbhajan_singh .. Wish you loads of success &amp; happiness. Lots of love to you and your family. See you soon \xf0\x9f\xa4\x97#HappyBirthdayBhajjuPa \xe2\x9d\xa4\xef\xb8\x8f'
1543216284417945601,2022-07-02 12:53:28+00:00,b'@abhishereporter @DrDJgupta Happy doctors day \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\xaa'
1543186599931944962,2022-07-02 10:55:31+00:00,"b'35 runs in an over! Boom boom Bumrah on fire today \xf0\x9f\x94\xa5@Jaspritbumrah93\nCentury of the highest calibre by @imjadeja, unreal fight back! Solid Game Jaddu \xf0\x9f\x92\xaf #INDvENG \xf0\x9f\x87\xae\xf0\x9f\x87\xb3'"
1543136234423418880,2022-07-02 07:35:23+00:00,b'\xe0\xa4\x96\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\xa1\xe0\xa4\xbc\xe0\xa5\x80 \xe0\xa4\x94\xe0\xa4\xb0 \xe0\xa4\x96\xe0\xa5\x87\xe0\xa4\xb2 \xe0\xa4\xaa\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\x8f\xe0\xa4\x95 \xe0\xa4\xa6\xe0\xa5\x82\xe0\xa4\xb8\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xaa\xe0\xa5\x82\xe0\xa4\xb0\xe0\xa4\x95 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82\xe0\xa5\xa4 \xe0\xa4\xb8\xe0\xa4\xad\xe0\xa5\x80 \xe0\xa4\x96\xe0\xa5\x87\xe0\xa4\xb2 \xe0\xa4\xaa\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xb5\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xb2\xe0\xa5\x8d\xe0\xa4\xa1 \xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\xaa\xe0\xa5\x8b\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\x9f\xe0\xa5\x8d\xe0\xa4\xb8 \xe0\xa4\x9c\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\xa8\xe0\xa4\xb2\xe0\xa4\xbf\xe0\xa4\xb8\xe0\xa5\x8d\xe0\xa4\x9f \xe0\xa4\xa1\xe0\xa5\x87 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xac\xe0\xa4\xa7\xe0\xa4\xbe\xe0\xa4\x88\xe0\xa5\xa4 https://t.co/BIyyzsLR9m'
1542919016024530951,2022-07-01 17:12:14+00:00,b'Baapu @imjadeja Game Marri che \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x92\xaa#Rajput'
1542918211464822785,2022-07-01 17:09:02+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x92\xaa@RishabhPant17 \xe2\x98\x9d\xef\xb8\x8f'
1542898665433534464,2022-07-01 15:51:22+00:00,"b'What a fantastic partnership @RishabhPant17 &amp; @imjadeja Keep up your spirits with the same intent, kudos to you both #INDvENG \xf0\x9f\x87\xae\xf0\x9f\x87\xb3'"
1542734325493407745,2022-07-01 04:58:20+00:00,b'@rainakadewaana Happy birthday God bless you \xf0\x9f\x8e\x82'
