twitter_id,date,tweet
1546168499478925313,2022-07-10 16:24:31+00:00,b'This Wimbledon post match exchange. Perfect sportsmanship. Perfect.'
1545852319065149440,2022-07-09 19:28:08+00:00,b'RT @RoryStewartUK: I have just lost my wedding ring - in Buxton Derbyshire - just after giving a talk this afternoon - dropped I think on S\xe2\x80\xa6'
1545367433954967552,2022-07-08 11:21:22+00:00,"b'I\xe2\x80\x99m thrilled to announce that you now have a chance to try the amazing food we grow and rear on my farm at the brand new (but quite rustic) Diddly Squat Restaurant. You can\xe2\x80\x99t just turn up I\xe2\x80\x99m afraid, but you can make a booking by following the link https://t.co/xZOWAjqkxq'"
1544709346998747140,2022-07-06 15:46:22+00:00,b'This is the great thing about Hawkstone. There are so many options to keep you evened out.'
1544709136771948545,2022-07-06 15:45:32+00:00,b'Right. I\xe2\x80\x99ve just signalled to Taylor that he should do two pints of 3.8'
1544708309353201664,2022-07-06 15:42:14+00:00,b'@MrVictorJay From Liverpool I guess'
1544708023951757314,2022-07-06 15:41:06+00:00,b'Tricky time. Do I whack him up with a shot here of 5.0 IPA or keep him on a 4.0\nto the tie break?'
1544706004784480256,2022-07-06 15:33:05+00:00,b'I had Taylor on the Hawkstone 4.8 in the first set but have dropped him down to the 4.0 Session variety in this set.'
1544704967210143745,2022-07-06 15:28:58+00:00,b'Nadal needed a comfort break after just his fifth pint'
1544704732945682432,2022-07-06 15:28:02+00:00,b'Good match here at Wimbledon. Nadal sponsored by Carling v Fritz who\xe2\x80\x99s a Hawkstone boy'
1544069502211694594,2022-07-04 21:23:51+00:00,b'Why are we letting the government do what it\xe2\x80\x99s doing? I\xe2\x80\x99ve properly had enough.'
1543996997929254912,2022-07-04 16:35:45+00:00,"b'@GaryLineker @MBrundleF1 Actually, the soil will give up long before the composition of gases in the upper atmosphere becomes troublesome'"
1542929218534887424,2022-07-01 17:52:46+00:00,"b'@adam8mitchell Actually, we had forgotten that'"
1542928944776765440,2022-07-01 17:51:41+00:00,"b'The first three are: Bobby Brown, the Subaru Legacy Outback and Sandwich Spread. And now there\xe2\x80\x99s a fourth'"
1542928029550354436,2022-07-01 17:48:03+00:00,"b'After 227 years, James, Richard and I have just found a fourth thing we have in common.'"
1541027447155658752,2022-06-26 11:55:48+00:00,b'@clairemorgans80 @PrimeVideo That\xe2\x80\x99s because a year in the life of a farm takes a year to make. Then it\xe2\x80\x99ll have to be edited. And then translated into every language in the world. It is coming though.'
1540772681930354694,2022-06-25 19:03:28+00:00,b'I mean: Glastonbury and Goodwood and holidays.'
1540772241360699393,2022-06-25 19:01:43+00:00,b'Why is no-one apart from me at work?'
1536468300112314368,2022-06-13 21:59:23+00:00,b'@JamieRoss @ChemicalAna1yst @stickiebeak1 @WorldOfWarby How? When the local council says no'
1536405173815459842,2022-06-13 17:48:33+00:00,b'What we must understand is that the grants farmers got for growing food are going. And we need food.'
1536398890190131201,2022-06-13 17:23:34+00:00,b'You can live without heat and clothing and even sex. But you cannot live without food. Please support British farming.'
1536388458624729088,2022-06-13 16:42:07+00:00,b'Excellent news. Let\xe2\x80\x99s hope the district councils and the silly red trouser people now back down. Britain needs food grown in Britain. https://t.co/JwtthKSLw8'
1536285110064095233,2022-06-13 09:51:27+00:00,b'@Sodavaii1 That\xe2\x80\x99s been happening here too.'
1536284942434459648,2022-06-13 09:50:47+00:00,"b'@tweet_bobs I have hard life. Also, I like a drink.'"
1536284791502413831,2022-06-13 09:50:11+00:00,b'@sys_richard It\xe2\x80\x99s not Chipping Norton council. They\xe2\x80\x99re fine. It\xe2\x80\x99s West Oxfordshire District Council. And they\xe2\x80\x99re not.'
1536284071646601216,2022-06-13 09:47:20+00:00,b'@cornwalltrainer it\xe2\x80\x99s just so hard to know what to do next.'
1536282882657898497,2022-06-13 09:42:36+00:00,b'I sent this to Number 10 recently. https://t.co/5WHXNwMYIa'
1534617737183604739,2022-06-08 19:25:55+00:00,b'@AlanPWig1 They are the most terrible animals on earth'
1534615534775545856,2022-06-08 19:17:09+00:00,"b'I can\xe2\x80\x99t imagine the nation\xe2\x80\x99s hedgehogs, lapwings or farmers are as pleased about badgers as the presenters of Springwatch.'"
1533509565978923008,2022-06-05 18:02:26+00:00,b'@Gavlarr88 It\xe2\x80\x99s just sad it had to be Ukraine. Well done though.'
1533508897864044545,2022-06-05 17:59:47+00:00,b'A momentous win for sure but also the biggest PR disaster in Welsh history.'
1533486561463046145,2022-06-05 16:31:01+00:00,b'@HolmesTW What do you want instead? Trump? Biden? Macron? Putin?'
1533486245296340995,2022-06-05 16:29:46+00:00,b'Can I just say a big well done to the BBC for this weekend. Top job.'
1533447460286353410,2022-06-05 13:55:39+00:00,b'I hate that I say I\xe2\x80\x99ve found something I like and everyone assumes I\xe2\x80\x99ve been hacked.'
1533446964838387712,2022-06-05 13:53:41+00:00,b'@hellopizzaman19 I haven\xe2\x80\x99t. Credit where credit is due. No idea who she is or where she\xe2\x80\x99s from. But her thread is tremendous'
1533446732037726209,2022-06-05 13:52:45+00:00,b'@RealDJXAN No.'
1533446424666734592,2022-06-05 13:51:32+00:00,"b""My absolute favourite thing ever on social media. This girl is very very brilliant Check out user3738341163350's video! #TikTok https://t.co/nExw4rk2iH"""
1532719200690745344,2022-06-03 13:41:48+00:00,b'@BmwRigmaster In America? Good luck with that. I once said \xe2\x80\x9ctwat\xe2\x80\x9d in a meeting in LA and everyone fainted.'
1532463716138115076,2022-06-02 20:46:36+00:00,b'@AnetaFells It\xe2\x80\x99s coming. Only a small brewery but we are doing our best.'
1532462710532845568,2022-06-02 20:42:36+00:00,"b'Someone in Charlbury is flying the EU flag. As a remainer, I have to say that\xe2\x80\x99s funny, but also a bit cuntish.'"
1530969137887039490,2022-05-29 17:47:41+00:00,"b'Exciting race though, when they finally let them do it'"
1530901800852889602,2022-05-29 13:20:06+00:00,b'I\xe2\x80\x99m watching the cars on the road outside my house. It\xe2\x80\x99s more interesting than this Monaco shit show'
1530898471644823552,2022-05-29 13:06:53+00:00,"b'If safety is this important in F1, it\xe2\x80\x99s probably best to not race at all.'"
1530254704835547137,2022-05-27 18:28:47+00:00,"b'Yeah but the thing is that soon, when you\xe2\x80\x99re really hungry, you will eat your neighbour.'"
1529902840247877633,2022-05-26 19:10:35+00:00,b'@juvation It\xe2\x80\x99s a Lisa thing. Nice though'
1529902601285816329,2022-05-26 19:09:39+00:00,b'@Njdecorating I agree with that. Best milk I\xe2\x80\x99ve ever tasted. Reminds me of my childhood.'
1529416317689901056,2022-05-25 10:57:19+00:00,b'@strausan12 I\xe2\x80\x99ve fitted low PSI tyres to sort the problem'
1529098859628138496,2022-05-24 13:55:52+00:00,b'This is a friend of mine. Go if you can.                              Darkie Armo Girl \xe2\x80\x93 Finborough Theatre https://t.co/FfOFD43xoY'
1528421131702640642,2022-05-22 17:02:49+00:00,b'Just watched Man City win with Alex James. Hilarious.'
1524457561403056130,2022-05-11 18:33:00+00:00,b'This is what the rambler did to the farmer. I want the police to catch him https://t.co/YMynpIx55o'
1524457244204707848,2022-05-11 18:31:44+00:00,b'@jontybeever1 He threw a fucking rock at a farmer because the farmer was trying to grow food. That\xe2\x80\x99s it.'
1524342554916962306,2022-05-11 10:56:00+00:00,b'Dear The Police in Avon and Somerset. Please catch the dog walker who threw a rock at a farmer. It is your number one priority.'
1523022766630490112,2022-05-07 19:31:38+00:00,b'Why on earth are we listening to James Corden?'
1521462986178711554,2022-05-03 12:13:37+00:00,b'@ThePusser @domdyer70 @ConnorN43190946 @Daily_Express @RSPCA_official So what about last year when the cameras weren\xe2\x80\x99t there?'
1521462874841006081,2022-05-03 12:13:11+00:00,b'@ThePusser @ConnorN43190946 @domdyer70 @Daily_Express @RSPCA_official @emeliobedelio Not true'
1521441133179678720,2022-05-03 10:46:47+00:00,b'@domdyer70 @Daily_Express @RSPCA_official It\xe2\x80\x99d be better if you did a tiny bit of research before Tweeting. It was a column in the Sunday Times. Read it. You may learn something'
1521439779921047552,2022-05-03 10:41:25+00:00,b'@burghwallisbear @TWBFarms @TheFarmingForum @agricontract @ukrainefood Good luck with everything'
1520458264160477187,2022-04-30 17:41:13+00:00,b'I spent all day looking at tractors.'
1516367681406001154,2022-04-19 10:46:42+00:00,b'@SuzanneDennett Great post.'
1516366715357175808,2022-04-19 10:42:52+00:00,b'@jclelandracing @volvocars They are though. And great to know you\xe2\x80\x99re still out there'
1516365089703702536,2022-04-19 10:36:24+00:00,b'@BigestPaul I seriously doubt that'
1516365011152744448,2022-04-19 10:36:06+00:00,b'@philmclean4 @ItsTomLynch @thesundaytimes Coolest car on the road right now'
1516362696215650304,2022-04-19 10:26:54+00:00,b'@JeffBezos It\xe2\x80\x99s very good'
1515277566525022211,2022-04-16 10:34:59+00:00,b'@dizzy_thinks True story. Apart from I don\xe2\x80\x99t have a Ford GT and I haven\xe2\x80\x99t been in the M6 for several months.'
1514497766264918023,2022-04-14 06:56:20+00:00,b'@OldBlueyes @iwanrstone No. It isn\xe2\x80\x99t that. It\xe2\x80\x99s just for the shop which is tiny.'
1514362072229896195,2022-04-13 21:57:08+00:00,b'So @iwanrstone of the Mail.\nThis is how opposed the local village is to plans for a small car park at our little farm shop. https://t.co/z9hXwwOaRN'
1513084532391657474,2022-04-10 09:20:38+00:00,b'I wrote a thing                 Jeremy Clarkson on growing old and his fear of death\n\nhttps://t.co/CpVxWt9IN8'
1510685738911813638,2022-04-03 18:28:41+00:00,b'From my neighbourhood: https://t.co/nN8UKBbhNy anyone?'
1509983664771407877,2022-04-01 19:58:54+00:00,b'@RogueCoder250 Doubt it would be that'
1509983364652093451,2022-04-01 19:57:42+00:00,"b'If AA Gill were still with us, imagine what he\xe2\x80\x99d have to say this weekend.'"
1509939041269161990,2022-04-01 17:01:35+00:00,b'@SSE When are you going to turn my electricity back on? I know it\xe2\x80\x99s cheaper this way but I\xe2\x80\x99m bored.'
1507787130558423045,2022-03-26 18:30:39+00:00,b'@ElDokaw Fucking Google it'
1507786264006832143,2022-03-26 18:27:13+00:00,"b'Volvo, it seems, has much to learn from Haas.'"
1507646396224131077,2022-03-26 09:11:26+00:00,b'@RatrickPickard That\xe2\x80\x99s weird. I had the exact same thought last night.'
1502968110877401094,2022-03-13 11:21:36+00:00,"b'So, @EmilyPrescott30 Your piece in the Mail about my daughter: either you wilfully got the wrong end of the stick, which means you\xe2\x80\x99re a shit journalist. Or you\xe2\x80\x99re an idiot.'"
1502963520396218369,2022-03-13 11:03:21+00:00,"b'@EmilyPrescott30 The piece you wrote in the Mail about my daughter. Either you wilfully got the wrong end of the stick, which means you are a shit journalist. Or you are an idiot.'"
1500372793652822016,2022-03-06 07:28:44+00:00,b'RT @TWBFarms: We have set up a hub on @TheFarmingForum  to help coordinate offers of practical help and support for the Ukraine \xf0\x9f\x87\xba\xf0\x9f\x87\xa6   It can\xe2\x80\xa6'
