twitter_id,date,tweet
1546520401433411584,2022-07-11 15:42:51+00:00,b'Da Gworls know how to make it #JUMP\nSo Legendary! \xf0\x9f\x98\x8e\n@Anitta\n@SharonStone\n@Lupita_Nyongo \n@DrewBarrymore \n@EllenPompeo\nHellen Mirren https://t.co/1ZoCknmISP'
1546188920546738176,2022-07-10 17:45:40+00:00,b'Awe @Anitta Voc\xc3\xaa \xc3\xa9 t\xc3\xa3o linda mam\xc3\xa3e tamb\xc3\xa9m! Amo Voc\xc3\xaa \xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98 https://t.co/Uy7sBb3Ytv'
1546153756038930435,2022-07-10 15:25:56+00:00,b'Famiglia @DangeRussWilson @DolceGabanna \xe2\xad\x90\xef\xb8\x8f https://t.co/d8E9bEZI7m'
1545857473231196160,2022-07-09 19:48:36+00:00,b'LIT!! I love this energy \xe2\x9d\xa4\xef\xb8\x8f #JUMP https://t.co/AKovdiysH2'
1545856003610030080,2022-07-09 19:42:46+00:00,b'RT @POPSUGARFashion: .@ciara serves 14 hot looks in her new music video. \xf0\x9f\x98\x8d https://t.co/3fbZGcFFv4'
1545855693936201729,2022-07-09 19:41:32+00:00,b'Bringing the stank back baby. #JUMP\xf0\x9f\x98\x8f https://t.co/PxCCHABYQz'
1545855535194378240,2022-07-09 19:40:54+00:00,b'\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x8e\xf0\x9f\x98\x8e\xf0\x9f\x98\x8e https://t.co/2xG87mtgQe'
1545518473194786817,2022-07-08 21:21:33+00:00,b'Today was a good day \xf0\x9f\x98\x8e\xf0\x9f\x92\x83\xf0\x9f\x8f\xbd\xf0\x9f\x94\xa5. Denver we makin it #JUMP https://t.co/nXHGLLSPto'
1545453049950396417,2022-07-08 17:01:34+00:00,b'Jump With Me. Video Out Now! #JUMP https://t.co/vc7Lp4THZP https://t.co/DrmTkG8NsE'
1545432602093490183,2022-07-08 15:40:19+00:00,b'See you all live in on  @YouTube in 5 Min! Pre Video for the Premiere!! https://t.co/NgwC8JjCLU https://t.co/ImqwTv6ta1'
1545418875503665154,2022-07-08 14:45:47+00:00,b'2022. 18 years later\xe2\x80\xa6\nBack on top of the hood again. Oh \xf0\x9f\x98\x8f\nCiCi 2.0. Make That Thang  #JUMP https://t.co/rpJpKv0oDY'
1545411159464955907,2022-07-08 14:15:07+00:00,b'@SamSmith reaction to the Jump Video was the sweetest. I feel so proud. Love you Sam \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0 #JUMP https://t.co/lksgoAa9pj'
1545261133111721985,2022-07-08 04:18:58+00:00,b'I\xe2\x80\x99m back on my mission to make the world dance! \nJUMP is OUT NOW\n\nI wanna see you\xe2\x80\xa6\nJump into the new YOU\nJump into LOVE (Loving on you:))\nJump into FUN\nJump into DANCE\n\nWhat you waiting for? #JUMP \nhttps://t.co/o2aByLLTHw https://t.co/bDeDiVFLSJ'
1545092467531268096,2022-07-07 17:08:45+00:00,b'JUMP at midnight. Video at 9am PST / Noon EST. Pre-save while you can! We ready! \xf0\x9f\xa4\x98\xf0\x9f\x8f\xbd https://t.co/o2aByLuiiW https://t.co/M0Xsmn2wbE'
1544736706154450945,2022-07-06 17:35:05+00:00,"b'Doing life with you has been everything I could have hoped for, dreamt of, and more. It\xe2\x80\x99s the best feeling in the world waking up to you everyday. There is nothing I wouldn\xe2\x80\x99t do for you. Happy Anniversary Mi Amore. My Best Friend. I love you so much @DangeRussWilson. Year 6. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/txBi55XzTF'"
1544094125271695360,2022-07-04 23:01:42+00:00,b'4 more days til JUMP is out\xe2\x80\xa6\nand it\xe2\x80\x99s the 4th!  \xf0\x9f\x92\x83\xf0\x9f\x8f\xbd\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\nHappy 4th of July! \n #Joy #Family #Jump https://t.co/3w9OA0Mn0u'
1543357379655319552,2022-07-02 22:14:08+00:00,b'Make That Thang Jump. \xf0\x9f\x91\x84\xf0\x9f\x8d\x93 https://t.co/GuTyfOOlUk'
1543357106023149568,2022-07-02 22:13:02+00:00,b'Haha. We love you so much Miss. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/5g2x17lxA0'
1542902063570382850,2022-07-01 16:04:52+00:00,b'7 More Days Until It\xe2\x80\x99s Time To Make The World Dance. \xe2\x9c\x8c\xf0\x9f\x8f\xbd+ \xe2\x9d\xa4\xef\xb8\x8f + \xf0\x9f\x92\x83\xf0\x9f\x8f\xbd = #JUMP https://t.co/YF6cHWk1h6'
1542287459882569728,2022-06-29 23:22:39+00:00,b'JUMP. July 8 https://t.co/0RHfX1dZPW'
1542209856932904963,2022-06-29 18:14:17+00:00,"b'New Music, New Chapter, New Partnership!\nMy Label Beauty Marks Entertainment X Uptown/Republic!! Ready to make the world #JUMP! https://t.co/hEKbYZxaxw'"
1541947965400563712,2022-06-29 00:53:37+00:00,b'We gonna make That Thang JUMP! \xf0\x9f\x98\x8e Closing out #BlackMusic Month live on @TikTok Tune in tomorrow at 3:30pm PST #JUMP https://t.co/YcHL45Tmjs'
1540862570596270082,2022-06-26 01:00:39+00:00,b'I\xe2\x80\x99m on dat ra ra \xf0\x9f\x98\x8e @LitaByCiara https://t.co/huK3uXnlwd'
1540720265092546560,2022-06-25 15:35:11+00:00,b'Happy Birthday to my boo @LaLa! The most selfless human being I know! You light up every room you\xe2\x80\x99re in. Here\xe2\x80\x99s to the most Lit birthday year ever! I Love you so much Birthday Queen \xe2\x9d\xa4\xef\xb8\x8f https://t.co/zqbxyyR9fD'
1539410012069449729,2022-06-22 00:48:42+00:00,b'Tune in now! https://t.co/HIwwcOkfTb https://t.co/FBDquQrCez'
1539403268425515008,2022-06-22 00:21:54+00:00,"b""We're live! @TalkShopLive with @SamsungUS! Tune in and get a Backstage Pass to the coolest tech at https://t.co/Vh71iH5cEH! https://t.co/XqkdgLM7O8"""
1539298949571301376,2022-06-21 17:27:23+00:00,b'Hosting @TalkShopLive tonight with @Samsung! Tune in for a Backstage Pass to the coolest tech available at Walmart. Join me tonight at \xc2\xa08pm Eastern at\xc2\xa0https://t.co/b8XfNzFDwH! https://t.co/HILMfL7uIK'
1538596198323396608,2022-06-19 18:54:54+00:00,"b'On this day and everyday, you bring us Joy @DangeRussWilson. It\xe2\x80\x99s so sweet to see how every little moment is a big moment and important to you. Thanks for being the being loving, caring, and thoughtful Father you are. For always being there.We love you so much\xe2\x9d\xa4\xef\xb8\x8f #HappyFathersDay https://t.co/uFCKFRKg59'"
1537851142343782400,2022-06-17 17:34:18+00:00,b'Ready to JUMP into the Wknd like \xf0\x9f\x98\x8e https://t.co/G3D33Hvctj'
1537564126813093888,2022-06-16 22:33:49+00:00,"b'Excited to be hosting a @TalkShopLive where I\xe2\x80\x99ll be talking to @SamsungUS experts, answering your questions and giving you all a #Backstage Pass to the latest, coolest tech. We\xe2\x80\x99ll even give away some Samsung products! Join me June 21 at 8pm Eastern LIVE! https://t.co/Vh71iH5cEH https://t.co/hHK1UkAsOo'"
1536430848118910976,2022-06-13 19:30:34+00:00,b'She got options :) @LITAByCiara https://t.co/oLAAp4IpHt'
1535739157410111488,2022-06-11 21:42:02+00:00,b'C Mani. My Type A Party #Girls \xf0\x9f\x92\x83\xf0\x9f\x8f\xbd https://t.co/apTjCsbp3v'
1534931421017432065,2022-06-09 16:12:23+00:00,b'Squad Up. Take Me Back. #LoversandFriendsFest https://t.co/ysntuafl6E'
1534905993368195072,2022-06-09 14:31:20+00:00,b'Aight now:) Jump til you can\xe2\x80\x99t jump no mo mama #Jump \xf0\x9f\xa4\xa3\xf0\x9f\xa5\xb0 https://t.co/I7DnYNbdzr'
1534619876819619840,2022-06-08 19:34:25+00:00,"b'One of my favorite places to be in this world is On The Stage, with YOU. MY FANS  #Dance \xf0\x9f\x96\xa4 https://t.co/F3caXBzMbP'"
1534185574243807233,2022-06-07 14:48:39+00:00,b'Truly honored to be apart of the Team and to be a part of carrying on Jimmy V\xe2\x80\x99s great legacy together! #VictoryOverCancer!  #WhyNotYou \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd https://t.co/CAm493RxeB'
1533224995609927680,2022-06-04 23:11:39+00:00,b'Made dem gas prices #JUMP \xf0\x9f\x91\x80\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/RyM3hHM8lJ'
1532416389956485122,2022-06-02 17:38:32+00:00,b'Its time to pull up and make that thang J.U.M.P \xf0\x9f\x98\x8e https://t.co/27Aw9JuDOm'
1532135656431837184,2022-06-01 23:03:00+00:00,b'I Got Pride Baby! Spreading love this Month and Every Month. Love &amp; Peace only. @AllHumanNation #Pride \xe2\x9c\x8c\xf0\x9f\x8f\xbd\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8c\x88 https://t.co/zZb9dlXkrL'
