twitter_id,date,tweet
1541068578316660736,2022-06-26 14:39:15+00:00,b'25 years ago my mum would take me to auditions via the London Underground \xf0\x9f\x9a\x87 today on the way to work I couldn\xe2\x80\x99t help myself but grab a selfie with Guy &amp; say Thank you mum! None of this happens without you \xe2\x9d\xa4\xef\xb8\x8f xx https://t.co/HpQihvrWz4'
1539648005602955264,2022-06-22 16:34:24+00:00,b'Buckbeak &amp; I have finally settled our differences. Water under the bridge x #myfatherwillhearaboutthis https://t.co/IjAzKiygrE'
1539635157916868608,2022-06-22 15:43:21+00:00,b'Nice one Sam #asshole #bromantic https://t.co/r240lhL1wq'
1538630524612145153,2022-06-19 21:11:18+00:00,"b""Voting closes tomorrow! If you haven't already, vote for me and Save The Cinema for the @NATFilmAwards \n\nhttps://t.co/RM1DXXCGiw https://t.co/envm4BCyqY"""
1537891572234059777,2022-06-17 20:14:58+00:00,b'My Jenny @222aghoststory https://t.co/LlXlGoJqH9'
1536380404562903041,2022-06-13 16:10:07+00:00,b'Raise your hand if you voted for the @NATFilmAwards \xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\nFilming this movie was a labour of love. Thank you for the nomination for Best Supporting Actor. You still have a week to cast your votes !!\n#savethecinema\nhttps://t.co/RM1DXXl5qY https://t.co/40bcw6OBQ8'
1536014461185806337,2022-06-12 15:55:59+00:00,b'Have you voted ? The @NATFilmAwards nominated me for Best Supporting Actor and Save The Cinema for many other awards!\n\nhttps://t.co/RM1DXXl5qY https://t.co/HTxNokKvsT'
1534891954869248004,2022-06-09 13:35:33+00:00,b'Huge love to Nigel Allen &amp; Sophia Hannides for keeping this amazing show going ! Thanks for everyone\xe2\x80\x99s support x'
1534891951144718338,2022-06-09 13:35:32+00:00,b'Sorry to report I am a little under the weather and taking a few days off to rest up. Nothing serious but sadly means I won\xe2\x80\x99t be able to part of @222ghoststory until I\xe2\x80\x99m back on my feet. You\xe2\x80\x99ll be pleased to hear Willow is fine &amp; taking good care of me. https://t.co/c3BCeewY52'
1534886661137612803,2022-06-09 13:14:31+00:00,b'Sorry to report I am a little under the weather &amp; taking a few days off to rest up. Nothing serious but sadly means I won\xe2\x80\x99t be able to part of @222aghoststory until I\xe2\x80\x99m back on my feet. You\xe2\x80\x99ll be pleased to hear Willow is fine &amp; taking good care of me. Thx for all the love x'
1533841052313997312,2022-06-06 15:59:38+00:00,"b'Happy birthday Father \xf0\x9f\x90\x8d \n\nalso happee (belated) birthdae to Draco Malfoy, too \xf0\x9f\x8e\x82 https://t.co/GFknPMxD5v'"
1532754425319763968,2022-06-03 16:01:46+00:00,b'Thank you for all of the love and support on #BeyondTheWand so far. The book cover will soon be revealed \xe2\x9c\xa8 but first i wanna see your art and what you think Beyond The Wand\xe2\x80\x99s cover should look like !!  #BeyondTheWandFanArt https://t.co/2RBnIyBs4z'
1532405579523710980,2022-06-02 16:55:35+00:00,b'Rolling into jubilee weekend like \xe2\x80\xa6 #willowfelton https://t.co/6YkyDmnJZz'
1532087343984820225,2022-06-01 19:51:02+00:00,b'+100 points to Slytherin \xf0\x9f\x90\x8d \n@CASETiFY  #HarryPotterxCASETiFY https://t.co/yCrzzfQHA5'
1532040046131429376,2022-06-01 16:43:05+00:00,b'When your old school mate comes to see your play and some bellend insists on taking a picture https://t.co/SlIIk7YYIS'
1531719103920078848,2022-05-31 19:27:46+00:00,b'So excited for you to experience @GunpowderImrsv  #guyfawkes x https://t.co/90cGic7NA6'
1531646197731057666,2022-05-31 14:38:04+00:00,b'2-1 to team \xf0\x9f\x90\x8d x #gryffindork https://t.co/OOYwyUcV8x'
1530947376134901761,2022-05-29 16:21:12+00:00,b'Someone\xe2\x80\x99s been at my dressing room door x https://t.co/zecMwltbUn'
1530241468434194433,2022-05-27 17:36:11+00:00,"b""RT @222aghoststory: Experience film favourite @TomFelton live on stage @CriTheatre this Summer!\n\nTickets disappearing fast - don't miss out\xe2\x80\xa6"""
1529881003283685377,2022-05-26 17:43:49+00:00,b'I\xe2\x80\x99ve been waiting so long to tell you all about this #beyondthewand xx\nhttps://t.co/24008FUWwf https://t.co/4C33A998di'
1529552021157826560,2022-05-25 19:56:34+00:00,"b'special announcement tomorrow! hoNestlY, i\xe2\x80\x99ve Been holDing onto this One for a while but i\xe2\x80\x99m Excited to finally share it! \n\nThe last few months Have been like no othEr. \n\nAnd i want to thank you for your never-enDing support. i wouldN\xe2\x80\x99t be able to do What i love without you. https://t.co/kXUYPfiiVk'"
1528132412898742273,2022-05-21 21:55:33+00:00,"b'To one of my favourite peoples on the planet , so great to see you on this side of the pond. The courageous and brilliant Rachel Talalay. Bundles of love xx https://t.co/1cW33qDXx0'"
1527342313651183616,2022-05-19 17:35:58+00:00,"b'To my eldest brother my &amp; earliest inspiration to get up on stage. Thank you for everything , Love you bro xx https://t.co/UH3K01WKmH'"
1526590794710368258,2022-05-17 15:49:42+00:00,b'RT @WhatsOnStage: Stars of @222aghoststory Tom Felton and Mandip Gill answer our ghostly questions! Watch the video https://t.co/GOlLCusxkD\xe2\x80\xa6'
1526223524255485955,2022-05-16 15:30:18+00:00,b'Mad love to my @222aghoststory family \xe2\x9d\xa4\xef\xb8\x8f And thank you @aquakyotolondon for the amazing celebratory meal x https://t.co/0dqQFrP8wv'
1526172923450384384,2022-05-16 12:09:14+00:00,b'Much obliged sir x https://t.co/UOUN5TlxMz'
1525534433281036288,2022-05-14 17:52:06+00:00,b'What an opening night ! Thank you everyone for your support x @222aghoststory https://t.co/dbtZ0lgVmI'
1525492995348484102,2022-05-14 15:07:27+00:00,"b'Do you believe in ghosts ? \xf0\x9f\x91\xbb Performing at the West End has been an absolute dream come true, so thank you for all the love on 2:22 so far. You can still get tickets at the link in bio. x\n\n\xf0\x9f\x93\xb8: Nicky Sims, Getty Images https://t.co/S90z5TFayW'"
1524794565479346177,2022-05-12 16:52:08+00:00,"b""Don't forget to vote for Save The Cinema and for me as Best Supporting Actor for the @NATFilmAwards!\nhttps://t.co/RM1DXXl5qY https://t.co/7tOF4WGA9C"""
1524763450962063360,2022-05-12 14:48:30+00:00,"b""RT @222aghoststory: IT'S HAPPENING AGAIN \xf0\x9f\x91\xbb\nHere's a first look at the hauntingly talented cast on stage! Don't miss #MandipGill, @TomFelton\xe2\x80\xa6"""
1524758811197820928,2022-05-12 14:30:03+00:00,b'Say hello to my slightly taller cast mate Swoonsbury https://t.co/YMF4isnNwf'
1524452509607206912,2022-05-11 18:12:55+00:00,"b""Let's go !\n\n@casetify #HarryPotterxCASETiFY https://t.co/F4DyFtbhPk"""
1521904282777407488,2022-05-04 17:27:11+00:00,b'Willow caddies @golfatthegrove x https://t.co/2BctxbKl0r'
1521563801874796544,2022-05-03 18:54:14+00:00,b'Fun times w/ Mandip Gill on the @BBCTheOneShow for @222aghoststory \nWillow hit the deck with excitement x https://t.co/nmmZYJFoMO'
1521141974501318656,2022-05-02 14:58:02+00:00,"b'Had an amazing time reuniting with my old chum @Mattdavelewis this weekend at the @nintendouk Switch Sports Park.\n\nI\xe2\x80\x99m not going to let Lewis live this one down for a long, LONG time. \n\n#NintendoSwitchSports #ad https://t.co/s2b3dXKIs1'"
1520149363619737600,2022-04-29 21:13:45+00:00,"b""happy #feltonfanartfriday ! don't forget to submit your artwork to my merch competition! x\ndetails here: https://t.co/f6tWtdZ70X https://t.co/DUdeh8XT9K"""
1520142510735216642,2022-04-29 20:46:32+00:00,b'RT @vie_de_vic: finally finished my new digital artwork of @TomFelton as Draco Malfoy \xf0\x9f\x90\x8d\xe2\x9c\x8d\xf0\x9f\x8f\xbc\nHope you\xe2\x80\x99ll like it guys \xf0\x9f\xa5\xba\xf0\x9f\x92\x9a\n#TomFelton #FeltonFan\xe2\x80\xa6'
1520142420956094466,2022-04-29 20:46:10+00:00,b'RT @bogatyrevaspace: Tom Felton @TomFelton and his guitar. I love his songs and made this animation\n\nMusic by me\n\n#blackandwhite #feltonfan\xe2\x80\xa6'
1520142332548599809,2022-04-29 20:45:49+00:00,"b'RT @eliza_photo: This drawing was inspired by pictures of magical sunsets from Venice Beach. And of course one wonderful actor, musician an\xe2\x80\xa6'"
1520142255943831554,2022-04-29 20:45:31+00:00,b'RT @TheIronRibcage: Tom Felton brought his mom to the @OlivierAwards so of course I had to draw them \xf0\x9f\xa6\x86\xf0\x9f\x92\x9b\n@TomFelton #TomFelton #FeltonFanArt\xe2\x80\xa6'
1520142185420795904,2022-04-29 20:45:14+00:00,"b""RT @Rocchan_93: I'm Draco Malfoy \xf0\x9f\x92\x9a\xf0\x9f\x90\x8d\n#dracomalfoy #harrypotter #manga #anime #artwork #digitalart #illustration #sketching #sketchbook #draw\xe2\x80\xa6"""
1520142119637331972,2022-04-29 20:44:58+00:00,b'RT @art_armi_sar: @TomFelton \xf0\x9f\xa4\x8dI fall in love every time\xe2\x80\xa6\xf0\x9f\xa4\x8d @official_feltbeats \n#feltonfanartfriday #tomfelton #tomfeltonfanart #tomfeltoned\xe2\x80\xa6'
1519745111705280513,2022-04-28 18:27:24+00:00,b'My mum has. Anyone else ? https://t.co/q7Gj5xIqC6'
1519348250167451654,2022-04-27 16:10:25+00:00,"b'Thank you so much to the @natfilmawards for nominating me as Best Supporting Actor. Portraying Richard Goodridge in Save The Cinema was such an honour. Voting is open to the public , so you can vote at the link below!! Thank you x.\nhttps://t.co/P58gdqDMU0 https://t.co/C5MrPN51yu'"
1516526456947552267,2022-04-19 21:17:37+00:00,b'Mad love to @thisisbwright for writing such an amazing book! \xf0\x9f\x90\x8d &amp; \xf0\x9f\xa6\x81 will both enjoy it equally. Go gently peoples #gogently x https://t.co/ZyUnfnET7V'
1515693998979096576,2022-04-17 14:09:44+00:00,b'Happy Easter all x #willowfeltonwins https://t.co/lxPSlws3vq'
1515061427236712452,2022-04-15 20:16:07+00:00,b'22 days to 2:22 \xf0\x9f\x91\xbb Who will I see there? \xf0\x9f\x91\x80  \nhttps://t.co/wVNTzFCqi3 https://t.co/nVXUqmhE9A'
1512816643449278465,2022-04-09 15:36:09+00:00,b'Before &amp; after x https://t.co/32HCiUY3jq'
1512110532991627271,2022-04-07 16:50:19+00:00,b'Exciting news !! I\xe2\x80\x99m going to be portraying the infamous Guy Fawkes in The Gunpowder Plot. Ive had an incredible time helping put together this immersive virtual experience. Opening on the 20th of May !! https://t.co/aBI8YJ5dkc'
