twitter_id,date,tweet
1546581343424880641,2022-07-11 19:45:01+00:00,"b'You can do it afraid! That means that you can feel afraid, but still go ahead and do what you believe God wants you to do. #JoyceQuote'"
1546551155723059203,2022-07-11 17:45:03+00:00,"b'Are you worrying about tomorrow when you should be focusing on today? Trust God to equip you for whatever comes today, tomorrow, and in the future, so that you can receive the fullness of His gifts today. https://t.co/9TS3hS12lu'"
1546520969929531392,2022-07-11 15:45:06+00:00,"b'In 2021, when people called for help, you responded. Whether it was the earthquake in Haiti, wildfires in California, or civil unrest in Israel, you demonstrated the love of Jesus Christ.\n\nRead the stories of people who were helped in a time of need at https://t.co/EGZEsd4TO0 https://t.co/gn2490tGvP'"
1546490754733903873,2022-07-11 13:45:02+00:00,"b'God is bigger than any attack of the enemy, bigger than your worries, your problems and your fears. God knows what you need, loves to take care of you, and He always has your back!\n\nFor more encouraging confessions, check out this free download at https://t.co/QNkzhvc4gX https://t.co/rMwO6P9Xdt'"
1546460556248367106,2022-07-11 11:45:03+00:00,"b""Ever allow fear to control you? Joyce shares how the Word of God can empower you to become a person of unshakeable faith. Watch today's show at https://t.co/qvqqrm98Yb #EnjoyingEverydayLife #TodaysShow https://t.co/hHXoJE2hYo"""
1546158567840956417,2022-07-10 15:45:03+00:00,"b'In 2021, you regularly fed thousands of children in Zimbabwe at schools and through our feeding centers. See more of what you helped make possible in 2021 at https://t.co/EGZEsd4TO0 #HandOfHope #GiveHope #AR21 https://t.co/5mxHDD1jjr'"
1546128357951250433,2022-07-10 13:45:00+00:00,b'All we really need to be happy is God! #JoyceQuote'
1546098175735435266,2022-07-10 11:45:04+00:00,"b""Do you ever feel like a cold lump of clay? Joyce explains that we are all just lumps of clay and God is molding us into what He has for us. Read today's devotional at https://t.co/VgQ592EXa2 #JoyceDevo #DailyDevo https://t.co/bRnj3m8hbE"""
1545849017116024837,2022-07-09 19:15:00+00:00,b'Do you have what the enemy is telling you is an impossible situation? I want to remind you today that all things are possible with God. #JoyceQuote'
1545818827895840768,2022-07-09 17:15:03+00:00,"b'For people living in remote places around the world, medical care is difficult to access. But thanks to you, we are making it easier by taking the care to them through mobile medical vans like this one!  #HandOfHope #GiveHope https://t.co/UlRJc1qSxA'"
1545788631700602880,2022-07-09 15:15:03+00:00,"b'Jesus is your Deliverer. As you draw closer to Him, He will deliver you from fear! https://t.co/HC31YoPfzz'"
1545758428328599552,2022-07-09 13:15:02+00:00,"b'When we\xe2\x80\x99re faced with a task, it\xe2\x80\x99s easy to become so focused on our weaknesses that we\xe2\x80\x99re afraid we can\xe2\x80\x99t do it. Jesus\xe2\x80\x99 heart is to help you\xe2\x80\x94He wants you to be confident and fearless.\n\nFor more encouraging confessions, check out this free download at https://t.co/QNkzhvc4gX https://t.co/TAxui4HFgf'"
1545728232112242689,2022-07-09 11:15:03+00:00,"b""Are you someone who needs all the answers\xe2\x80\xa6first? Joyce teaches on the importance of trusting God and not needing all the answers. Read today's devotional at https://t.co/UoJ2PR7SlZ #JoyceDevo #DailyDevo https://t.co/GhrASboJ52"""
1545521919088361474,2022-07-08 21:35:14+00:00,"b'@BarbaraKetchum7 Much love to you from all of us here at Joyce Meyer Ministries!\xc2\xa0For more great encouragement and resources from Joyce, check out https://t.co/eyKN3vt7RE. God bless you! -Team JMM'"
1545521813773508609,2022-07-08 21:34:49+00:00,"b'@ihotuemmanuel For more great encouragement and resources from Joyce, check out https://t.co/eyKN3vt7RE. God bless you! -Team JMM'"
1545521743078596608,2022-07-08 21:34:32+00:00,"b""@JennSL12 For more encouragement,\xc2\xa0check out Joyce's new online study at https://t.co/X4Nlvj7piI. God bless you! -Team JMM"""
1545521519073415169,2022-07-08 21:33:39+00:00,"b""@Itsme59604577S We also encourage you to check out today's teaching from Joyce at https://t.co/eyKN3vt7RE. We pray it blesses you! -Team JMM"""
1545521438974697477,2022-07-08 21:33:20+00:00,"b""@MAOLee09 We also encourage you to check out Joyce's new online study at https://t.co/X4Nlvj7piI. God bless you! -Team JMM"""
1545521392317243397,2022-07-08 21:33:08+00:00,"b""@AlhajiTrinidad For more great encouragement, check out Joyce's Daily Devotionals at https://t.co/jwZLk3FsPg. God bless you! -Team JMM"""
1545521272574058499,2022-07-08 21:32:40+00:00,"b""@JehovahsWife We also encourage you to check out Joyce's new online study at https://t.co/X4Nlvj7piI. God bless you! -Team JMM"""
1545520853768601601,2022-07-08 21:31:00+00:00,"b'@OralieSanchez For more great encouragement and resources from Joyce, check out https://t.co/eyKN3vt7RE. God bless you! -Team JMM'"
1545520695823765504,2022-07-08 21:30:22+00:00,"b""@Ochiefrediology We also encourage you to check out today's teaching from Joyce at https://t.co/eyKN3vt7RE. We pray it blesses you! -Team JMM"""
1545520544430395392,2022-07-08 21:29:46+00:00,"b""@NyikoWakaChauk3 For more great encouragement, check out Joyce's Daily Devotionals at https://t.co/jwZLk3FsPg. God bless you! -Team JMM"""
1545520504852848641,2022-07-08 21:29:37+00:00,"b""@Owalum2 We also encourage you to check out today's teaching from Joyce at https://t.co/eyKN3vt7RE. We pray it blesses you! -Team JMM"""
1545520324581761028,2022-07-08 21:28:54+00:00,"b'@DavidAgbo For more great encouragement and resources from Joyce, check out https://t.co/eyKN3vt7RE. God bless you! -Team JMM'"
1545519530516123649,2022-07-08 21:25:45+00:00,"b""@JohnOke00161223 We also encourage you to check out today's teaching from Joyce at https://t.co/eyKN3vt7RE. We pray it blesses you! -Team JMM"""
1545519119423922180,2022-07-08 21:24:07+00:00,"b""@heidi_sprouse We're grateful to hear that this blessed you! -Team JMM"""
1545517809609936897,2022-07-08 21:18:54+00:00,b'@SamuelO09287732 Blessings to you as well! -Team JMM'
1545517754970787841,2022-07-08 21:18:41+00:00,"b'@ppmacc \xf0\x9f\x99\x8c\xf0\x9f\x99\x8f\xc2\xa0For more great encouragement and resources from Joyce, check out https://t.co/eyKN3vt7RE. God bless you! -Team JMM'"
1545516571296243713,2022-07-08 21:13:59+00:00,b'@denise19712 \xf0\x9f\x99\x8c\xf0\x9f\x99\x8f -Team JMM'
1545516534495322118,2022-07-08 21:13:50+00:00,"b""@PaPadgett \xf0\x9f\x99\x8c Amen! For more great encouragement,\xc2\xa0check out Joyce's new online study at https://t.co/X4Nlvj7piI. God bless you! -Team JMM"""
1545516162020147202,2022-07-08 21:12:21+00:00,"b""@captainyagabiz For more great encouragement, check out Joyce's Daily Devotionals at https://t.co/jwZLk3FsPg. God bless you! -Team JMM"""
1545516104621096962,2022-07-08 21:12:08+00:00,"b""@grecymwangi We also encourage you to check out Joyce's new online study at https://t.co/X4Nlvj7piI. God bless you! -Team JMM"""
1545515603766681606,2022-07-08 21:10:08+00:00,b'@Oluwafemie1985 We also encourage you to check out the online study at https://t.co/YvlHqjcs3w. God bless you! -Team JMM'
1545515398648500225,2022-07-08 21:09:19+00:00,"b""@CalebCh21211803 Hi there! You can purchase Joyce's books wherever books are sold! If you need more assistance, please contact us at https://t.co/rKbaVj5n4c. Blessings! -Team JMM"""
1545515058482094081,2022-07-08 21:07:58+00:00,b'@antony_pass You can purchase online at https://t.co/aenLGKL6CW. God bless you! -Team JMM'
1545514607581724672,2022-07-08 21:06:11+00:00,"b'@indira_ramnauth We will be praying! Rest in the truth of Jeremiah 29:12. The Lord says, \xe2\x80\x9cThen you will call upon me and come and pray to me, and I will hear you.\xe2\x80\x9d He hears your prayers now and always! -Team JMM'"
1545514307131215874,2022-07-08 21:04:59+00:00,b'@Tami_KCD \xf0\x9f\x98\x8a We pray it is a blessing to you! -Team JMM'
1545513154200981504,2022-07-08 21:00:24+00:00,"b""@Muleng17Cynthia We also encourage you to check out today's teaching from Joyce at https://t.co/eyKN3vt7RE. We pray it blesses you! -Team JMM"""
1545512993852637184,2022-07-08 20:59:46+00:00,"b""@BabikoGrg We're sorry to hear what you have been going through. We are lifting you up in our prayers! -Team JMM"""
1545512792593145856,2022-07-08 20:58:58+00:00,b'@AngelDelDios \xf0\x9f\x99\x8c\xf0\x9f\x99\x8f Blessings to you! -Team JMM'
1545512264354217984,2022-07-08 20:56:52+00:00,b'@1BiancaDebora A great way to grow closer to the Lord is by spending time in prayer and studying scripture. We encourage you to check out https://t.co/pRZgZxfaS6 and https://t.co/2lSH2xi9W6. We hope they can be a blessing to you as you strengthen your relationship with the Lord! -Team JMM'
1545511842625232900,2022-07-08 20:55:12+00:00,"b""@getfitorquit27 We also encourage you to check out Joyce's Talk It Out podcast at https://t.co/kZcifnRZSL! We pray it blesses you! -Team JMM"""
1545511764598603781,2022-07-08 20:54:53+00:00,"b'@zuzuazeb2122 For more encouragement, check out this great online study from Joyce at https://t.co/0lnKLYsodl. God bless you! -Team JMM'"
1545511635246252033,2022-07-08 20:54:22+00:00,"b""@MaritalHolman We know it can be difficult to hold onto hope when things are hard in our lives. But that can be when being a prisoner to hope is the important thing. Check out https://t.co/Ki748ZJbKf . We hope it's a blessing to you! -Team JMM"""
1545511554195591169,2022-07-08 20:54:03+00:00,"b""@AtulayoE For more great encouragement, check out Joyce's Daily Devotionals at https://t.co/jwZLk3FsPg. God bless you! -Team JMM"""
1545511359617671173,2022-07-08 20:53:17+00:00,b'@DockeryRomayne Check out this great online study from Joyce at https://t.co/0lnKLYsodl. God bless you! -Team JMM'
1545511259562549249,2022-07-08 20:52:53+00:00,"b""@ogundele_praise We also encourage you to check out Joyce's Talk It Out podcast at https://t.co/kZcifnRZSL! We pray it blesses you! -Team JMM"""
1545511198489296898,2022-07-08 20:52:38+00:00,b'@EthanJobJob1 Check out this resource from Joyce at https://t.co/VS4uBbjiZx. We pray it is a blessing to you! -Team JMM'
1545511096060186625,2022-07-08 20:52:14+00:00,"b'@Happytegha For more great encouragement and resources from Joyce, check out https://t.co/eyKN3vt7RE. God bless you! -Team JMM'"
1545511060274384897,2022-07-08 20:52:05+00:00,b'@camille_shavon \xf0\x9f\x99\x8c\xf0\x9f\x99\x8f -Team JMM'
1545511016456491008,2022-07-08 20:51:55+00:00,"b""@KittyRa19741758 For more great encouragement, check out Joyce's Daily Devotionals at https://t.co/jwZLk3FsPg. God bless you! -Team JMM"""
1545510950203232256,2022-07-08 20:51:39+00:00,"b""@Beebambs We also encourage you to check out today's teaching from Joyce at https://t.co/eyKN3vt7RE. We pray it blesses you! -Team JMM"""
1545510786621128709,2022-07-08 20:51:00+00:00,b'@DonnaDorsey8 We are praying for you! We know it can be so difficult when the Lord\xe2\x80\x99s timing doesn\xe2\x80\x99t line up with our own. We encourage you to stay full of hope and expectation as you wait on the Lord\xe2\x80\x99s timing. Check out https://t.co/PlbtwA6k8j. We hope it can be a blessing to you. -Team JMM'
1545510652588003328,2022-07-08 20:50:28+00:00,"b""@debbiethetexan We also encourage you to check out Joyce's new online study at https://t.co/X4Nlvj7piI. God bless you! -Team JMM"""
1545510611731337216,2022-07-08 20:50:18+00:00,"b""@ShaunaLockhart We also encourage you to check out Joyce's Talk It Out podcast at https://t.co/kZcifnRZSL! We pray it blesses you! -Team JMM"""
1545510409771294720,2022-07-08 20:49:30+00:00,"b""@DamonesOlga We also encourage you to check out today's teaching from Joyce at https://t.co/eyKN3vt7RE. We pray it blesses you! -Team JMM"""
1545510272944799751,2022-07-08 20:48:57+00:00,"b'@SahLameck \xf0\x9f\x99\x8c Amen!\xc2\xa0For more great encouragement and resources from Joyce, check out https://t.co/eyKN3vt7RE. God bless you! -Team JMM'"
1545510206691590144,2022-07-08 20:48:42+00:00,"b""@Imbless37Li We're so sorry to hear all that you have been through. We are praying for you!\xc2\xa0One of the names of God is Jehovah Jireh, which means \xe2\x80\x9cthe Lord our Provider\xe2\x80\x9d or \xe2\x80\x9cthe Lord will provide.\xe2\x80\x9d Check out this teaching from Joyce at https://t.co/KSyDhPp1Ol. God bless you. -Team JMM"""
1545509726087254019,2022-07-08 20:46:47+00:00,b'@GrootCharles \xf0\x9f\x99\x8c\xf0\x9f\x99\x8f -Team JMM'
1545509680188907520,2022-07-08 20:46:36+00:00,b'@ChrisMo37784632 We know it can be so difficult when the Lord\xe2\x80\x99s timing doesn\xe2\x80\x99t line up with our own. We encourage you to stay full of hope and expectation as you wait on the Lord\xe2\x80\x99s timing. Check out https://t.co/PlbtwA6k8j. We hope it can be a blessing to you. -Team JMM'
1545509565755703296,2022-07-08 20:46:09+00:00,"b'@BassC41119771 \xf0\x9f\x99\x8c\xf0\x9f\x98\x8a\xc2\xa0For more great encouragement and resources from Joyce, check out https://t.co/eyKN3vt7RE. God bless you! -Team JMM'"
1545509515621195781,2022-07-08 20:45:57+00:00,"b""@timothysammysp1 We also encourage you to check out today's teaching from Joyce at https://t.co/eyKN3vt7RE. We pray it blesses you! -Team JMM"""
1545509315884322817,2022-07-08 20:45:09+00:00,"b""@DennisMwangonde For more great encouragement, check out Joyce's Daily Devotionals at https://t.co/jwZLk3FsPg. God bless you! -Team JMM"""
1545509246275825664,2022-07-08 20:44:53+00:00,b'@KahliPolk \xf0\x9f\x99\x8f\xf0\x9f\x99\x8c -Team JMM'
1545508943853764608,2022-07-08 20:43:41+00:00,"b""@Sarah04144684 We're grateful to hear that this blessed you!\xc2\xa0Check out this great online study from Joyce at https://t.co/0lnKLYsodl. God bless you! -Team JMM"""
1545508851922964486,2022-07-08 20:43:19+00:00,b'@MindedSeriously \xf0\x9f\x99\x8c\xf0\x9f\x98\x8a Blessings to you! -Team JMM'
1545508663510581248,2022-07-08 20:42:34+00:00,"b""@BabayemiSmith We also encourage you to check out today's teaching from Joyce at https://t.co/eyKN3vt7RE. We pray it blesses you! -Team JMM"""
1545508473907077120,2022-07-08 20:41:48+00:00,b'@WILL_your_WAY We also encourage you to check out this great online study from Joyce at https://t.co/0lnKLYsodl. God bless you! -Team JMM'
1545506682230513664,2022-07-08 20:34:41+00:00,b'@Nasirmu69203254 \xf0\x9f\x99\x8c\xf0\x9f\x99\x8f -Team JMM'
1545506629940117507,2022-07-08 20:34:29+00:00,"b'@gustavo_herve \xf0\x9f\x99\x8c Amen!\xc2\xa0For more great encouragement and resources from Joyce, check out https://t.co/eyKN3vt7RE. God bless you! -Team JMM'"
1545506542539210755,2022-07-08 20:34:08+00:00,"b'@petermaira1 For more great encouragement and resources from Joyce, check out https://t.co/eyKN3vt7RE. God bless you! -Team JMM'"
1545506472624267264,2022-07-08 20:33:51+00:00,"b""@DeanneMcKinley5 We also encourage you to check out today's teaching from Joyce at https://t.co/eyKN3vt7RE. We pray it blesses you! -Team JMM"""
1545506415934054407,2022-07-08 20:33:38+00:00,"b'@Mirriamdube5 For more great encouragement and resources from Joyce, check out https://t.co/eyKN3vt7RE. God bless you! -Team JMM'"
1545506004665868288,2022-07-08 20:32:00+00:00,"b'@martianlvr For more great encouragement, check out this great online study from Joyce at https://t.co/0lnKLYsodl. God bless you! -Team JMM'"
1545505891096662019,2022-07-08 20:31:33+00:00,b'@1BiancaDebora \xf0\x9f\x99\x8c Amen!! -Team JMM'
1545505806623318016,2022-07-08 20:31:13+00:00,b'@msday502 \xf0\x9f\x99\x8c Amen! -Team JMM'
1545505289201504260,2022-07-08 20:29:09+00:00,b'@BoyiEdwin \xf0\x9f\x99\x8c\xf0\x9f\x99\x8f\xc2\xa0Know that the Lord has a great plan for you and your life. We encourage you to check out https://t.co/0ZdC1g9SGv. The Lord is working on your behalf now and always. God bless you! -Team JMM'
1545505197585227778,2022-07-08 20:28:47+00:00,b'@NasimJoseph4 Check out this great online study from Joyce at https://t.co/0lnKLYsodl. God bless you! -Team JMM'
1545504934933762049,2022-07-08 20:27:45+00:00,"b'@BitrusBlack We will be praying! One of the names of God is Jehovah Jireh, which means \xe2\x80\x9cthe Lord our Provider\xe2\x80\x9d or \xe2\x80\x9cthe Lord will provide.\xe2\x80\x9d Know that the Lord will provide all that you need in His time and in His way. Check out https://t.co/KSyDhPp1Ol. God bless you! -Team JMM'"
1545504770462474240,2022-07-08 20:27:06+00:00,"b""@budylove_twins For more great encouragement, check out Joyce's Daily Devotionals at https://t.co/jwZLk3FsPg. God bless you! -Team JMM"""
1545504660571791360,2022-07-08 20:26:39+00:00,"b'@DiogoDourado11 For more great encouragement and resources from Joyce, check out https://t.co/eyKN3vt7RE. God bless you! -Team JMM'"
1545504464416694272,2022-07-08 20:25:53+00:00,"b'@HavenorFantasy For more great encouragement, check out this great online study from Joyce at https://t.co/0lnKLYsodl. God bless you! -Team JMM'"
1545504242756206594,2022-07-08 20:25:00+00:00,b'@HMalumu Check out this great online study from Joyce at https://t.co/0lnKLYsodl. God bless you! -Team JMM'
1545486629795766272,2022-07-08 19:15:00+00:00,b'God wants you to enjoy yourself and trust that He is taking care of your problem. #JoyceQuote'
1545456444455223296,2022-07-08 17:15:04+00:00,"b'Thanks to our partners, Nosiku is now at one of the Imagine Hope Centers in Zambia. \n\xe2\x80\x9cI used to feel very sad, but with the scholarship I have received, I am now concentrating on my studies with a free mind. Thank you for the support and sponsorship!\xe2\x80\x9d #HandOfHope #GiveHope https://t.co/vQHdEyPPsX'"
