twitter_id,date,tweet
1545171362741755905,2022-07-07 22:22:15+00:00,"b'RT @BarackObama: Right now, thousands of\xc2\xa0Ukrainian families are hoping to connect with American sponsors.\xc2\xa0Help them rebuild their lives by\xe2\x80\xa6'"
1544382322371399681,2022-07-05 18:06:53+00:00,"b'Just posted a photo @ Los Angeles, California https://t.co/2B9nW13Ytd'"
1541825479342276610,2022-06-28 16:46:54+00:00,b'Just posted a photo https://t.co/zIpJQhPZNk'
1540560133301739520,2022-06-25 04:58:52+00:00,b'#LiberateAbortion https://t.co/gBfTwodfGX'
1534225940112236544,2022-06-07 17:29:03+00:00,"b""It's up to us to make sure senators #DontLookAway from our country's gun violence crisis. Call your senators to demand action on gun safety: Text BOLD to 644-33 and @Everytown will connect you."""
1527825178591371266,2022-05-21 01:34:42+00:00,b'Just posted a photo https://t.co/imwfl4aMZG'
1521483053834674178,2022-05-03 13:33:22+00:00,b'Just posted a photo https://t.co/AGClQd7g7A'
1512156300410507276,2022-04-07 19:52:11+00:00,b'Just posted a photo https://t.co/bcMRJlUhml'
1511369234621870081,2022-04-05 15:44:40+00:00,b'Just posted a photo https://t.co/Pb4sLjpbWS'
1509503829670252556,2022-03-31 12:12:12+00:00,"b'@MaiaMitchell @bigdogXVI @cierraramirez If it ain\xe2\x80\x99t broke, don\xe2\x80\x99t fix it.'"
1507532382391480329,2022-03-26 01:38:23+00:00,b'I just donated to @SavetheChildren anyone else feel like jumping in? https://t.co/MbMfyfRjx3'
1502036462065258504,2022-03-10 21:39:33+00:00,b'Just posted a photo https://t.co/Y71Krgr4yr'
1491463329952321538,2022-02-09 17:25:42+00:00,"b'The #PrettyLittleLiars and #Suits fans are the best! Still time to get the exclusive \n@shinethelights collection designed by @halfadams and I in support of @variety_club\nbefore it\xe2\x80\x99s all gone. Plus, one lucky fan will win a private Zoom with us! \nhttps://t.co/hrvKJoulEn https://t.co/hXuu4qWv39'"
1488997888067719174,2022-02-02 22:08:55+00:00,b'Don\xe2\x80\x99t forget to share your photos of you in the new GEAR! https://t.co/O1GoCwDoL9'
1488997781909880832,2022-02-02 22:08:30+00:00,b'RT @variety_club: Shop the exclusive @sleepinthegardn &amp; @halfadams x @shinethelights collection and you could win a private 15 minute Zoom\xe2\x80\xa6'
1488920303430369281,2022-02-02 17:00:37+00:00,b'Did you hear? @halfadams and I released an exclusive @shinethelights limited edition collection and you could win a private 15 minute Zoom with us! We\xe2\x80\x99re creating a Photography Academy for the charity @Variety_club. Shop:\xc2\xa0https://t.co/J2rBT4nl7b https://t.co/KJOnYVjDWm'
1470454921484902404,2021-12-13 18:05:47+00:00,b'This story is heartbreaking and terrifying. Please read or listen on https://t.co/tcgSAdJLl6 thank you @gabrieldance + @mega2e for this work. https://t.co/zxQa1eMqLQ'
1467898204318420994,2021-12-06 16:46:18+00:00,"b""RT @WarChildUSA: T-minus 15 minutes until @SleepintheGardn and @warchildusa's @SamanthaNutt join forces for a special Virtual Chat!\n\nTune i\xe2\x80\xa6"""
1467599192407220224,2021-12-05 20:58:08+00:00,"b""Tune in tomorrow December 6 at 9 A.M. PST / 12 P.M. EST my Instagram LIVE where I will be having a special Virtual Chat with @Warchildusa\xe2\x80\x99s Founder @SamanthaNutt\n\xc2\xa0\nYou won't want to miss this! Watch here tomorrow: https://t.co/1fQsggOsBv https://t.co/mBXyslxTf8"""
1467222685008547840,2021-12-04 20:02:02+00:00,"b""RT @WarChildUSA: Join us on Instagram Live on December 6 at 12 PM EST for a special Virtual Chat with @SleepintheGardn and #WarChild USA's\xe2\x80\xa6"""
1465798740174782464,2021-11-30 21:43:47+00:00,"b'This #GivingTuesday, I\xe2\x80\x99m supporting LA Family Housing in their work to end homelessness. They\xe2\x80\x99ve set a goal to raise $500K b4 12/31, enabling them to move 100 more families home + a donor is matching every $ up to $250K! Double your giving + support at https://t.co/xQL8OxbG4z https://t.co/JpnEmE0tdf'"
1465754337469255685,2021-11-30 18:47:21+00:00,"b"".@DannyDeVito has me feeling #HotForClimateAction! Every donation to @NRDC will go towards their work fighting for safe water, clean air, and a healthy planet. There's no time to waste: https://t.co/42nGy2GTCJ https://t.co/WJ9bfdxkhn"""
1462848026519560194,2021-11-22 18:18:42+00:00,b'Hey internet. Help. I\xe2\x80\x99ve been trying to make sourdough for years now and I CANNOT GET A FRIGGIN RISE. I even followed the @masterclass with Apollonia Poil\xc3\xa2ne. (Who\xe2\x80\x99s a bread goddess btw) but what am I doing wrong? https://t.co/NAREgrb0zE'
1457746717860892677,2021-11-08 16:27:55+00:00,b'Mamas plays with toys too. #femalefilmmaker everyday. https://t.co/GcOkUzAr1s'
1453802843027161098,2021-10-28 19:16:22+00:00,"b'Just posted a photo @ Los Angeles, California https://t.co/ONSYG4F2GN'"
1447604107796156422,2021-10-11 16:44:49+00:00,"b'Here\xe2\x80\x99s a concrete way to help honor Indigenous Peoples\xe2\x80\x99 Day: community organizers at Standing Rock are building a Teen Center to serve Native youth, and they need our help. https://t.co/buEONrG2Q3\nhttps://t.co/rITelPGBcg'"
1441095029280309257,2021-09-23 17:40:03+00:00,"b'This fall, Congress has a rare opportunity to invest in a clean, just, and equitable future by passing the Build Back Better agenda. This is our moment, and there is no time to waste. Join us and @NRDC_AF by texting CLIMATE NOW to 21333 to demand Congress take action. https://t.co/hhlcPZrlXh'"
1440556646439145476,2021-09-22 06:00:43+00:00,b'Just posted a photo https://t.co/X9jHH87aR2'
1440545213907275782,2021-09-22 05:15:17+00:00,b'Just posted a photo https://t.co/3hzuFOVtAL'
1440415663126814720,2021-09-21 20:40:30+00:00,b'Just posted a photo https://t.co/RfngqZ9jlj'
1436012360339234819,2021-09-09 17:03:21+00:00,"b""Congress needs to take action on climate change now, while we still have a small pro-climate majority. It's our responsibility to protect this planet and future generations. \n\nJoin me in calling on Congress to take action by texting CLIMATE NOW to 21333. https://t.co/kd40RTbQrB"""
1433493918579048456,2021-09-02 18:15:57+00:00,"b'Listen up! Our planet cannot afford to wait around until we figure out our partisan mess. New York and New Jersey are underwater, for crying out loud. We ALL live on this Earth, and we ALL need to take action to protect it! Sign here if you agree:  https://t.co/kd40RTbQrB https://t.co/MklVjCd3wh'"
1433093166538788868,2021-09-01 15:43:31+00:00,"b'RT @WCKitchen: With power still out across much of Louisiana, we began handing out solar lights \xf0\x9f\x92\xa1 along with dinner tonight. In Houma, a co\xe2\x80\xa6'"
1431406195072458753,2021-08-28 00:00:05+00:00,b'RT @NRDC_AF: Us and @sleepinthegardn to Congress: https://t.co/09Hv5VM0fA'
1431319568987873283,2021-08-27 18:15:52+00:00,b'Just posted a photo https://t.co/JYbRgcco2c'
1431008473572126724,2021-08-26 21:39:41+00:00,b'Just posted a photo https://t.co/1Llqb7ep1c'
1430598443467165697,2021-08-25 18:30:22+00:00,"b'The impacts of the climate crisis are getting worse, and our window to act is closing. The U.S. House passed a bold first step to combat the climate crisis, but we have to make sure Congress delivers the action we need. \n\nSign @nrdc_af\xe2\x80\x99s petition here: https://t.co/gObWBlvH1T'"
1428051933844148224,2021-08-18 17:51:27+00:00,"b'RT @PowerUSAID: Footage of a @USCG medevac operation in #Haiti yesterday. Working with Haitian first responders, the US evacuated over 40 p\xe2\x80\xa6'"
1428051850633400324,2021-08-18 17:51:07+00:00,"b'RT @WCKitchen: Meal delivery to hospitals in Les Cayes, Haiti \xf0\x9f\x8f\xa5 WCK\xe2\x80\x99s Sam &amp; Dr. Titus took meals for staff &amp; patients following the earthqu\xe2\x80\xa6'"
1420831449058480129,2021-07-29 19:39:49+00:00,"b'RT @AdyBarkan: I\xe2\x80\x99ve been waiting to share this with you all for a long time. \n\nHere\xe2\x80\x99s the trailer for Not Going Quietly, the documentary @P\xe2\x80\xa6'"
1420050242507005954,2021-07-27 15:55:35+00:00,b'Just posted a photo https://t.co/cHROgHf327'
1417972449908445189,2021-07-21 22:19:11+00:00,"b""It\xe2\x80\x99s time @POTUS demanded the Senate end the filibuster. It\xe2\x80\x99s an outdated practice that\xe2\x80\x99s being used to obstruct our nation's progress. Sign the petition here:\nhttps://t.co/EKWKTKahA1 https://t.co/TL3dpO9mVK"""
1414992694615683072,2021-07-13 16:58:42+00:00,"b'The measures the Texas Democrats are taking to block voter suppression in the state are bold, but necessary. \n\nWe need to support them in every which way we can. Donate here: https://t.co/LkcuG6L4NH\n\nhttps://t.co/Z77mbIj4jb'"
1409680816154701833,2021-06-29 01:11:11+00:00,b'Thank god for @davestanwell I was so so tired of having garbage hair and now I can feel the breeze! https://t.co/JFlwZ2Mw1X'
1408503244725231618,2021-06-25 19:11:56+00:00,b'The DOJ just announced a lawsuit against the voter suppression bill in Georgia. Time to channel my rage over S1 &amp; the filibuster into action.\n\nJoin the fight and help Georgia Dems protect the right to vote: https://t.co/YVVtTu6L8U'
1408159474234249216,2021-06-24 20:25:55+00:00,b'The Senate fell short of passing the For the People Act and now millions of voters will suffer.\n\nStop this from happening again by calling on your Senator to eliminate the filibuster! https://t.co/n2MzcxZ7ot'
1407494171615657986,2021-06-23 00:22:15+00:00,b'Senate Republicans just upheld hundreds of racist voter suppression laws by failing to pass the For The People Act. Get mad and get involved by texting PROTEST to 63033\nhttps://t.co/pvojseyn5Q'
1407119112438878223,2021-06-21 23:31:54+00:00,"b""If the For the People Act passes this week, it would be a landmark moment for voting rights reform.\n\nNote that I said 'if'! It may not pass \xe2\x80\x93 which is why we need to keep applying pressure on our Senators. Text FIGHT to 63033 to get involved!\nhttps://t.co/9b3yfGT3WS"""
1406660355267440644,2021-06-20 17:08:57+00:00,b'There could not be a better man than you to raise these little beings into beautiful women. I count myself beyond blessed to have them call you \xe2\x80\x98Papa.\xe2\x80\x99  #happyfathersday @halfadams https://t.co/DRVUtGibZN'
1405629671811604483,2021-06-17 20:53:23+00:00,b'Do you like democracy? Do you like everyone getting equal voting protection under federal law? Can I interest you in joining me in demanding that our Senators pass the #ForThePeopleAct right now?\nhttps://t.co/UkBp6Us2pS'
1403121986897907714,2021-06-10 22:48:45+00:00,"b'Just posted a photo @ Los Angeles, California https://t.co/nBfWEojELA'"
1398328467519725569,2021-05-28 17:21:01+00:00,b'So apparently we ignore deadly attacks on the Capitol now? I don\xe2\x80\x99t think so. Join me in telling the Senate to #EndtheFilibuster immediately \xe2\x80\x93 before it can do any more harm.\nhttps://t.co/rPAUev2kpn'
1397243882371440641,2021-05-25 17:31:15+00:00,b'Have you called your senator and demanded they pass the For The People Act today? https://t.co/vPOesxt1O7'
1391911328344731650,2021-05-11 00:21:35+00:00,b'RT @lemmeeducateyou: @SleepintheGardn and @lemmeeducateyou Activism: How Can I Help? What Can I Do? \n\nhttps://t.co/JYjkuimwJs'
1391043333783425030,2021-05-08 14:52:29+00:00,b'Just posted a photo https://t.co/KWUiMxCxeR'
1390732291635355651,2021-05-07 18:16:31+00:00,b'The Texas and Florida voter suppression bills are just the latest examples of a widespread attack on voting rights. I am ready for a fairer and stronger democracy. Are you?\n\nTell your Senators we need the #ForThePeopleAct now: https://t.co/D5JY6uKpXH\nhttps://t.co/qP1TTEc1Cg'
1390704926825795591,2021-05-07 16:27:47+00:00,b'Tell the Texas GOP: Don\xe2\x80\x99t mess with Democracy.\n\nHelp @texasdemocrats fight back:\nhttps://t.co/jVaeNMk74E https://t.co/hvuUtf0PbT'
1390071412837081089,2021-05-05 22:30:25+00:00,b'Let\xe2\x80\x99s celebrate all those who mom this #MothersDay. Join me and @TogetherWeRise to donate to a #fostermom &amp; a #fosterfamily  https://t.co/CcdbX2dfJC https://t.co/49NhvchK36'
1387509532583137282,2021-04-28 20:50:25+00:00,b'Just posted a photo https://t.co/l7N0TiWyAk'
1386813518503202823,2021-04-26 22:44:43+00:00,"b'Fun new game: text PEOPLE to 21333, then send along your zip code and tell your Senators to pass the #ForThePeopleAct. This is one of the most important bills that will ever come across their desk.\n\nhttps://t.co/saMNUKeGLO'"
1385092215056191491,2021-04-22 04:44:52+00:00,"b'Me, eagerly waiting to submit my audition tape. https://t.co/mCH55lZw9V https://t.co/76JqFhxejK'"
1384182220617699333,2021-04-19 16:28:52+00:00,b'Just posted a photo https://t.co/uAbGaEaGxB'
1383073944169709574,2021-04-16 15:04:59+00:00,b'The Biden administration has the chance to create new border policies that are humane &amp; protect #asylum seekers.\n\nCommunities across the country are already doing the work. It\xe2\x80\x99s time to support them.\n\nJoin me in saying #WeCanWelcome.\nhttps://t.co/OgAW5Ozn11'
1382511015913488386,2021-04-15 01:48:06+00:00,b'Just posted a photo @ White Sands National Park https://t.co/FbfHTpgCz9'
1382365329318301699,2021-04-14 16:09:12+00:00,"b'Tone it down, Taos. https://t.co/dgIBA1BpZN'"
1381259425692913666,2021-04-11 14:54:44+00:00,b'Just posted a photo @ Horseshoe Bend https://t.co/JTg1ZMILsN'
1381258459170156546,2021-04-11 14:50:53+00:00,b'Canyon Brothers. @ Horseshoe Bend https://t.co/DLbB8ZZ8IV'
1380986275059142659,2021-04-10 20:49:20+00:00,b'Just posted a photo https://t.co/w0WWuqkfN7'
1377727392576385032,2021-04-01 20:59:41+00:00,"b'Hey, fun idea, not sure if anyone in the GA GOP has thought of it yet, but what if we try not making it harder to vote? Clearly they haven\xe2\x80\x99t because they introduced #SB202 \xe2\x80\x93 help defeat it by donating here:  https://t.co/QQs9VunPJj'"
1374774645677756420,2021-03-24 17:26:32+00:00,"b""Listen, Mitch McConnell only wants to keep his beloved filibuster now that it serves him. But we can pry it out of his creepy hands by getting Senators Manchin and Sinema on board.\n\nIt's past time to #EndTheFilibuster.\n\nDonate to hold them accountable: https://t.co/6ubnPoVwKM https://t.co/62Eq5a3q0S"""
1374398919359176711,2021-03-23 16:33:32+00:00,b'Just posted a photo https://t.co/fdLNphuajL'
1369793034443841539,2021-03-10 23:31:23+00:00,b'@candelush Postmates?'
1369792321361874945,2021-03-10 23:28:33+00:00,"b'I wanna thank you guys for steering me through this. As a new member of the unsolicited dick pic club, a club literally No one want to be in, I didn\xe2\x80\x99t know what my next step was. But you shone your light and led me on the path...I blocked his number and got myself a cupcake. Ty. https://t.co/cRP5momda8'"
1369788753753952259,2021-03-10 23:14:22+00:00,b'@ALGO95736905 I feel I\xe2\x80\x99ve made that clear.'
