twitter_id,date,tweet
899160811838615552,2017-08-20 06:46:57+00:00,b'Yeay! RT @ELFARAFM: #LISTENUP @gisel_la - INDAH PADA WAKTUNYA #POSISI19 #HOTINDO25'
899160716824895488,2017-08-20 06:46:35+00:00,b'RT @Hitsradiobdg: #HitsRadioPlay #PANAS38 : @gisel_la - Indah Pada Waktunya #PANASHitsRadioBandung #TopChart'
899160661841674240,2017-08-20 06:46:22+00:00,b'RT @Cassanova102FM: #22 @gisel_la - Indah pada Waktunya ( #POSTER 34th Edt  w/ @mahaputri1212 as ur Host &amp; 137 @joe_cassanovafm as our  Com\xe2\x80\xa6'
847140149637140480,2017-03-29 17:35:25+00:00,b'Thank u iboma! Thank u semuaaaRT @SCTV_: Yuk berikan selamat kepada @gisel_la sebgai PendatangBaruTerbaik #IBOMA2017 https://t.co/rM3th1sOOK'
786765506502090753,2016-10-14 03:08:08+00:00,b'Cek official video lyric nya di https://t.co/FErUsqTbuz  Hari ini sudah bisa di request di Radio-radio kesayangan kamu #caralupakanmu https://t.co/Mvwl35WVz0'
786720388428488704,2016-10-14 00:08:51+00:00,"b'https://t.co/FErUsqTbuz\nSingle terbaru dari Giselle - Cara Lupakanmu, hari ini sudah bisa di request di Radio\n@LabelProM\n#CaraLupakanmu'"
780048000777347072,2016-09-25 14:15:10+00:00,b'SHOUT my favorite!!! Let\xe2\x80\x99s vote #theremix_shout #theremix_cieebengbeng'
779985865028362240,2016-09-25 10:08:16+00:00,b'https://t.co/FbSzHSvcsB'
745143002855661568,2016-06-21 06:35:10+00:00,"b'Skrg di @SarahSechan_NET  Yg kecil aj brani bermimpi&amp;bertindak mewujudkan,yg dewasa kpn? #DreamAgain #ChangeDestiny https://t.co/8FbS5MA5KC'"
744749606941171716,2016-06-20 04:31:57+00:00,"b'Mimpi adalah milik semua orang. Saat aku melihat Gempi, dlm hati aku berdoa agar dia bisa mencapi mimpinya saat dewasa nanti #changedestiny'"
743687858490220544,2016-06-17 06:12:57+00:00,b'Klo liat my super model Gempi pose ala ala model jd inget dulu punya cita2 jd model dan tercapai. Klo kalian gmn? #DreamAgain #ChangeDestiny'
743687387465691137,2016-06-17 06:11:04+00:00,b'https://t.co/9lfBox9tp6'
733249309152555009,2016-05-19 10:53:53+00:00,"b'Gempi nyenyak tnpa gangguan\nnyamuk krn OnePushVAPEyg aromanya enak,sekali semprot tahan10jam!\n#FumakillaIndonesia https://t.co/hFDGPeVnyQ'"
731422802838949888,2016-05-14 09:56:00+00:00,"b'Pake OnePushVape biar gempi bs main,g tkt kena gigit nyamuk.tahan10jm dgn1semprotan.wanginya alami,ga bkn sesek https://t.co/1EirJNaQni'"
730593416866889729,2016-05-12 03:00:19+00:00,b'Dari pada pusing sama macet mending klik shuffle play buat playlist spotify #FreedomCombo #FreedomMusic https://t.co/ZIXuklcZHy'
728450509732880385,2016-05-06 05:05:10+00:00,b'Hope.. https://t.co/Jem3N1qarl'
728238284988633088,2016-05-05 15:01:51+00:00,b'https://t.co/xcEu0GFtEX'
728026721832849408,2016-05-05 01:01:11+00:00,b'Thankfull for everything..'
727649169356296192,2016-05-04 00:00:55+00:00,b'Good morning!!! https://t.co/jfcUxmkVuc'
727498301126402049,2016-05-03 14:01:25+00:00,b'https://t.co/5zD1kY6UnW'
727315038214709248,2016-05-03 01:53:12+00:00,b'Be like flowers.. https://t.co/nVmHiPxeOK'
727314279104389120,2016-05-03 01:50:11+00:00,b'Latepost kmrn di Pesbukers\xf0\x9f\x98\x98 https://t.co/yeUNXM5xjR'
723142050980438016,2016-04-21 13:31:14+00:00,b'https://t.co/pd3NMvZfS8'
722978217481670656,2016-04-21 02:40:13+00:00,b'Good morning\xf0\x9f\x98\x98 https://t.co/t1OSiJevYs'
722772326211850240,2016-04-20 13:02:05+00:00,b'https://t.co/x7yT0QxSbR'
722620994146476032,2016-04-20 03:00:45+00:00,b'https://t.co/clH6UCx9ut'
722288674558373888,2016-04-19 05:00:14+00:00,b'https://t.co/mnuUru135i'
722257089226215424,2016-04-19 02:54:43+00:00,b'makin seneng skrg mendapatkan info u/ ibu&amp;bayi bs check account LINE Delight Me.yuk follow ibu-ibu\n#PakaiPampers #ad https://t.co/zaq7LU4YFk'
718791137054601216,2016-04-09 13:22:16+00:00,b'Check my playlist on Spotify w/ #FreedomCombo: https://t.co/a8NVDQRj3B get u\xe2\x80\x99r unlimited   #FreedomMusic Streaming https://t.co/ZIXuklcZHy'
712975729680584704,2016-03-24 12:13:55+00:00,b'Ga bs lupa sm surprise ultah kemarin.thx mas @gadiiing &amp; @fairmontsanur sdh bikin berkesan.Cek videonya https://t.co/83HB6AMTYG'
705591077210820608,2016-03-04 03:09:56+00:00,"b'A peace and relaxing holiday at @fsbali Sayan, Ubud.. Love it!  #fourseasonsSayan #riversideVilla https://t.co/YVpEWl4gDv'"
704848994875351040,2016-03-02 02:01:10+00:00,b'Wow.. ternyata jadi driver @GrabCar bs dpt 15juta perbulan!info lebih lanjut buka link ini ya https://t.co/LZ53IuBryO...'
702839890489319424,2016-02-25 12:57:42+00:00,b'#RomanceHour with husband https://t.co/rbCIphNJ7g https://t.co/uNjEbojgOa'
702795703978999808,2016-02-25 10:02:07+00:00,"b'Get your daily #RomanceHour dengan keharuman romantis dari #DownyRomance. Buatku, setiap hari adalah #RomanceHour :) https://t.co/GlCp2OzxAy'"
700983753808732164,2016-02-20 10:02:05+00:00,"b'Buat yang kemarin udah ikutan #RomanceHour, share yuk foto momen #RomanceHour kalian dan dapetin free #DownyRomance! :)'"
698869473596567552,2016-02-14 14:00:41+00:00,b'#RomanceHour is over. But our romance is not over. Share dong momen #RomanceHour kalian! https://t.co/5GE1oPgYeR'
698839700732252160,2016-02-14 12:02:23+00:00,b'Switch off your phone and get your #RomanceHour. Just an hour for your better romance with the loved one :)'
698809446319988736,2016-02-14 10:02:09+00:00,"b'The most awaited moment is coming! Bentar lagi #RomanceHour mulai loh! Kita ikutan, kamu juga ikut yah!'"
698492522360938496,2016-02-13 13:02:49+00:00,b'Kira-kira dapet surprise apa ya di Valentine tahun ini dari Papa @gadiiing? *ngarep* :p #RomanceHour'
696923380734390272,2016-02-09 05:07:36+00:00,b'Gempi lg bobo siang.Kita jd bs ngobrol ber2 ngebahas kerjaan pagi tadi&amp;kedepannya:)Yuk Join #RomanceHour https://t.co/E7pFMYi6NY'
695448982403715074,2016-02-05 03:28:52+00:00,b'Quote of the day https://t.co/AotUynOLwR'
695448580455141378,2016-02-05 03:27:17+00:00,b'See you this afternoon at Galaxy Mall Surabaya https://t.co/nanm9OvV8k'
693765986437185537,2016-01-31 12:01:15+00:00,b'Colek Papa @gadiiing. Yuk Pa #RomanceHour ;)'
693022650399088640,2016-01-29 10:47:30+00:00,"b'Walaupun udah punya Gempi, kita tetep usahain punya #RomanceHour berdua. Ga usah ribet-ribet, nonton TV berdua juga cukup :)'"
690583594767642624,2016-01-22 17:15:34+00:00,"b'ThanksRT @windialdewi: Yey si kecil,cantik,lucu,imut Gempi mnang sbg Gorgeous Baby.Slmaat @gadiiing @gisel_la #InfotainmentAwards'"
690583457840394240,2016-01-22 17:15:01+00:00,b'Trimakasiiih\xf0\x9f\x98\x98RT @hadianti_alisa: Congrats!! BabyGempiii\xf0\x9f\x98\x98 @gadiiing @gisel_la #InfotainmentAwards https://t.co/H1Dl3714WJ'
690583012766027777,2016-01-22 17:13:15+00:00,b'Trimakasiih\xf0\x9f\x98\x98RT @Nureliisa_: Congrats gempii :* lucu sekali dirimu @gadiiing @gisel_la  https://t.co/xhcaX3T2bH'
690582967018766336,2016-01-22 17:13:04+00:00,b'tRimakasihh yaaaa\xf0\x9f\x98\x98RT @tiaraaaaaa9: Congratzzz gempi syg embulllll @gadiiing @gisel_la #gorgeousbaby'
690582883841376256,2016-01-22 17:12:44+00:00,b'RT @RadioGrindulufm: #Terputar || @infodygta Ft. @gisel_la Cinta Rahasia \xef\xbf\xbd@LabelProM @arya_meda || #DELTA #DeretanLaguTerbaik w/ @frendiFRI\xe2\x80\xa6'
690582852736532481,2016-01-22 17:12:37+00:00,b'\xf0\x9f\x98\x98\xf0\x9f\x98\x98\xf0\x9f\x98\x98RT @GG_Adaw: Alhamdulillah Donut menang \xf0\x9f\x98\x8d\xf0\x9f\x98\x8a\xf0\x9f\x98\x84 #BabyGempi #GempitaNoraMarten @gadiiing @gisel_la https://t.co/OepqLlOHxJ'
690582725611360256,2016-01-22 17:12:06+00:00,b'TrimakasiiihRT @LeeIzzaMinho27: Slamat bwt Dede\xe2\x80\x99 #Gempita yg udh mnang Georgeous Baby..@gadiiing @gisel_la #InfotainmentAwards @SCTV_'
690582571365879808,2016-01-22 17:11:30+00:00,b'Makasii yaaRT @natalia_henni: Selamat ya dede #GEMPITA . Gorgeous baby @gadiiing @gisel_la'
690582515610836992,2016-01-22 17:11:16+00:00,b'RT @iradioBJM: #ONAIR @infodygta @gisel_la - Cinta Rahasia @LabelProM #10LaguBaruKerenBanget #MalamMalam #HarapanBaru #IndonesiaKerenBanget'
690582475949604864,2016-01-22 17:11:07+00:00,b'Makasiii yaaRT @cintakuunu: @gisel_la slamet ya gempi tadi lucu bnget sih\n.da da da...gemes..videonya puter lg dong'
690582366620930048,2016-01-22 17:10:41+00:00,b'Trimakasih semua untuk doa dan dukungannya buat Gempita d infotainment awards.. We love you!!!!'
690532448657108992,2016-01-22 13:52:19+00:00,b'Terima kasih sekali lagi utk semua teman2 yg sudah mendukung dan doain #gempi #teamgempi GBU alll'
690501727309713408,2016-01-22 11:50:15+00:00,b'RT Tweet ini supaya #Gempi menang Selebriti Social Media Paling Eksis #InfotainmentAwards @SCTV_'
688155485543870464,2016-01-16 00:27:07+00:00,b'#babygempi bday with agnes https://t.co/ulsmnCv8Ez'
687988371151536128,2016-01-15 13:23:04+00:00,b'Besok Inbox special bday #babygempi and rina nose https://t.co/wW5EqZl2uM'
687887610245595136,2016-01-15 06:42:41+00:00,"b'RT @Globaltvseru: Apalagi setelah dikaruniai buah hati, hari-hari @gisel_la &amp; @gadiiing semakin romantis! @AdaAdaAja_GTV #KepoSeru https://\xe2\x80\xa6'"
687801709909929986,2016-01-15 01:01:21+00:00,b'Host2 geblek hahahahahha @dhikacungkring @uus__ @audimarissa_'
684977838836051968,2016-01-07 06:00:17+00:00,b'Do it now. Sometimes \xe2\x80\x98later\xe2\x80\x99 become \xe2\x80\x98never\xe2\x80\x99 ..'
684943558206472196,2016-01-07 03:44:04+00:00,b'Music vido Cinta Rahasia-Dygta ft Giselle https://t.co/F77Fu6ufH7\nCheck it out!'
683831556801204224,2016-01-04 02:05:22+00:00,b'Pagiiiiii..Ketik IA(spasi)B2 kirim ke 97288(xl&amp;indst) 98888(telkomsel) Ditunggu sampai 21 januari ya\xf0\x9f\x98\x98 makasiii https://t.co/mDap2Afyny'
683573761392701440,2016-01-03 09:00:59+00:00,"b'Friendship is always a sweet responsibility, never an opportunity. \xe2\x80\x93 Khalil Gibran https://t.co/lvAltov4g2'"
682879356134359040,2016-01-01 11:01:40+00:00,"b'No act of kindness, no matter how small, is ever wasted. Spread the love everyone\xf0\x9f\x98\x8a\xe2\x9d\xa4\xef\xb8\x8f'"
682698347682107392,2015-12-31 23:02:24+00:00,b'Cheers to a new year and another chance for us to get it right. Happy new year!\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89'
682569782961565697,2015-12-31 14:31:32+00:00,"b'Hope smiles from the threshold of the year to come, whispering, \xe2\x80\x98It will be happier.\xe2\x80\x99'"
682396104730750976,2015-12-31 03:01:24+00:00,b'Change your thoughts and you change your world.\n\nNorman Vincent Paele'
682173197027000322,2015-12-30 12:15:38+00:00,"b'Kalo kata @Mini_Indonesia, ini nih arti true friend: https://t.co/yr1jQG0tjJ. Kalo kata kamu, gimana? #MINItoTheRescue'"
682043518110576641,2015-12-30 03:40:21+00:00,"b'I can\xe2\x80\x99t change the direction of the wind, but I can adjust my sails to always reach my destination..'"
681666073406640128,2015-12-29 02:40:31+00:00,b'Try to be a rainbow in someone\xe2\x80\x99s cloud.\n\nMaya Angelou'
681443296355430404,2015-12-28 11:55:17+00:00,"b'Seneng yah ditolongin kayak di https://t.co/hZ9SLk1ZH9 sama @MINI_Indonesia, sampe pencet Replay trus :D #MINItoTheRescue'"
681336337849516032,2015-12-28 04:50:16+00:00,"b'Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.'"
681104940685733888,2015-12-27 13:30:46+00:00,"b'Love is like the wind, you can\xe2\x80\x99t see it but you can feel it.'"
680976608140853248,2015-12-27 05:00:49+00:00,"b'There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment. \xf0\x9f\x98\x8a @Gadiiing'"
680719871710244864,2015-12-26 12:00:39+00:00,b'Aku juga mauu bgt kalo dikasih surprise kayak di video #MINItoTheRescue di https://t.co/hZ9SLk1ZH9 @MINI_Indonesia'
680568969141551104,2015-12-26 02:01:01+00:00,"b'\xe2\x80\x9cFocus on the journey, not the destination. Joy is found not in finishing an activity but in doing it.\xe2\x80\x9d Greg Anderson'"
680191535833546753,2015-12-25 01:01:14+00:00,"b'May the light of love shine upon you, and may your life be filled with blessings in this Christmas season.. Merry Christmas!'"
680010540761133056,2015-12-24 13:02:01+00:00,"b'What does a good friend mean to you? Ternyata, jawaban aku sama kayak @MINI_Indonesia: https://t.co/yr1jQG0tjJ #MINItoTheRescue'"
679859286613295105,2015-12-24 03:00:59+00:00,"b'I\xe2\x80\x99ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel..'"
679587314432081920,2015-12-23 09:00:16+00:00,b'My baby\xf0\x9f\x98\x98'
679583899173912577,2015-12-23 08:46:42+00:00,b'\xe2\x80\x9cDoing what you like is freedom. Liking what you do is happiness.\xe2\x80\x9d Frank Tyger'
679255155833982977,2015-12-22 11:00:23+00:00,"b'Seneng deh nonton #MINItoTheRescue di https://t.co/hZ9SLk1ZH9. Ngga ada ekspektasi, trus ditolongin @MINI_Indonesia!'"
678409785604227073,2015-12-20 03:01:11+00:00,"b'Be happy..\nBe happy for no reason at all. \nBelieve it or not, you have the ability and free agency to make that choice\nRichelle E. Goodrich'"
678152976410767360,2015-12-19 10:00:43+00:00,"b'You really have a wonderful daddy, Gempi\xf0\x9f\x98\x8a  @gadiiing https://t.co/tR1M5soHYG'"
678040759942168576,2015-12-19 02:34:49+00:00,b'Good morning tweeps! https://t.co/9oBK10Jxkv'
675506681753829376,2015-12-12 02:45:17+00:00,"b'Sebentar lagiiii, jam 10 pagi hanya di SCTV \xe2\x9d\xa4\xef\xb8\x8f https://t.co/TcYoaoOU5L'"
675466650460794882,2015-12-12 00:06:13+00:00,b'Pagi ini jam 10 d ftv SCTV ada \xe2\x80\x9cBus Jemputan Jadi Rebutan\xe2\x80\x9d looo! Nonton ya\xf0\x9f\x98\x8a https://t.co/7n4CxK3XFg'
672042433144881152,2015-12-02 13:19:36+00:00,b'Sukses yaaa \xf0\x9f\x91\x8d RT @BNI46: Fitur twitter @BNI46 #AskBNI telah resmi diluncurkan https://t.co/kZWuIXI5Me'
666801678339989504,2015-11-18 02:14:43+00:00,b'Basking in the sun and enjoying a peaceful time with @gading on a cabana facing the beach @fairmontsanur https://t.co/8qqO8aakjV'
666569174500712448,2015-11-17 10:50:50+00:00,"b'@gadiiing totally enjoying himself at the luxurious @fairmontsanur! Families that cycle together, stay together https://t.co/8Z62qojCMT'"
666235477725442048,2015-11-16 12:44:50+00:00,b'I love u @gadiiing!Thank you for making my birthday so special.We should get married here once again @fairmontsanur https://t.co/eLZMSjvhWW'
666200452502044673,2015-11-16 10:25:39+00:00,b'Our special evening begins\xc2\xa0@fairmontsanur  @gadiiing has a surprise planned for me! Looking forward to it :) https://t.co/v3lsjzjqEK'
665876658986098688,2015-11-15 12:59:01+00:00,"b'I\xe2\x80\x99ve heard a lot about Fairmont&amp;will get to experience it today @FairmontSanur.btw,do u know why it\xe2\x80\x99s so special? https://t.co/CukrARDFgz...'"
651561794658521088,2015-10-07 00:56:51+00:00,b'Melongo\xf0\x9f\x98\xaf\xf0\x9f\x98\xaf\xf0\x9f\x98\xaf http://t.co/apzKKKbXQj'
645797547647365121,2015-09-21 03:11:48+00:00,b'NTRL official music video - Sakit Jiwa http://t.co/FKnESgDKgW'
643043463899017216,2015-09-13 12:48:03+00:00,b'Siap siap live streaming di http://t.co/P3pJyJ4b7y !!! Nonton yaa!!! Ayo kita curhat2an malem ini hihi'
639983764152713216,2015-09-05 02:09:54+00:00,b'Teimakasih buat semuanya yg sdh nonton Inbox baby Gempi... Selamat berakhir pekan semuaaa #nginboxbarenggempi http://t.co/K76cNOQPK6'
639782158404419584,2015-09-04 12:48:47+00:00,"b'RT @SCTV_: Ihh gemes banget sih baby gempi @gadiiing @gisel_la pas lagi makan? Besok nonton #NginboxBarengGempi, pkl 06.30WIB http://t.co/M\xe2\x80\xa6'"
639782050174603264,2015-09-04 12:48:21+00:00,"b'RT @SCTV_: Yuk besok nonton @InboxSCTV_ spesial #NginboxBarengGempi @gadiiing @gisel_la loh, pukul 06.30 WIB http://t.co/FEUnvFYqmF'"
639717655600066560,2015-09-04 08:32:29+00:00,b'Makan apa sih enak sekali?:) http://t.co/j7SFXUzL8I'
639714174726197248,2015-09-04 08:18:39+00:00,b'Ssst\xe2\x80\xa6Ternyata yang cocok buat aku rumah mertua. Ini kuisnya seru banget. Hadiahnya bikin penasaran. Klik aja: http://t.co/BBSNHYIgOm'
615354285480669184,2015-06-29 03:01:09+00:00,"b'Sharing yuk moms, pengalaman kamu menggunakan New Pampers Dry Pants dan senyum ceria si baby ya! #PampersMorningSmile http://t.co/3nUurb8Tjz'"
614629574161379328,2015-06-27 03:01:24+00:00,"b'Hi Moms, senyum ceria si baby pagi ini selalu bikin bahagia ya, seperti mereka disini  http://on.fb.m #PampersMorningSmile'"
613180015585423364,2015-06-23 03:01:22+00:00,"b'Extra dry layer d NewPampersDryPants ngebuat ak mkn yakin menggunaknnya utk Gempi,kalau km moms? #PampersMorningSmile http://t.co/1DRi3cJO0A'"
612489555275579392,2015-06-21 05:17:44+00:00,"b'Pada semangat yah puasanya, biar makin seru, ikutan aja #Bukram @Misteraladin, biar ditraktir buka rame-rame caranya http://t.co/UVLVy7LXBI'"
612369590706925568,2015-06-20 21:21:02+00:00,b'Nobar 3semprul mencari surga3 nih yeee :p @gadiiing http://t.co/KBHOYEE1LC #3sms3 #3semprulmencarisurga3'
611368064484044800,2015-06-18 03:01:19+00:00,b'Mulai super gel hingga extra dry layer smuanya ad d NewPampersDryPants spy baby bs tidur nyenyak #PampersMorningSmile http://t.co/sJY2rOt7Ox'
610280832893325312,2015-06-15 03:01:03+00:00,"b'Good morning moms!ini dia senyum baby Gempi pagi ini,seperti mrka di http://t.co/RN2cv7kfZi Smua krn NewPampersDryPants #PampersMorningSmile'"
609886526575480833,2015-06-14 00:54:13+00:00,b'Good morning!!! Happy Sunday Everyoneeee #gempitanoramarten #PampersMorningSmile http://t.co/fJ7BcElEO6'
609676933765427200,2015-06-13 11:01:22+00:00,b'#Bukram yuk! @misteraladinid lg mau traktir kita berbuka puasa bareng temen2 kamu loh! Caranya http://t.co/UVLVy7LXBI http://t.co/Itt3kzjmlu'
609556075680038914,2015-06-13 03:01:08+00:00,"b'@ArtikaBaim @Dagnesia yes,we do!Bayi tidur nyenyak dan senyum ceria stiap pagi!Seperti mereka di http://t.co/RN2cv7kfZi #PampersMorningSmile'"
609322103708512256,2015-06-12 11:31:24+00:00,b'Akhirnya aku nemuin solusi buat jaga anak aku dari gangguan nyamuk http://t.co/amn5YU2URB'
608468977698938880,2015-06-10 03:01:23+00:00,"b'Gak bosen ya ngeliat para pemenang kontes senyum pagi bayi di http://t.co/RN2cv7kfZi ,karena New Pampers Baby Dry Pants #PampersMorningSmile'"
