twitter_id,date,tweet
1541803694945054721,2022-06-28 15:20:20+00:00,b'\xf0\x9f\x8f\x80\xf0\x9f\x8f\x80\xf0\x9f\x8f\x80\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/KXn4zqlJEY'
1541803368787587072,2022-06-28 15:19:03+00:00,b'Check this out \xf0\x9f\x8f\x80 https://t.co/UhLvDNvoEv'
1421853976123691010,2021-08-01 15:22:59+00:00,b'Siapa yang belum nonton?? https://t.co/rvV0EjImh0'
1421853537693179904,2021-08-01 15:21:14+00:00,b'\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99 https://t.co/ZaX3FtkZzI'
1401519496834080769,2021-06-06 12:41:01+00:00,"b'RT @BruceEmond: ""Don\'t be shy if you\'re still learning any language - you just have to keep using it ...\nDon\'t worry so much about the acce\xe2\x80\xa6'"
1401519042901417988,2021-06-06 12:39:13+00:00,b'\xf0\x9f\x92\x99\xf0\x9f\x92\x99 https://t.co/cwwyEZ7Avu'
1395675923576365061,2021-05-21 09:40:45+00:00,b'RT @BruceEmond: Ke mana Teh @sarseh ...\nHave you lost your kece quota without her clever quips &amp; snappy comebacks?\nWant to find out what sh\xe2\x80\xa6'
1314013702085988353,2020-10-08 01:24:14+00:00,b'RT @wadesay: waaaaww.. anak nongkrong mana suaranyaa...? Teh @sarseh hadir ini sebagai host! https://t.co/2aAlstTzdF'
1314013681294831616,2020-10-08 01:24:09+00:00,b'RT @inc_riiez: Bener-bener deh jokesnya teh @sarseh di wave of cinema \nTerima kasih @BioskoponlineID'
1314013649279672320,2020-10-08 01:24:01+00:00,b'RT @reiza_apr: Tiba2 jd anak nongkrong bareng vj sarah @sarseh https://t.co/wb0dmXBu4s'
1314013627943317504,2020-10-08 01:23:56+00:00,b'RT @wadesay: geulis salawasna \xf0\x9f\x98\x8d @sarseh https://t.co/ehpxNnCknr'
1314013561421619200,2020-10-08 01:23:40+00:00,"b'RT @inc_riiez: \xe2\x80\x9cLiat tuh salamannya, udah mirip salamannya Christine Hakim di film\xe2\x80\x9d ya ampun bener-bener juara @sarseh @BioskoponlineID #wa\xe2\x80\xa6'"
1314013493369008128,2020-10-08 01:23:24+00:00,b'RT @nenggsyifa: TERIMA KASIH @VisinemaID UDAH MENJADIKAN TETEH @sarseh FAVORITKU SEBAGAI HOST #WAVEOFCINEMA #Generasi90anMelankolia \xf0\x9f\x98\x8d\n\nSERU\xe2\x80\xa6'
1281036103638646784,2020-07-09 01:23:02+00:00,b'2.4m followers saya gak pada mau pindah ke ig @sarsehshoku ?'
1261289223950229504,2020-05-15 13:35:59+00:00,b'Kelewatan IG LIVE saya dengan \xe2\x81\xa6@shanty78\xe2\x81\xa9 ?? Silakan melipir ke sini ...  https://t.co/7a7mlFnOWI'
1260118122238894080,2020-05-12 08:02:26+00:00,b'Tgl 15 Mei pk 16.00 WIB! https://t.co/NLgKoup9Jo'
1259697845298270211,2020-05-11 04:12:25+00:00,b'Siapa yang mau ikutan??? https://t.co/XarHNyoOCk'
1242232175321174016,2020-03-23 23:30:04+00:00,"b'Bukan masalah izin sih. Ini masalah kesadaran diri dan tidak egois, memikirkan kepentingan yg lain, bukan cuma utk diri sendiri.  https://t.co/MaJX9MCEa3'"
1226325664023760896,2020-02-09 02:03:16+00:00,b'RT @AnimalClinicJKT: Yuuk yang mau lihat perjalanan @sarseh bersama mommy dari Jakarta ke Singapura bisa dilihat di link berikut https://t.\xe2\x80\xa6'
1224146317133275137,2020-02-03 01:43:20+00:00,b'\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f https://t.co/oEzOITjYRU'
1204962746451681281,2019-12-12 03:14:40+00:00,b'this post is everything \xf0\x9f\x92\x99 #2 #nevernotproud https://t.co/aVtvkcHwmS'
1204619505403486208,2019-12-11 04:30:45+00:00,b'@asppalir @MNKholizt @digeeembok \xf0\x9f\x98\xb3\xf0\x9f\x98\xb3\xf0\x9f\x98\xb3'
1204574387027902467,2019-12-11 01:31:28+00:00,b'@wiramodeON @digeeembok Ya Tuhan. Ini gak sopan \xf0\x9f\x98\x93'
