twitter_id,date,tweet
1304154780244291588,2020-09-10 20:28:24+00:00,b'RT @aalodah: \xd9\x81\xd9\x8a \xd9\x85\xd8\xad\xd8\xa7\xd9\x83\xd9\x85\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x88\xd8\xa7\xd9\x84\xd8\xaf \xd8\xaf. \xd8\xb3\xd9\x84\xd9\x85\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x88\xd8\xaf\xd8\xa9\xd8\x8c \xd8\xad\xd8\xaf\xd9\x91\xd8\xaf\xd8\xaa \xd8\xa7\xd9\x84\xd9\x85\xd8\xad\xd9\x83\xd9\x85\xd8\xa9 \xd9\x8a\xd9\x88\xd9\x85 \xd9\xa1 \xd8\xb1\xd8\xa8\xd9\x8a\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xa3\xd9\x88\xd9\x84 \xd9\xa1\xd9\xa4\xd9\xa4\xd9\xa2\xd9\x87\xd8\xac\xd8\xb1\xd9\x8a \xd8\xa7\xd9\x84\xd9\x85\xd9\x88\xd8\xa7\xd9\x81\xd9\x82 \xd9\xa1\xd9\xa8 \xd8\xa3\xd9\x88\xd9\x83\xd8\xaa\xd9\x88\xd8\xa8\xd8\xb1 \xd9\xa2\xd9\xa0\xd9\xa2\xd9\xa0\xd9\x85 \xd9\x84\xd9\x84\xd8\xac\xd9\x84\xd8\xb3\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x82\xd8\xa7\xd8\xaf\xd9\x85\xd8\xa9 \xd8\xb6\xd9\x85\xd9\x86 \xd8\xb9\xd9\x85\xd9\x84\xd9\x8a\xd8\xa9 \xd9\x82\xd8\xb6\xe2\x80\xa6'
1304147235136065540,2020-09-10 19:58:25+00:00,b'RT @moslehun: \xd8\xa5\xd9\x86 \xd8\xa7\xd9\x84\xd9\x81\xd8\xb1\xd9\x82 \xd8\xa8\xd9\x8a\xd9\x86 \xd8\xa7\xd9\x84\xd9\x85\xd8\xac\xd8\xaa\xd9\x85\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xad\xd9\x8a\xd9\x88\xd9\x8a \xd9\x88\xd8\xa7\xd9\x84\xd9\x85\xd8\xac\xd8\xaa\xd9\x85\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xae\xd8\xa7\xd9\x85\xd9\x84 \xd9\x87\xd9\x88 \xd8\xa7\xd9\x84\xd8\xac\xd8\xb1\xd8\xa3\xd8\xa9\xd8\x8c \xd9\x81\xd8\xa7\xd9\x84\xd9\x85\xd8\xac\xd8\xaa\xd9\x85\xd8\xb9\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xad\xd9\x8a\xd9\x88\xd9\x8a\xd8\xa9 \xd9\x81\xd9\x8a\xd9\x87\xd8\xa7 \xd9\x82\xd8\xaf\xd8\xb1 \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xac\xd8\xb1\xd8\xa3\xd8\xa9 \xd9\x81\xd9\x8a \xd9\x85\xd8\xb1\xd8\xa7\xd8\xac\xd8\xb9\xd8\xa9 \xd9\x82\xd8\xb1\xd8\xa7\xd8\xb1\xd8\xa7\xd8\xaa\xd9\x87\xd8\xa7 \xd9\x88\xd9\x82\xd9\x88\xd8\xa7\xd9\x86\xd9\x8a\xd9\x86\xd9\x87\xd8\xa7 \xd9\x88\xd8\xa3\xd9\x86\xe2\x80\xa6'
1304122359776006147,2020-09-10 18:19:34+00:00,b'\xd8\xb9\xd9\x86 \xd8\xb3\xd9\x84\xd9\x85\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x88\xd8\xaf\xd8\xa9 .. \xd8\xa7\xd9\x84\xd8\xa5\xd9\x86\xd8\xb3\xd8\xa7\xd9\x86.\n\xd8\xab\xd9\x84\xd8\xa7\xd8\xab \xd8\xb3\xd9\x86\xd9\x88\xd8\xa7\xd8\xaa \xd9\x83\xd8\xa7\xd9\x85\xd9\x84\xd8\xa9 \xd9\x85\xd9\x86\xd8\xb0 \xd9\x84\xd8\xad\xd8\xb8\xd8\xa9 \xd8\xa7\xd8\xb9\xd8\xaa\xd9\x82\xd8\xa7\xd9\x84\xd9\x87 \xe2\x80\x93 \xd9\x81\xd8\xb1\xd8\xac \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xb9\xd9\x86\xd9\x87 -\xd8\x8c \xd9\x88\xd8\xb4\xd9\x87\xd8\xa7\xd8\xaf\xd8\xa7\xd8\xaa \xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\xd9\x8a\xd8\xa9 \xd8\xad\xd9\x88\xd9\x84\xd9\x87\xd8\x8c \xd8\xaa\xd8\xa7\xd8\xa8\xd8\xb9\xd9\x88\xd8\xa7 \xd9\x87\xd8\xb0\xd8\xa7 \xd8\xa7\xd9\x84\xd9\x85\xd9\x82\xd8\xb7\xd8\xb9.\nhttps://t.co/RMmpDKs0oT\n#\xd9\x85\xd8\xb9\xd8\xaa\xd9\x82\xd9\x84\xd9\x88_\xd8\xb3\xd8\xa8\xd8\xaa\xd9\x85\xd8\xa8\xd8\xb1'
1304102383694360579,2020-09-10 17:00:11+00:00,b'\xd8\xa7\xd9\x84\xd9\x8a\xd9\x88\xd9\x85 \xd9\x8a\xd9\x83\xd9\x85\xd9\x84 \xd8\xaf. \xd8\xb3\xd9\x84\xd9\x85\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x88\xd8\xaf\xd8\xa9 \xd8\xab\xd9\x84\xd8\xa7\xd8\xab \xd8\xb3\xd9\x86\xd9\x88\xd8\xa7\xd8\xaa \xd9\x81\xd9\x8a \xd8\xb9\xd8\xb2\xd9\x84\xd9\x87 \xd8\xa7\xd9\x84\xd8\xa7\xd9\x86\xd9\x81\xd8\xb1\xd8\xa7\xd8\xaf\xd9\x8a \xd8\xa8\xd8\xb9\xd8\xaf \xd9\x85\xd8\xb9\xd8\xa7\xd9\x86\xd8\xa7\xd8\xa9 \xd8\xb7\xd9\x88\xd9\x8a\xd9\x84\xd8\xa9 \xd9\x85\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb0\xd9\x89 \xd9\x88\xd8\xa7\xd9\x84\xd8\xb6\xd8\xba\xd8\xb7 .. \xd9\x81\xd9\x84\xd8\xa7 \xd8\xaa\xd9\x86\xd8\xb3\xd9\x88\xd9\x87 \xd9\x85\xd9\x86 \xd8\xaf\xd8\xb9\xd8\xa7\xd8\xa6\xd9\x83\xd9\x85 \n#\xd9\x85\xd8\xb9\xd8\xaa\xd9\x82\xd9\x84\xd9\x88_\xd8\xb3\xd8\xa8\xd8\xaa\xd9\x85\xd8\xa8\xd8\xb1'
1304088507984605184,2020-09-10 16:05:03+00:00,b'\xd8\xaf. \xd8\xb3\xd9\x84\xd9\x85\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x88\xd8\xaf\xd8\xa9 \xe2\x80\x93 \xd9\x81\xd8\xb1\xd8\xac \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xb9\xd9\x86\xd9\x87 \xe2\x80\x93 \xd8\xb9\xd9\x86 \xd8\xb1\xd8\xb3\xd9\x88\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x84\xd9\x89 \xd9\x88\xd8\xa7\xd9\x84\xd9\x81\xd8\xb6\xd9\x84 \xd9\x88\xd8\xa7\xd9\x84\xd8\xae\xd9\x8a\xd8\xb1 \xd9\x88\xd8\xa7\xd9\x84\xd9\x87\xd8\xaf\xd9\x89 \xd8\xb5\xd9\x84\xd9\x89 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd8\xb9\xd9\x84\xd9\x8a\xd9\x87 \xd9\x88\xd8\xb3\xd9\x84\xd9\x85\n#\xd9\x85\xd8\xb9\xd8\xaa\xd9\x82\xd9\x84\xd9\x88_\xd8\xb3\xd8\xa8\xd8\xaa\xd9\x85\xd8\xa8\xd8\xb1 https://t.co/uvKDlmxlw8'
906508527660945408,2017-09-09 13:24:09+00:00,b'\xd8\xb3\xd9\x84\xd9\x85\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x88\xd8\xaf\xd8\xa9 | \xd8\xb9\xd8\xb1\xd9\x81\xd8\xaa\xd9\x86\xd9\x8a\xd8\x9f \xd8\xad\xd8\xa7\xd9\x88\xd9\x84 \xd8\xaa\xd8\xaa\xd8\xb0\xd9\x83\xd8\xb1!\n\n\xd9\x84\xd9\x85\xd8\xaa\xd8\xa7\xd8\xa8\xd8\xb9\xd8\xa9 \xd8\xb3\xd9\x84\xd9\x85\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x88\xd8\xaf\xd8\xa9 \xd8\xb9\xd9\x84\xd9\x89\n#\xd8\xb3\xd9\x86\xd8\xa7\xd8\xa8_\xd8\xb4\xd8\xa7\xd8\xaa\n#\xd8\xb3\xd9\x86\xd8\xa7\xd8\xa8\xd9\x8a\n https://t.co/nnrcqfcHsi https://t.co/IqCwRmE4Rg'
906427829251919873,2017-09-09 08:03:29+00:00,b'#\xd9\x8a\xd8\xa7\xd8\xb1\xd8\xa8.. \xd9\x85\xd9\x86\xd8\xad\xd8\xaa\xd9\x86\xd9\x8a \xd8\xb9\xd9\x8a\xd9\x86\xd9\x8a\xd9\x86 \xd9\x88\xd9\x84\xd8\xb3\xd8\xa7\xd9\x86\xd9\x8b\xd8\xa7 \xd9\x88\xd8\xb4\xd9\x81\xd8\xaa\xd9\x8a\xd9\x86\xd8\x8c \xd8\xa7\xd9\x87\xd8\xaf\xd9\x86\xd9\x8a \xd8\xa3\xd9\x86 \xd9\x84\xd8\xa7 \xd8\xaa\xd9\x86\xd8\xb4\xd8\xba\xd9\x84 \xd9\x87\xd8\xb0\xd9\x87 \xd8\xa7\xd9\x84\xd8\xac\xd9\x88\xd8\xa7\xd8\xb1\xd8\xad \xd8\xa8\xd8\xba\xd9\x8a\xd8\xb1\xd9\x83 \xd8\xb9\xd9\x86\xd9\x83\n\nhttps://t.co/maDKcUpPsw'
906310125438357506,2017-09-09 00:15:46+00:00,b'\xd8\xb9\xd8\xb4 \xd8\xad\xd9\x8a\xd8\xa7\xd8\xaa\xd9\x83 \xd8\xa8\xd9\x82\xd9\x84\xd8\xa8 \xd8\xb3\xd9\x84\xd9\x8a\xd9\x85 \xd9\x8a\xd8\xad\xd8\xa8 \xd8\xa7\xd9\x84\xd8\xae\xd9\x8a\xd8\xb1 \xd9\x84\xd9\x84\xd9\x85\xd8\xb3\xd9\x84\xd9\x85\xd9\x8a\xd9\x86 \xd9\x88\xd9\x84\xd9\x84\xd9\x86\xd8\xa7\xd8\xb3 \xd8\xa3\xd8\xac\xd9\x85\xd8\xb9\xd9\x8a\xd9\x86'
906280562956132352,2017-09-08 22:18:18+00:00,b'\xd8\xb1\xd8\xa8\xd9\x86\xd8\xa7 \xd9\x84\xd9\x83 \xd8\xa7\xd9\x84\xd8\xad\xd9\x85\xd8\xaf \xd9\x84\xd8\xa7 \xd9\x86\xd8\xad\xd8\xb5\xd9\x8a \xd8\xab\xd9\x86\xd8\xa7\xd8\xa1\xd9\x8b \xd8\xb9\xd9\x84\xd9\x8a\xd9\x83 \xd8\xa3\xd9\x86\xd8\xaa \xd9\x83\xd9\x85\xd8\xa7 \xd8\xa3\xd8\xab\xd9\x86\xd9\x8a\xd8\xaa \xd8\xb9\xd9\x84\xd9\x89 \xd9\x86\xd9\x81\xd8\xb3\xd9\x83..\xd8\xa7\xd9\x84\xd9\x84\xd9\x87\xd9\x85 \xd8\xa3\xd9\x84\xd9\x81 \xd8\xa8\xd9\x8a\xd9\x86 \xd9\x82\xd9\x84\xd9\x88\xd8\xa8\xd9\x87\xd9\x85 \xd9\x84\xd9\x85\xd8\xa7\xd9\x81\xd9\x8a\xd9\x87 \xd8\xae\xd9\x8a\xd8\xb1 \xd8\xb4\xd8\xb9\xd9\x88\xd8\xa8\xd9\x87\xd9\x85'
906220616491130880,2017-09-08 18:20:06+00:00,b'#\xd8\xb3\xd9\x8a\xd8\xb1\xd8\xaa\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xb0\xd8\xa7\xd8\xaa\xd9\x8a\xd9\x87\n\xd8\xab\xd9\x85 \xd8\xac\xd8\xb9\xd9\x84\xd9\x86\xd8\xa7\xd9\x87 \xd9\x86\xd8\xb7\xd9\x81\xd8\xa9\xd9\x8b \xd9\x81\xd9\x8a \xd9\x82\xd8\xb1\xd8\xa7\xd8\xb1\xd9\x85\xd9\x83\xd9\x8a\xd9\x86 \xd8\xab\xd9\x85 \xd8\xae\xd9\x84\xd9\x82\xd9\x86\xd8\xa7\xd8\xa7\xd9\x84\xd9\x86\xd8\xb7\xd9\x81\xd8\xa9 \xd8\xb9\xd9\x84\xd9\x82\xd8\xa9 \xd9\x81\xd8\xae\xd9\x84\xd9\x82\xd9\x86\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x84\xd9\x82\xd8\xa9 \xd9\x85\xd8\xb6\xd8\xba\xd8\xa9 \xd9\x81\xd8\xae\xd9\x84\xd9\x82\xd9\x86\xd8\xa7 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb6\xd8\xba\xd8\xa9 \xd8\xb9\xd8\xb8\xd8\xa7\xd9\x85\xd8\xa7 \xd9\x81\xd9\x83\xd8\xb3\xd9\x88\xd9\x86\xd8\xa7\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb8\xd8\xa7\xd9\x85 \xd9\x84\xd8\xad\xd9\x85\xd8\xa7\xd8\xab\xd9\x85 \xd8\xa3\xd9\x86\xd8\xb4\xd8\xa3\xd9\x86\xd8\xa7\xd9\x87 \xd8\xae\xd9\x84\xd9\x82\xd8\xa7\xd9\x8b \xd8\xa2\xd8\xae\xd8\xb1!'
906057619831484416,2017-09-08 07:32:24+00:00,b'#\xd8\xa2\xd8\xb3\xd9\x81 \xd9\x84\xd9\x83 \xd9\x8a\xd8\xa7 \xd8\xb1\xd8\xa8 \xd8\xb9\xd9\x86 \xd9\x83\xd9\x84 \xd9\x85\xd9\x88\xd9\x82\xd9\x81 \xd9\x88\xd8\xac\xd8\xaf\xd8\xaa\xd9\x86\xd9\x8a \xd9\x81\xd9\x8a\xd9\x87 \xd8\xa3\xd8\xaa\xd8\xb3\xd8\xaa\xd8\xb1 \xd8\xb9\xd9\x86 \xd8\xb9\xd8\xa8\xd8\xa7\xd8\xaf\xd9\x83 \xd9\x88\xd8\xa3\xd8\xba\xd9\x81\xd9\x84 \xd8\xb9\xd9\x86 \xd8\xb9\xd9\x8a\xd9\x86\xd9\x83 \xd8\xa7\xd9\x84\xd8\xaa\xd9\x8a \xd9\x84\xd8\xa7 \xd9\x8a\xd9\x81\xd9\x88\xd8\xaa\xd9\x87\xd8\xa7 \xd8\xb4\xd9\x8a\xd8\xa1 \xd9\x88\xd8\xa5\xd9\x86 \xd8\xaf\xd9\x82.\n\nhttps://t.co/NuIVSVcVGT'
