twitter_id,date,tweet
1542344638853517314,2022-06-30 03:09:51+00:00,b'Fuerza y solidaridad a mis hermanos latinos. Imposible no sentir indignaci\xc3\xb3n y tristeza ante una noticia como esta. Mucha oraci\xc3\xb3n para todos los familiares y allegados de los inmigrantes que perdieron la vida en este lamentable suceso. Mi coraz\xc3\xb3n est\xc3\xa1 con ustedes \xf0\x9f\xa4\x8d\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb #SanAntonio'
1531946004567707656,2022-06-01 10:29:24+00:00,b'CAILE REMIX \xf0\x9f\x94\xa5'
1518709739240275971,2022-04-25 21:53:12+00:00,"b'Y te vendes como v\xc3\xadctima inocente ,Sabiendo que me tratabas Como mierd@ ante la gente\xe2\x80\xa6 \xf0\x9f\xa6\x85#ElPatron #TikTok'"
1516118219509096462,2022-04-18 18:15:26+00:00,b'Buenas tardes familia arranquemos este inicio de semana con las mejores vibras. \xf0\x9f\xa6\x85\xf0\x9f\x99\x8f\xf0\x9f\x92\xa5\xf0\x9f\xa7\xa8 #ElPatron #ElBOOM'
1514595601610072076,2022-04-14 13:25:05+00:00,"b'Si quires vivir  una vida que nunca has vivido , tienes que hacer cosas que nunca antes has echo #Elboom #ElPatr\xc3\xb3n #felizJueves\xf0\x9f\xa6\x85\xf0\x9f\x92\xa5\xf0\x9f\xa7\xa8\xf0\x9f\x94\x91'"
1514462671437012992,2022-04-14 04:36:52+00:00,b'Siente el perreo #ElBoom \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5'
1513869375522193413,2022-04-12 13:19:20+00:00,b'Nuestros grandes miedos son una gran p\xc3\xa9rdida de tiempo. #Elboom #ElPatr\xc3\xb3n #felizmartes \xf0\x9f\xa6\x85\xf0\x9f\x92\xa5'
1513507921086271493,2022-04-11 13:23:02+00:00,b'Los lunes son el comienzo de la semana de trabajo que ofrecen nuevos comienzos #Elboom #lunes \xf0\x9f\xa6\x85\xf0\x9f\xa7\xa8\xf0\x9f\x92\xa5'
1513107789903802369,2022-04-10 10:53:03+00:00,b'La falta de respeto no es sin\xc3\xb3nimo de amor.'
1512881111428329474,2022-04-09 19:52:19+00:00,b'Si sientes #Elboom  sabes que el perreo Domina\xe2\x80\xa6\xf0\x9f\xa6\x85\xf0\x9f\x92\xa5\xf0\x9f\xa7\xa8\n\nhttps://t.co/QTrxYGXP11'
